Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Белогорская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14659	241	1793	187	92	438	79	845	1479	444	1380	415	100	54	131	442	273	554	64	684	1132	118	390	143	66	360	94	110	624	362	171	190	1204									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11641	185	1335	141	91	353	77	678	1109	350	1200	334	88	56	100	372	217	442	59	560	870	92	300	130	71	295	77	89	500	285	140	149	896									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5907	109	640	77	41	174	28	336	660	166	464	199	45	19	81	197	108	244	38	241	432	36	198	92	41	127	42	50	231	150	59	70	512									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	323	3	25	11	5	18	1	13	14	12	8	7	0	7	0	22	8	49	0	28	18	0	8	5	0	9	0	0	15	7	0	4	26									
6	Число погашенных избирательных бюллетеней	5411	73	670	53	45	161	48	329	435	172	728	128	43	30	19	153	101	149	21	291	420	56	94	33	30	159	35	39	254	128	81	75	358									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	323	3	25	11	5	18	1	13	14	12	8	7	0	7	0	22	8	49	0	28	18	0	8	5	0	9	0	0	15	7	0	4	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5896	109	634	77	41	174	28	336	660	166	464	199	45	19	81	197	108	244	38	241	432	36	198	92	41	127	42	50	226	150	59	70	512									
9	Число недействительных избирательных бюллетеней	240	4	45	7	0	7	1	16	30	3	21	8	6	0	0	6	2	11	0	10	10	1	5	3	0	4	1	2	10	6	6	0	15									
10	Число действительных избирательных бюллетеней	5979	108	614	81	46	185	28	333	644	175	451	198	39	26	81	213	114	282	38	259	440	35	201	94	41	132	41	48	231	151	53	74	523									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	214	5	10	5	5	5	5	10	10	5	10	5	5	5	4	10	5	10	5	10	10	5	10	5	5	5	5	5	10	5	5	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	42	0	8	0	0	1	0	3	6	2	2	0	0	0	0	1	1	0	1	2	2	0	0	0	0	0	0	1	8	2	0	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	37	4	3	0	1	0	0	0	2	1	1	1	0	0	2	2	0	1	2	0	3	1	2	0	0	0	0	3	3	0	0	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	172	5	2	5	5	4	5	7	4	3	8	5	5	5	4	9	4	10	4	8	8	5	10	5	5	5	5	4	2	3	5	5	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	55	1	5	2	0	1	1	1	7	1	2	2	4	0	2	2	0	1	0	8	4	0	1	0	0	2	0	1	1	1	0	1	4									
		0.88%	0.89%	0.76%	2.27%	0.00%	0.52%	3.45%	0.29%	1.04%	0.56%	0.42%	0.97%	8.89%	0.00%	2.47%	0.91%	0.00%	0.34%	0.00%	2.97%	0.89%	0.00%	0.49%	0.00%	0.00%	1.47%	0.00%	2.00%	0.41%	0.64%	0.00%	1.35%	0.74%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	166	0	18	2	1	5	1	5	20	4	13	5	1	0	4	9	3	9	0	7	8	0	3	0	1	2	0	0	12	2	2	4	25									
		2.67%	0.00%	2.73%	2.27%	2.17%	2.60%	3.45%	1.43%	2.97%	2.25%	2.75%	2.43%	2.22%	0.00%	4.94%	4.11%	2.59%	3.07%	0.00%	2.60%	1.78%	0.00%	1.46%	0.00%	2.44%	1.47%	0.00%	0.00%	4.98%	1.27%	3.39%	5.41%	4.65%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	124	0	11	1	1	4	0	10	21	4	16	2	0	0	1	9	3	6	0	2	9	0	3	1	0	6	0	1	0	0	0	2	11									
		1.99%	0.00%	1.67%	1.14%	2.17%	2.08%	0.00%	2.87%	3.12%	2.25%	3.39%	0.97%	0.00%	0.00%	1.23%	4.11%	2.59%	2.05%	0.00%	0.74%	2.00%	0.00%	1.46%	1.03%	0.00%	4.41%	0.00%	2.00%	0.00%	0.00%	0.00%	2.70%	2.04%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2811	53	280	47	28	104	17	139	208	57	179	107	17	24	52	96	55	140	29	130	209	16	130	51	17	78	22	24	96	86	34	37	249									
		45.20%	47.32%	42.49%	53.41%	60.87%	54.17%	58.62%	39.83%	30.86%	32.02%	37.92%	51.94%	37.78%	92.31%	64.20%	43.84%	47.41%	47.78%	76.32%	48.33%	46.44%	44.44%	63.11%	52.58%	41.46%	57.35%	52.38%	48.00%	39.83%	54.78%	57.63%	50.00%	46.28%									
