Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Абанская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818					
1	"Число избирателей, внесенных в список"	18844	2758	2519	2231	300	104	530	225	131	285	981	921	151	123	155	104	285	150	63	55	435	185	161	84	78	122	61	728	172	54	172	153	153	99	53	611	643	252	381	76	53	753	292	122	48	115	213	199	179	126					
2	Число полученных избирательных бюллетеней	18871	2750	2500	2180	303	105	530	230	142	280	980	930	151	122	156	100	282	150	68	57	446	186	150	88	90	124	65	740	175	56	172	157	150	100	55	620	640	254	375	76	55	768	290	117	51	112	215	203	180	145					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8859	1084	952	736	159	65	353	151	95	146	431	363	91	71	120	55	132	97	39	44	273	122	89	69	55	88	55	299	107	46	83	39	91	66	46	252	307	150	177	65	48	345	168	101	41	87	134	100	100	72					
5	"Число избирательных бюллетеней, выданных вне помещения"	1031	66	56	95	23	30	25	23	8	19	63	78	15	2	0	11	14	8	15	0	35	7	14	4	3	3	0	65	9	0	13	18	3	9	0	99	52	9	50	0	0	36	23	0	0	0	8	14	6	0					
6	Число погашенных избирательных бюллетеней	8981	1600	1492	1349	121	10	152	56	39	115	486	489	45	49	36	34	136	45	14	13	138	57	47	15	32	33	10	376	59	10	76	100	56	25	9	269	281	95	148	11	7	387	99	16	10	25	73	89	74	73					
7	Число избирательных бюллетеней в переносных ящиках	1031	66	56	95	23	30	25	23	8	19	63	78	15	2	0	11	14	8	15	0	35	7	14	4	3	3	0	65	9	0	13	18	3	9	0	99	52	9	50	0	0	36	23	0	0	0	8	14	6	0					
8	Число бюллетеней в стационарных ящиках для голосования	8859	1084	952	736	159	65	353	151	95	146	431	363	91	71	120	55	132	97	39	44	273	122	89	69	55	88	55	299	107	46	83	39	91	66	46	252	307	150	177	65	48	345	168	101	41	87	134	100	100	72					
9	Число недействительных избирательных бюллетеней	82	5	3	7	2	0	3	1	1	0	4	3	2	1	3	0	2	0	1	0	5	1	0	0	0	1	3	0	0	1	1	1	3	3	0	5	6	2	6	0	0	2	3	0	0	0	1	0	0	0					
10	Число действительных избирательных бюллетеней	9808	1145	1005	824	180	95	375	173	102	165	490	438	104	72	117	66	144	105	53	44	303	128	103	73	58	90	52	364	116	45	95	56	91	72	46	346	353	157	221	65	48	379	188	101	41	87	141	114	106	72					
11	Число полученных открепительных  удостоверений	295	43	40	35	5	2	8	3	2	4	14	14	2	2	2	2	3	2	3	2	6	3	2	2	2	2	2	11	2	2	2	2	2	2	2	9	10	4	5	2	2	11	4	2	2	2	3	3	2	2					
12	Число выданных открепительных удостоверений	22	3	1	6	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	2	0	2	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1					
14	Число неиспользованных открепительных удостоверений	273	40	39	29	5	2	8	3	2	4	13	12	2	2	2	2	3	2	3	2	5	3	2	2	2	2	2	10	1	2	2	2	0	1	2	8	9	4	5	2	2	11	4	2	2	2	3	2	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
