Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Кузнецкая																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29308	120	398	216	117	572	77	274	1303	1326	1231	1169	390	402	554	1595	592	268	1420	1386	161	194	987	601	67	1505	400	410	202	768	1048	519	156	139	1278	952	1752	1997	1591	1171									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29505	120	400	215	115	580	75	280	1300	1330	1250	1180	410	400	550	1610	600	265	1410	1410	155	195	1000	600	65	1500	400	410	205	775	1055	525	160	140	1300	950	1730	2030	1630	1180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20459	49	268	150	73	381	68	179	914	1059	833	830	261	310	424	1063	375	159	1086	946	106	128	686	387	45	936	289	315	153	565	775	358	111	92	1083	764	1287	1189	908	854									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2334	33	51	25	20	79	7	21	65	41	149	70	36	21	33	215	83	39	62	88	31	21	46	102	12	330	40	23	23	48	141	71	14	23	19	5	67	49	72	59									
6	Число погашенных избирательных бюллетеней	6712	38	81	40	22	120	0	80	321	230	268	280	113	69	93	332	142	67	262	376	18	46	268	111	8	234	71	72	29	162	139	96	35	25	198	181	376	792	650	267									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2334	33	51	25	20	79	7	21	65	41	149	70	36	21	33	215	83	39	62	88	31	21	46	102	12	330	40	23	23	48	141	71	14	23	19	5	67	49	72	59									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20458	49	268	150	73	381	68	179	913	1059	833	830	261	310	424	1063	375	159	1086	946	106	128	686	387	45	936	289	315	153	565	775	358	111	92	1083	764	1287	1189	908	854									
9	Число недействительных избирательных бюллетеней	118	0	3	0	12	9	0	3	4	10	8	3	2	0	0	9	9	0	7	0	0	0	2	2	0	3	0	3	1	3	9	0	0	1	0	0	4	9	2	0									
10	Число действительных избирательных бюллетеней	22674	82	316	175	81	451	75	197	974	1090	974	897	295	331	457	1269	449	198	1141	1034	137	149	730	487	57	1263	329	335	175	610	907	429	125	114	1102	769	1350	1229	978	913									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	240	1	4	2	2	10	2	5	10	10	10	10	2	2	2	10	2	2	10	9	5	5	10	2	2	10	5	5	5	8	10	4	2	2	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	124	1	4	0	0	1	2	1	5	4	10	1	0	2	0	10	2	1	10	8	0	0	2	1	1	10	0	1	5	7	10	2	0	0	1	1	6	6	6	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	128	6	4	2	2	3	4	3	6	3	2	3	2	8	6	6	2	2	7	9	2	1	2	0	2	3	1	2	2	2	2	2	2	3	2	2	3	3	5	7									
14	Число погашенных неиспользованных открепительных удостоверений	116	0	0	2	2	9	0	4	5	6	0	9	2	0	2	0	0	1	0	1	5	5	8	1	1	0	5	4	0	1	0	2	2	2	9	9	4	4	4	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	0	0	0	0	0	0	1	1	0	2	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	2	7	4	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
