Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																		
Дата голосования: 02.12.2007																		
																		
Наименование Избирательной комиссии:    Десногорская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147					
1	"Число избирателей, внесенных в списки избирателей"	26010	2117	1662	2677	2013	2781	2240	2927	2920	2571	2114	1988					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25893	2110	1614	2667	2007	2764	2246	2891	2935	2596	2082	1981					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15766	1222	952	1704	1286	1723	1343	1756	1844	1430	1356	1150					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	284	22	11	39	23	36	34	25	34	24	19	17					
6	Число погашенных избирательных бюллетеней	9843	866	651	924	698	1005	869	1110	1057	1142	707	814					
7	Число избирательных бюллетеней в переносных ящиках для голосования	284	22	11	39	23	36	34	25	34	24	19	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15714	1219	951	1703	1284	1687	1343	1756	1839	1428	1354	1150					
9	Число недействительных избирательных бюллетеней	298	30	22	34	22	20	39	37	43	24	27	0					
10	Число действительных избирательных бюллетеней	15700	1211	940	1708	1285	1703	1338	1744	1830	1428	1346	1167					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	294	29	20	29	29	29	29	29	29	29	21	21					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	150	8	10	16	16	21	15	13	19	15	10	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	76	8	6	4	8	1	10	5	9	7	8	10					
14	Число погашенных неиспользованных открепительных удостоверений	144	21	10	13	13	8	14	16	10	14	11	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	1	1	0	2	0	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	1.Политическая партия «Аграрная партия России»	485	35	15	61	39	46	51	60	58	43	50	27					
		3.03%	2.82%	1.56%	3.50%	2.98%	2.67%	3.70%	3.37%	3.10%	2.96%	3.64%	2.31%					
19	2.Всероссийская политическая партия «Гражданская Сила»	227	10	16	17	17	28	25	27	30	10	27	20					
		1.42%	0.81%	1.66%	0.98%	1.30%	1.63%	1.82%	1.52%	1.60%	0.69%	1.97%	1.71%					
20	3.Политическая партия «Демократическая партия России»	18	0	0	3	3	2	3	1	3	0	0	3					
		0.11%	0.00%	0.00%	0.17%	0.23%	0.12%	0.22%	0.06%	0.16%	0.00%	0.00%	0.26%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2270	134	123	232	201	278	176	285	307	194	175	165					
		14.19%	10.80%	12.79%	13.32%	15.38%	16.13%	12.78%	16.00%	16.39%	13.36%	12.75%	14.14%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	95	4	5	14	10	9	9	13	8	2	11	10					
		0.59%	0.32%	0.52%	0.80%	0.77%	0.52%	0.65%	0.73%	0.43%	0.14%	0.80%	0.86%					
23	6.Политическая партия «Партия социальной справедливости»	37	3	2	4	4	2	2	3	9	1	4	3					
		0.23%	0.24%	0.21%	0.23%	0.31%	0.12%	0.15%	0.17%	0.48%	0.07%	0.29%	0.26%					
24	7.Политическая партия «Либерально-демократическая партия России»	1828	151	141	210	153	152	144	199	192	179	160	147					
		11.43%	12.17%	14.66%	12.06%	11.71%	8.82%	10.46%	11.17%	10.25%	12.33%	11.65%	12.60%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1747	127	90	186	161	202	139	209	195	152	148	138					
		10.92%	10.23%	9.36%	10.68%	12.32%	11.72%	10.09%	11.73%	10.41%	10.47%	10.78%	11.83%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	137	5	9	15	15	16	24	14	9	10	15	5					
		0.86%	0.40%	0.94%	0.86%	1.15%	0.93%	1.74%	0.79%	0.48%	0.69%	1.09%	0.43%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8488	726	526	923	659	920	726	886	970	803	724	625					
		53.06%	58.50%	54.68%	52.99%	50.42%	53.40%	52.72%	49.75%	51.79%	55.30%	52.73%	53.56%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	368	16	13	43	23	48	39	47	49	34	32	24					
		2.30%	1.29%	1.35%	2.47%	1.76%	2.79%	2.83%	2.64%	2.62%	2.34%	2.33%	2.06%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
