Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
"Наименование Избирательной комиссии:    Самара, Советская"																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001					
1	"Число избирателей, внесенных в списки"	137489	2237	2062	2679	2230	2496	2129	2317	2263	2348	2307	1866	2822	2463	2194	2570	2421	1578	2500	2562	2421	2969	3040	2047	1956	2405	2094	3020	2869	2343	2842	1989	2283	2686	2640	2676	2449	2825	2813	1368	2787	2775	1159	563	788	1010	131	2691	2743	2893	2055	2289	2753	2684	2324	2626	2167	2204	2332	2395	2341					
2	"Число бюллетеней, полученных участковыми комиссиями"	136455	2217	2065	2657	2184	2476	2189	2267	2294	2241	2289	1840	2755	2447	2174	2528	2450	1508	2464	2494	2389	2881	2985	2024	1927	2394	2067	2713	2876	2336	2835	1990	2228	2660	2758	2668	2468	2816	2827	1348	2737	2735	1127	799	799	1030	116	2712	2725	2813	2033	2267	2729	2651	2324	2583	2216	2184	2321	2366	2459					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	59118	1019	875	1002	940	1094	893	978	1022	828	850	691	1235	1028	826	1173	897	713	1034	1195	1069	1455	1173	982	930	1110	832	1304	1202	1142	959	957	1057	982	1084	1274	1038	1401	1220	468	830	1116	415	160	307	1010	90	1209	1077	945	892	1089	1228	1220	984	1189	1113	1043	1121	1177	971					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2824	47	66	71	28	31	41	54	40	18	28	56	20	52	44	44	34	15	34	48	59	33	78	42	27	32	45	86	45	46	81	33	32	58	31	72	59	68	46	60	58	18	44	15	11	0	0	50	49	68	58	84	59	53	43	48	80	75	75	44	88					
6	Число погашенных бюллетеней	74512	1151	1124	1584	1216	1351	1255	1235	1232	1395	1411	1093	1500	1367	1304	1311	1519	780	1396	1251	1261	1393	1734	1000	970	1252	1190	1323	1629	1148	1795	1000	1139	1620	1643	1322	1371	1347	1561	820	1849	1601	668	624	481	20	26	1453	1599	1800	1083	1094	1442	1378	1296	1346	1023	1066	1125	1145	1400					
7	Число бюллетеней в переносных ящиках для голосования	2824	47	66	71	28	31	41	54	40	18	28	56	20	52	44	44	34	15	34	48	59	33	78	42	27	32	45	86	45	46	81	33	32	58	31	72	59	68	46	60	58	18	44	15	11	0	0	50	49	68	58	84	59	53	43	48	80	75	75	44	88					
8	Число бюллетеней в стационарных ящиках для голосования	58911	1019	875	1002	940	1094	852	924	1022	828	850	691	1235	1028	826	1173	937	713	1034	1195	1069	1455	1173	982	930	1110	832	1304	1202	1142	959	957	1057	982	1084	1274	1036	1333	1220	468	830	1116	415	160	307	1010	90	1209	1079	945	892	1089	1226	1219	983	1189	1033	1043	1121	1177	971					
9	Число недействительных бюллетеней	750	17	16	12	14	16	14	27	8	10	0	13	4	18	13	10	38	4	10	20	20	19	10	13	5	9	3	10	21	16	4	6	7	15	12	18	14	13	22	8	17	13	0	2	11	4	1	15	21	16	14	11	5	13	17	14	13	17	13	17	7					
10	Число действительных бюллетеней	60985	1049	925	1061	954	1109	879	951	1054	836	878	734	1251	1062	857	1207	933	724	1058	1223	1108	1469	1241	1011	952	1133	874	1380	1226	1172	1036	984	1082	1025	1103	1328	1081	1388	1244	520	871	1121	459	173	307	1006	89	1244	1107	997	936	1162	1280	1259	1009	1223	1100	1101	1183	1204	1052					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1297	23	20	23	20	23	23	23	19	23	23	20	23	23	20	23	23	20	20	23	23	23	23	24	20	20	21	23	23	23	23	20	20	23	23	24	22	23	23	20	23	23	16	16	26	20	0	23	23	23	23	23	23	23	20	23	20	23	23	20	24					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	772	14	9	10	4	13	23	1	8	11	6	10	12	10	13	11	7	4	6	12	17	18	22	15	9	12	14	20	21	22	17	13	14	7	17	23	11	23	18	14	5	17	1	2	22	0	0	15	3	12	6	20	15	11	17	16	16	23	22	16	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	549	4	4	2	11	9	3	6	4	10	4	16	3	7	3	19	6	10	1	7	7	6	12	8	10	8	10	3	11	11	2	7	9	7	4	19	8	9	9	14	15	5	6	6	4	79	17	11	1	4	14	9	11	7	9	8	7	9	8	10	6					
14	Число погашенных открепительных удостоверений	523	9	11	13	16	10	0	22	11	12	17	10	11	13	7	10	16	16	14	11	6	5	1	9	11	8	7	3	2	1	6	7	6	16	6	1	11	0	5	6	18	6	15	14	4	20	0	8	20	11	17	3	8	12	3	7	4	0	1	4	2					
15	Число открепительных удостоверений выданных ТИК	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
18	"1. ""ЕДИНЕНИЕ"""	585	5	9	15	5	7	6	7	8	13	13	5	3	14	4	14	16	3	13	14	11	14	15	13	2	7	6	14	13	9	8	16	13	7	13	12	5	12	7	12	9	8	6	1	8	1	1	17	10	8	9	8	14	12	13	8	12	13	15	16	13					
		0.94%	0.46%	0.95%	1.39%	0.51%	0.62%	0.67%	0.71%	0.75%	1.53%	1.48%	0.66%	0.23%	1.29%	0.45%	1.15%	1.64%	0.41%	1.21%	1.12%	0.97%	0.94%	1.19%	1.26%	0.20%	0.61%	0.68%	1.00%	1.04%	0.75%	0.76%	1.61%	1.19%	0.67%	1.16%	0.89%	0.45%	0.85%	0.55%	2.27%	1.01%	0.70%	1.30%	0.57%	2.51%	0.09%	1.11%	1.35%	0.88%	0.78%	0.94%	0.68%	1.08%	0.94%	1.26%	0.64%	1.07%	1.16%	1.25%	1.31%	1.22%					
