Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																							
Дата голосования: 02.12.2007																																																							
																																																							
Наименование Избирательной комиссии:    Яковлевская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208					
1	"Число избирателей, внесенных в списки избирателей"	41338	2010	1350	2438	1792	2462	2590	2854	1340	1361	742	477	1533	1361	533	1433	1349	859	189	844	360	1092	742	145	596	1321	699	467	185	462	270	486	198	122	134	225	109	910	1280	367	97	417	259	434	223	580	178	961	502					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	39366	1800	1400	2300	1700	2300	2500	2500	1200	1250	700	470	1400	1300	550	1300	1200	800	186	800	350	1100	740	141	600	1300	800	450	188	465	270	480	200	115	140	215	110	900	1200	350	96	400	260	440	215	550	195	950	490					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	31101	1433	1185	1789	1241	1645	1832	2069	963	1043	502	328	1136	926	470	1113	1045	687	153	751	303	915	536	125	528	1073	575	332	150	328	175	403	185	101	88	129	78	772	1144	318	71	349	187	290	167	451	141	671	205					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3287	11	21	66	101	83	32	53	73	77	99	66	98	223	42	107	75	54	18	48	22	90	167	15	38	132	109	114	26	80	69	44	13	12	35	71	28	50	47	32	23	51	58	116	42	88	37	129	202					
6	Число погашенных избирательных бюллетеней	4978	356	194	445	358	572	636	378	164	130	99	76	166	151	38	80	80	59	15	1	25	95	37	1	34	95	116	4	12	57	26	33	2	2	17	15	4	78	9	0	2	0	15	34	6	11	17	150	83					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3287	11	21	66	101	83	32	53	73	77	99	66	98	223	42	107	75	54	18	48	22	90	167	15	38	132	109	114	26	80	69	44	13	12	35	71	28	50	47	32	23	51	58	116	42	88	37	129	202					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31101	1433	1185	1789	1241	1645	1832	2069	963	1043	502	328	1136	926	470	1113	1045	687	153	751	303	915	536	125	528	1073	575	332	150	328	175	403	185	101	88	129	78	772	1144	318	71	349	187	290	167	451	141	671	205					
9	Число недействительных избирательных бюллетеней	380	11	7	37	11	19	19	20	15	19	6	4	18	10	5	21	5	24	2	5	3	13	5	2	6	5	9	7	1	6	1	4	0	2	3	9	1	14	2	2	0	1	0	1	1	8	2	14	0					
10	Число действительных избирательных бюллетеней	34008	1433	1199	1818	1331	1709	1845	2102	1021	1101	595	390	1216	1139	507	1199	1115	717	169	794	322	992	698	138	560	1200	675	439	175	402	243	443	198	111	120	191	105	808	1189	348	94	399	245	405	208	531	176	786	407					
