Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Свободненская поселковая																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600					
1	"Число избирателей, внесенных в списки"	7031	1745	1931	1742	472	119	111	135	97	132	547					
2	"Число бюллетеней, полученных участковыми комиссиями"	7285	1750	1940	1780	500	130	200	135	100	200	550					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3743	749	860	812	265	119	111	135	97	132	463					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	93	5	3	1	0	0	0	0	0	0	84					
6	Число погашенных бюллетеней	3449	996	1077	967	235	11	89	0	3	68	3					
7	Число бюллетеней в переносных ящиках для голосования	93	5	3	1	0	0	0	0	0	0	84					
8	Число бюллетеней в стационарных ящиках для голосования	3743	749	860	812	265	119	111	135	97	132	463					
9	Число недействительных бюллетеней	24	3	9	7	0	0	1	0	1	1	2					
10	Число действительных бюллетеней	3812	751	854	806	265	119	110	135	96	131	545					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	30	30	30	4	1	1	1	1	1	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	89	30	30	29	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	87	3	6	4	1	15	6	21	6	25	0					
14	Число погашенных открепительных удостоверений	11	0	0	1	4	1	1	1	1	1	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	93	6	11	12	2	5	7	6	1	4	39					
		2.42%	0.79%	1.27%	1.47%	0.75%	4.20%	6.30%	4.44%	1.03%	3.03%	7.12%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	149	21	42	24	6	2	9	4	2	5	34					
		3.88%	2.78%	4.86%	2.95%	2.26%	1.68%	8.10%	2.96%	2.06%	3.78%	6.21%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	93	17	25	26	4	1	6	2	0	4	8					
		2.42%	2.25%	2.89%	3.19%	1.50%	0.84%	5.40%	1.48%	0.0%	3.03%	1.46%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	186	36	68	45	14	2	4	1	0	2	14					
		4.84%	4.77%	7.87%	5.53%	5.28%	1.68%	3.60%	0.74%	0.0%	1.51%	2.55%					
22	"5. ""За Русь Святую"""	19	5	2	4	1	0	1	0	0	0	6					
		0.49%	0.66%	0.23%	0.49%	0.37%	0.0%	0.90%	0.0%	0.0%	0.0%	1.09%					
23	"6. ""Объединенная Российская партия ""Русь"""	26	5	7	7	1	1	0	0	0	0	5					
		0.67%	0.66%	0.81%	0.86%	0.37%	0.84%	0.0%	0.0%	0.0%	0.0%	0.91%					
24	"7. ""Новый курс - Автомобильная Россия"""	40	4	5	6	1	3	2	1	1	4	13					
		1.04%	0.53%	0.57%	0.73%	0.37%	2.52%	1.80%	0.74%	1.03%	3.03%	2.37%					
25	"8. ""Народно-республиканская партия России"""	6	2	3	0	1	0	0	0	0	0	0					
