Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Новосергиевская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27824	2641	1593	2097	1518	1650	1566	417	51	59	575	89	590	107	91	187	365	714	122	753	157	120	886	729	252	880	617	718	926	186	77	185	482	222	75	135	562	129	86	390	997	170	205	215	662	93	183	473	262	416	417	233	499									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28051	2631	1585	2096	1515	1647	1562	419	54	62	580	92	595	112	93	190	370	722	127	782	161	121	887	740	252	887	626	731	944	187	79	192	492	226	76	140	567	128	89	397	1016	177	210	215	678	93	185	475	267	418	421	235	505									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13230	1035	656	750	577	624	589	224	40	50	322	53	238	57	74	98	197	466	84	370	80	77	362	394	146	355	338	307	439	85	46	88	291	112	40	81	357	67	54	221	403	83	140	142	360	54	117	242	160	255	304	202	324									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	969	63	58	59	91	96	36	7	0	0	31	4	53	0	3	10	0	0	0	16	9	0	19	0	27	12	16	8	58	6	4	2	15	2	0	0	32	0	1	43	62	6	0	0	0	8	0	45	10	38	19	0	0									
6	Число погашенных избирательных бюллетеней	13852	1533	871	1287	847	927	937	188	14	12	227	35	304	55	16	82	173	256	43	396	72	44	506	346	79	520	272	416	447	96	29	102	186	112	36	59	178	61	34	133	551	88	70	73	318	31	68	188	97	125	98	33	181									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	969	63	58	59	91	96	36	7	0	0	31	4	53	0	3	10	0	0	0	16	9	0	19	0	27	12	16	8	58	6	4	2	15	2	0	0	32	0	1	43	62	6	0	0	0	8	0	45	10	38	19	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13230	1035	656	750	577	624	589	224	40	50	322	53	238	57	74	98	197	466	84	370	80	77	362	394	146	355	338	307	439	85	46	88	291	112	40	81	357	67	54	221	403	83	140	142	360	54	117	242	160	255	304	202	324									
9	Число недействительных избирательных бюллетеней	303	31	21	17	17	27	18	4	0	0	7	2	13	1	0	8	3	19	0	1	0	1	4	0	1	13	6	11	14	3	1	2	4	0	1	0	1	0	1	9	14	2	2	0	9	0	2	1	0	4	6	0	2									
10	Число действительных избирательных бюллетеней	13896	1067	693	792	651	693	607	227	40	50	346	55	278	56	77	100	194	447	84	385	89	76	377	394	172	354	348	304	483	88	49	88	302	114	39	81	388	67	54	255	451	87	138	142	351	62	115	286	170	289	317	202	322									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	382	40	30	30	30	30	30	3	2	1	5	2	6	3	2	3	5	8	5	7	2	2	6	10	3	6	6	7	9	4	2	3	6	7	1	2	5	2	2	4	11	5	3	3	4	1	2	7	2	3	4	2	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	146	15	10	9	10	10	11	2	2	0	1	0	2	1	0	0	2	2	2	7	0	0	0	10	0	2	0	3	9	0	0	1	6	0	0	2	1	0	0	0	11	4	0	0	4	0	0	6	0	0	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	71	7	0	5	1	2	4	1	1	1	3	1	1	0	1	0	1	0	1	1	1	0	0	2	1	1	1	1	0	3	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	3	1	0	2	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	236	25	20	21	20	20	19	1	0	1	4	2	4	2	2	3	3	6	3	0	2	2	6	0	3	4	6	4	0	4	2	2	0	7	1	0	4	2	2	4	0	1	3	3	0	1	2	1	2	3	3	2	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	0	4	5	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	11	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	101	12	9	6	6	3	5	0	0	0	7	0	2	0	0	2	0	0	2	5	1	0	1	7	2	1	0	4	2	1	1	1	1	0	0	0	4	1	0	2	2	1	0	0	1	0	0	2	1	0	3	1	2									
		0.71%	1.09%	1.26%	0.74%	0.90%	0.42%	0.80%	0.00%	0.00%	0.00%	1.98%	0.00%	0.69%	0.00%	0.00%	1.85%	0.00%	0.00%	2.38%	1.30%	1.12%	0.00%	0.26%	1.78%	1.16%	0.27%	0.00%	1.27%	0.40%	1.10%	2.00%	1.11%	0.33%	0.00%	0.00%	0.00%	1.03%	1.49%	0.00%	0.76%	0.43%	1.12%	0.00%	0.00%	0.28%	0.00%	0.00%	0.70%	0.59%	0.00%	0.93%	0.50%	0.62%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	564	53	26	29	3	28	22	12	2	0	18	2	16	2	0	4	1	19	2	25	7	1	19	17	7	17	11	23	16	2	2	6	9	11	2	3	15	5	3	9	23	4	6	8	23	2	6	13	13	7	4	2	4									
		3.97%	4.83%	3.64%	3.58%	0.45%	3.89%	3.52%	5.19%	5.00%	0.00%	5.10%	3.51%	5.50%	3.51%	0.00%	3.70%	0.51%	4.08%	2.38%	6.48%	7.87%	1.30%	4.99%	4.31%	4.05%	4.63%	3.11%	7.30%	3.22%	2.20%	4.00%	6.67%	2.94%	9.65%	5.00%	3.70%	3.86%	7.46%	5.45%	3.41%	4.95%	4.49%	4.29%	5.63%	6.39%	3.23%	5.13%	4.53%	7.65%	2.39%	1.24%	0.99%	1.23%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	189	16	10	11	11	5	15	2	0	0	10	0	4	0	1	0	0	10	1	5	0	0	12	3	2	5	2	2	5	3	2	3	9	1	1	2	5	0	1	0	5	3	0	0	4	0	1	2	0	8	7	0	0									
