Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Полесская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423					
1	"Число избирателей, внесенных в список избирателей"	14743	2196	1983	1623	1275	461	799	564	1276	479	714	485	647	555	1378	308					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12200	2000	1800	1500	1000	400	600	400	1000	400	600	400	500	400	1000	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6890	1094	889	812	586	206	382	262	537	164	382	220	318	284	595	159					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	360	45	49	47	36	4	24	22	16	7	20	16	10	19	43	2					
6	Число погашенных избирательных бюллетеней	4950	861	862	641	378	190	194	116	447	229	198	164	172	97	362	39					
7	Число избирательных бюллетеней в переносных ящиках для голосования	360	45	49	47	36	4	24	22	16	7	20	16	10	19	43	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6890	1094	889	812	586	206	382	262	537	164	382	220	318	284	595	159					
9	Число недействительных избирательных бюллетеней	106	14	14	12	10	5	6	4	11	2	4	2	3	2	17	0					
10	Число действительных избирательных бюллетеней	7144	1125	924	847	612	205	400	280	542	169	398	234	325	301	621	161					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	183	27	23	35	10	3	8	10	18	5	10	5	10	7	10	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	134	24	21	25	8	1	6	5	13	4	8	3	3	6	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	147	27	15	6	17	7	37	2	6	3	3	2	4	8	9	1					
14	Число погашенных неиспользованных открепительных удостоверений	49	3	2	10	2	2	2	5	5	1	2	2	7	1	3	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	851	148	110	118	82	21	24	19	61	26	48	25	41	37	80	11					
		11.74%	12.99%	11.73%	13.74%	13.18%	10.00%	5.91%	6.69%	11.03%	15.20%	11.94%	10.59%	12.50%	12.21%	12.54%	6.83%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1203	122	142	116	93	48	74	56	110	42	76	41	59	81	111	32					
		16.59%	10.71%	15.14%	13.50%	14.95%	22.86%	18.23%	19.72%	19.89%	24.56%	18.91%	17.37%	17.99%	26.73%	17.40%	19.88%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	106	13	16	16	10	2	8	1	3	5	3	2	5	10	10	2					
		1.46%	1.14%	1.71%	1.86%	1.61%	0.95%	1.97%	0.35%	0.54%	2.92%	0.75%	0.85%	1.52%	3.30%	1.57%	1.24%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1748	332	256	273	117	38	73	54	173	26	94	51	88	46	106	21					
		24.11%	29.15%	27.29%	31.78%	18.81%	18.10%	17.98%	19.01%	31.28%	15.20%	23.38%	21.61%	26.83%	15.18%	16.61%	13.04%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	203	37	30	24	18	3	9	1	18	7	9	4	7	10	23	3					
		2.80%	3.25%	3.20%	2.79%	2.89%	1.43%	2.22%	0.35%	3.25%	4.09%	2.24%	1.69%	2.13%	3.30%	3.61%	1.86%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2992	468	366	297	288	93	212	147	173	61	166	108	123	112	287	91					
		41.27%	41.09%	39.02%	34.58%	46.30%	44.29%	52.22%	51.76%	31.28%	35.67%	41.29%	45.76%	37.50%	36.96%	44.98%	56.52%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	41	5	4	3	4	0	0	2	4	2	2	3	2	5	4	1					
		0.57%	0.44%	0.43%	0.35%	0.64%	0.00%	0.00%	0.70%	0.72%	1.17%	0.50%	1.27%	0.61%	1.65%	0.63%	0.62%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
