Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Полесская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422					
1	"Число избирателей, внесенных в списки избирателей"	14093	2747	2723	1219	376	930	566	1286	472	685	472	587	483	1252	295					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12300	2400	2400	1050	350	850	500	1100	400	600	400	500	400	1100	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7113	1357	1320	654	243	453	279	548	195	450	208	380	273	599	154					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	502	70	49	29	19	22	28	34	37	35	78	11	26	47	17					
6	Число погашенных избирательных бюллетеней	4685	973	1031	367	88	375	193	518	168	115	114	109	101	454	79					
7	Число избирательных бюллетеней в переносных ящиках для голосования	502	70	49	29	19	22	28	34	37	35	78	11	26	47	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7113	1357	1320	654	243	453	279	548	195	450	208	380	273	599	154					
9	Число недействительных избирательных бюллетеней	85	16	14	19	3	7	2	5	2	3	1	4	2	6	1					
10	Число действительных избирательных бюллетеней	7530	1411	1355	664	259	468	305	577	230	482	285	387	297	640	170					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	148	27	38	8	14	6	9	9	3	8	3	6	8	7	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	120	27	25	8	14	6	7	8	1	6	2	6	4	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	43	8	6	5	4	0	2	2	4	3	0	2	4	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	28	0	13	0	0	0	2	1	2	2	1	0	4	1	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	156	21	22	26	3	14	2	9	14	11	5	3	4	21	1					
		2.05%	1.47%	1.61%	3.81%	1.15%	2.95%	0.65%	1.55%	6.03%	2.27%	1.75%	0.77%	1.34%	3.25%	0.58%					
19	2.Всероссийская политическая партия «Гражданская Сила»	64	13	21	3	1	2	2	4	2	3	2	2	2	6	1					
		0.84%	0.91%	1.53%	0.44%	0.38%	0.42%	0.65%	0.69%	0.86%	0.62%	0.70%	0.51%	0.67%	0.93%	0.58%					
20	3.Политическая партия «Демократическая партия России»	5	1	0	0	0	0	1	1	0	0	1	0	0	1	0					
		0.07%	0.07%	0.00%	0.00%	0.00%	0.00%	0.33%	0.17%	0.00%	0.00%	0.35%	0.00%	0.00%	0.15%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	715	178	179	46	13	33	18	43	11	57	19	55	11	40	12					
		9.39%	12.47%	13.08%	6.73%	4.96%	6.95%	5.86%	7.39%	4.74%	11.75%	6.64%	14.07%	3.68%	6.19%	7.02%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	24	2	7	2	0	1	1	2	2	4	0	1	1	1	0					
		0.32%	0.14%	0.51%	0.29%	0.00%	0.21%	0.33%	0.34%	0.86%	0.82%	0.00%	0.26%	0.33%	0.15%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	17	1	2	1	1	1	2	2	1	0	2	0	3	1	0					
		0.22%	0.07%	0.15%	0.15%	0.38%	0.21%	0.65%	0.34%	0.43%	0.00%	0.70%	0.00%	1.00%	0.15%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	843	180	165	60	20	44	23	83	16	73	32	40	40	51	16					
		11.07%	12.61%	12.05%	8.78%	7.63%	9.26%	7.49%	14.26%	6.90%	15.05%	11.19%	10.23%	13.38%	7.89%	9.36%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	516	124	98	49	11	18	10	42	23	24	10	29	32	37	9					
		6.78%	8.69%	7.16%	7.17%	4.20%	3.79%	3.26%	7.22%	9.91%	4.95%	3.50%	7.42%	10.70%	5.73%	5.26%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	132	28	30	8	3	11	4	5	3	4	7	5	7	15	2					
