Выборы Президента Российской Федерации																																																																																																														
																																																																																																														
Наименование Избирательной комиссии:    Костромская городская																																																																																																														
																																																																																																														
Итоги голосования 																																																																																																														
																																																																																																														
		Сумма	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273	УИК  274	УИК  275	УИК  276	УИК  277	УИК  278	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326					
1	"Число избирателей, внесенных в список"	227765	2204	2397	2764	2299	2536	2282	1863	2346	1847	2368	2579	2026	2034	2340	1826	2251	2655	655	2127	2817	2795	1502	2142	2783	2683	2822	2002	2284	1729	2079	1914	1356	1454	2138	1768	906	1981	1609	2410	2410	1206	2542	2976	1711	2099	2931	2649	2408	2544	2718	2229	2659	2395	2330	2233	2256	2280	1320	1281	2132	1506	1949	2990	1347	2363	2717	2831	2537	2913	1782	2970	2937	1677	2066	1779	2097	2353	2814	2735	2657	2962	2953	2927	2672	2412	515	2897	1425	2444	1631	2053	2176	1933	2167	2442	401	2898	2963	1719	2030	2375	2475	2393					
2	Число полученных избирательных бюллетеней	220400	2100	2300	2700	2200	2500	2200	1800	2300	1800	2300	2500	2000	2000	2300	1800	2200	2600	600	2100	2500	2700	1400	2100	2800	2600	2800	1900	2200	1700	2000	1800	1300	1400	2100	1700	900	1900	1400	2000	2400	1100	2400	2900	1600	1800	2900	2600	2300	2500	2700	2200	2600	2300	2000	2200	2200	2300	1300	1200	2100	1400	1900	2900	1300	2300	2700	2800	2200	2900	1800	2900	2900	1600	2000	1700	2000	2300	2800	2700	2600	2900	2900	2900	2600	2300	440	2800	1400	2400	1600	2100	2100	1900	2100	2400	360	2800	2900	1700	2000	2300	2400	2300					
3	"Число избирательных бюллетеней, выданных  досрочно"	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	107060	936	900	1330	1108	1195	1088	725	1181	765	914	980	953	1053	1061	725	1086	1388	301	916	1636	1269	746	1039	1020	1390	1511	909	1002	819	890	830	661	712	831	804	346	682	705	1431	1134	442	1142	1305	802	965	1332	1450	1135	1355	1482	1090	1421	1371	965	1177	1076	1174	624	590	1165	695	951	1240	544	1072	1391	1350	1255	1404	1095	1414	1473	841	1009	874	1056	959	1375	1271	1227	1485	1462	1408	1177	1115	273	1467	625	965	712	742	1095	1002	1055	1165	220	1206	1321	673	994	1205	1182	980					
5	"Число избирательных бюллетеней, выданных вне помещения"	4865	47	72	34	67	72	56	25	60	24	63	32	32	50	55	35	23	28	9	49	114	39	30	30	41	58	47	69	40	33	58	37	15	71	50	36	8	18	205	266	25	33	100	30	45	267	40	23	73	28	39	19	31	26	54	37	54	27	47	23	48	22	79	66	56	35	41	37	36	24	177	32	27	31	43	71	48	33	34	22	24	42	16	25	18	18	67	35	51	34	36	59	32	26	48	29	49	41	33	20	19	25	14	23					
6	Число погашенных избирательных бюллетеней	108316	1117	1328	1336	1025	1233	1056	1050	1059	1011	1323	1488	1015	897	1184	1040	1091	1184	290	1135	750	1392	624	1031	1739	1152	1242	922	1158	848	1052	933	624	617	1219	860	546	1200	490	303	1241	625	1158	1565	753	568	1528	1127	1092	1117	1179	1091	1148	903	822	986	1070	1099	629	587	887	683	870	1594	700	1193	1268	1413	909	1472	528	1454	1400	728	948	755	896	1308	1391	1407	1349	1373	1422	1467	1405	1167	100	1298	724	1401	852	1299	973	872	997	1206	91	1553	1546	1007	987	1070	1204	1297					
7	Число избирательных бюллетеней в переносных ящиках	5022	47	72	34	67	72	56	25	60	24	63	32	32	50	55	35	23	28	9	49	114	39	30	30	41	58	47	69	40	33	58	37	15	71	50	36	8	18	205	265	25	33	100	30	45	267	40	23	73	28	39	19	31	26	213	37	54	27	47	23	48	22	79	66	56	35	41	37	36	24	177	32	27	31	43	70	48	33	34	22	24	42	16	25	18	18	67	35	51	34	36	59	32	26	48	29	49	41	33	20	19	25	14	23					
8	Число бюллетеней в стационарных ящиках для голосования	106870	935	900	1330	1108	1193	1065	723	1181	765	914	980	953	1053	1061	724	1086	1388	301	916	1635	1269	746	1039	1018	1390	1511	909	1002	818	890	830	661	708	831	804	346	682	705	1431	1133	442	1140	1302	802	964	1332	1449	1135	1353	1482	1090	1420	1345	964	1175	1076	1173	624	590	1165	694	951	1240	544	1071	1390	1348	1255	1404	1074	1414	1473	840	1009	874	1056	959	1375	1267	1215	1485	1454	1403	1177	1115	273	1466	625	954	712	742	1095	1001	1044	1136	220	1205	1319	673	994	1205	1182	980					
9	Число недействительных избирательных бюллетеней	536	5	6	4	4	6	9	0	6	4	2	7	4	8	17	9	4	4	2	8	2	0	6	6	5	3	7	6	9	4	12	11	1	2	5	4	1	7	5	10	2	4	8	2	5	7	4	3	2	5	5	4	9	1	3	9	2	2	3	5	3	2	6	6	3	4	3	5	7	4	20	2	7	3	1	7	9	5	7	5	5	5	4	2	4	8	8	2	10	5	2	2	9	13	6	4	5	11	7	4	4	2	2	3					
10	Число действительных избирательных бюллетеней	111356	977	966	1360	1171	1259	1112	748	1235	785	975	1005	981	1095	1099	750	1105	1412	308	957	1747	1308	770	1063	1054	1445	1551	972	1033	847	936	856	675	777	876	836	353	693	905	1686	1156	471	1232	1330	842	1224	1368	1469	1206	1376	1516	1105	1442	1370	1174	1203	1128	1198	668	608	1210	714	1024	1300	597	1102	1428	1380	1284	1424	1231	1444	1493	868	1051	937	1095	987	1402	1284	1234	1522	1466	1426	1191	1125	332	1499	666	983	746	799	1118	1014	1086	1161	264	1235	1345	689	1009	1228	1194	1000					
11	Число полученных открепительных  удостоверений	3175	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	115	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30					
