Выборы Президента Российской Федерации																																																																																																																																			
Дата голосования: 04.03.2012																																																																																																																																			
																																																																																																																																			
Наименование Избирательной комиссии:    Костромская городская																																																																																																																																			
																																																																																																																																			
Сводная таблица итогов голосования																																																																																																																																			
																																																																																																																																			
	Число участковых избирательных комиссий	120																																																																																																																																	
	Число участковых избирательных комиссий, приступивших к передаче сведений	120																																																																																																																																	
																																																																																																																																			
		Сумма	УИК №54	УИК №55	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №417	УИК №418									
1	Число избирателей, включенных в список избирателей	229050	13	124	448	2458	1738	2140	1759	2151	1981	2281	1874	1825	2739	2302	2364	2135	1497	2585	2213	696	2721	1829	2281	2413	1965	1641	2546	1739	1707	2308	1911	2930	2093	1431	2090	868	893	2019	2009	2801	1359	2070	1514	3041	2502	2951	2928	2292	1764	2158	554	1306	933	2801	1776	1843	2816	1871	2178	2666	1771	2771	1266	2804	2011	2545	2068	2688	2021	1585	457	2938	2894	2801	2944	2876	2758	2026	2232	1731	1627	2331	2037	1932	1931	1883	1169	1938	2492	1259	1110	2300	1544	963	1368	449	1718	2877	2511	2810	1601	2575	2003	2411	2414	1737	1941	2678	1961	1965	2191	2834	958	1172	1412	77	163	509	97	74									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	204100	500	500	500	2000	1500	2000	1500	2000	1700	2000	1500	1500	2500	2000	2000	2000	1200	2500	2000	600	2500	1500	2000	2100	1800	1500	2500	1500	1500	2000	1600	2500	1500	1000	2000	700	1000	2000	1500	2500	1000	2000	1500	2500	2000	2500	2500	2000	2000	1500	500	1000	800	2500	1500	1500	2500	1500	2000	2500	1500	2500	1000	2500	1500	2500	2000	2500	1700	1500	500	2500	2500	2500	2500	2500	2500	2000	2000	1500	1500	2000	2000	1600	1500	1500	1000	1500	2500	1000	1000	2000	1500	1000	1000	500	1500	2500	2500	2500	1500	2500	1500	2000	2000	1500	1500	2500	1500	1500	2000	2500	800	1000	1000	500	500	500	1000	1000									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	132988	13	53	241	1308	939	1171	1009	1208	1032	1243	990	947	1672	1184	1213	1177	903	1341	1110	394	1676	1127	1350	1402	978	936	1571	941	1034	1267	1013	1743	1215	844	1201	457	591	1166	1159	1630	730	1207	889	1818	1639	1964	1849	1431	1474	1075	327	768	506	1614	1139	1087	1595	1000	1271	1417	865	1535	540	1397	1242	1587	1243	1564	1250	938	291	1735	1698	1803	1843	1726	1712	1226	1322	1059	995	1473	1242	1078	1058	1028	634	1231	1423	828	672	1203	908	544	837	253	995	1644	1512	1758	920	1510	1238	1495	1344	883	1187	1465	1184	1194	1315	1514	558	603	888	14	121	243	97	74									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	5376	0	71	182	40	23	34	56	41	49	75	32	19	39	48	34	38	41	65	34	8	30	20	33	51	60	32	43	26	39	44	34	26	39	47	46	29	9	68	68	66	12	22	15	50	34	26	44	35	58	97	27	20	30	141	39	41	84	50	25	72	64	44	39	141	23	27	29	40	20	16	51	29	39	58	43	25	35	39	66	13	28	65	47	38	36	198	20	31	55	36	13	66	15	14	22	122	51	33	28	27	15	48	37	29	52	35	20	45	26	34	65	84	19	33	45	63	42	237	0	0									
6	Число погашенных избирательных бюллетеней	65736	487	376	77	652	538	795	435	751	619	682	478	534	789	768	753	785	256	1094	856	198	794	353	617	647	762	532	886	533	427	689	553	731	246	109	753	214	400	766	273	804	258	771	596	632	327	510	607	534	468	328	146	212	264	745	322	372	821	450	704	1011	571	921	421	962	235	886	728	896	430	546	158	736	763	639	614	749	753	735	612	428	477	462	711	484	406	274	346	238	1022	136	315	731	577	442	141	125	454	823	960	715	565	942	225	476	604	582	293	990	290	272	620	902	223	364	67	423	337	20	903	926									
