Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																													
Дата голосования: 02.12.2007																																																																													
																																																																													
Наименование Избирательной комиссии:    Россошанская																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470					
1	"Число избирателей, внесенных в списки избирателей"	74635	2171	1804	2039	1820	1594	2358	2134	1614	2014	1545	2109	1557	2371	1429	1888	1498	2199	1140	2213	1466	1475	2070	1812	1360	1898	1575	2139	1400	341	478	355	999	1024	489	1160	644	380	415	157	250	780	680	361	959	227	141	337	1001	516	159	1745	157	306	170	147	1322	293	204	243	308	2279	1820	103	1083	147	380	289	542	292	260					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	62450	1800	1300	1500	1500	1100	1750	1800	1200	1700	1200	1500	1400	1900	1300	1600	1100	1600	800	1600	1300	1100	1700	1500	1000	1400	1100	1600	1000	340	475	350	1000	1000	475	1060	650	400	400	150	240	750	650	380	950	230	190	350	1000	500	170	1600	160	340	180	150	1200	300	200	230	280	2000	1700	105	1000	150	400	285	550	300	260					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	45627	1228	920	1164	1037	862	1308	1310	943	1477	1030	1369	1044	1551	1005	1278	971	1217	653	1281	824	808	1325	1155	794	1184	913	1277	828	179	334	268	531	669	364	712	404	208	312	110	107	511	353	233	530	121	113	187	578	337	95	1096	94	182	97	106	815	207	143	137	209	1371	1122	63	642	96	276	178	346	210	225					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	6797	324	254	101	93	190	239	124	128	57	70	54	56	63	30	44	40	72	55	54	145	168	89	107	96	67	146	98	93	99	63	55	197	164	37	235	139	103	45	10	57	160	135	45	115	34	28	55	192	81	49	248	35	71	42	18	98	29	45	47	43	231	196	21	182	25	64	39	139	44	25					
6	Число погашенных избирательных бюллетеней	10026	248	126	235	370	48	203	366	129	166	100	77	300	286	265	278	89	311	92	265	331	124	286	238	110	149	41	225	79	62	78	27	272	167	74	113	107	89	43	30	76	79	162	102	305	75	49	108	230	82	26	256	31	87	41	26	287	64	12	46	28	398	382	21	176	29	60	68	65	46	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6796	324	254	101	93	190	239	123	128	57	70	54	56	63	30	44	40	72	55	54	145	168	89	107	96	67	146	98	93	99	63	55	197	164	37	235	139	103	45	10	57	160	135	45	115	34	28	55	192	81	49	248	35	71	42	18	98	29	45	47	43	231	196	21	182	25	64	39	139	44	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45613	1228	920	1161	1037	862	1307	1310	943	1474	1030	1369	1044	1551	1005	1278	971	1217	653	1281	824	808	1325	1155	794	1184	913	1275	828	179	334	268	531	669	364	712	404	208	312	110	107	511	353	233	530	121	113	187	578	337	95	1093	94	182	97	106	815	207	143	137	209	1371	1120	63	642	96	276	178	346	210	225					
9	Число недействительных избирательных бюллетеней	555	8	10	12	10	14	16	16	12	10	10	6	11	27	14	24	9	9	3	20	12	10	24	17	9	17	24	24	14	1	2	0	4	4	6	9	8	1	0	0	9	5	4	2	9	5	2	1	14	4	0	13	0	6	0	0	10	2	1	0	0	9	11	1	9	0	4	0	4	1	2					
10	Число действительных избирательных бюллетеней	51854	1544	1164	1250	1120	1038	1530	1417	1059	1521	1090	1417	1089	1587	1021	1298	1002	1280	705	1315	957	966	1390	1245	881	1234	1035	1349	907	277	395	323	724	829	395	938	535	310	357	120	155	666	484	276	636	150	139	241	756	414	144	1328	129	247	139	124	903	234	187	184	252	1593	1305	83	815	121	336	217	481	253	248					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	892	15	10	15	15	5	30	17	10	35	10	45	10	23	15	20	10	20	10	15	10	10	10	10	15	10	10	15	10	3	16	0	7	4	10	20	33	14	3	2	2	26	6	14	8	2	7	3	32	8	0	32	3	20	2	2	15	6	14	4	4	30	45	2	16	0	27	7	7	4	2					
