Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																														
Дата голосования: 04.12.2011																																																																														
																																																																														
Наименование Избирательной комиссии:    Россошанская																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470	УИК №3471					
1	"Число избирателей, внесенных в список избирателей"	73421	1891	2088	1730	1876	1760	2010	1899	1742	1907	1631	1942	1691	1894	1975	1861	1788	1569	1698	1717	1634	1649	1577	1578	1633	1792	1676	1703	1652	333	471	328	977	1023	463	1175	636	367	495	302	723	667	369	960	238	181	327	1056	517	142	1700	155	281	164	124	1387	323	228	245	313	267	1912	1815	80	646	569	406	298	547	290	258	100					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	73535	1800	1900	1700	1800	1700	1900	1900	1700	1900	1600	1900	1700	1900	2000	1800	1800	1500	1700	1700	1600	1600	1600	1600	1600	1800	1600	1600	1600	350	500	330	1000	1050	475	1200	700	400	500	300	800	700	400	1000	340	185	340	1100	520	150	1750	150	300	170	145	1400	320	235	250	305	280	2000	1900	85	700	560	430	315	540	300	260	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	41056	929	1127	919	977	917	1035	1067	926	1231	940	1202	960	1133	1158	1153	1046	726	899	870	1000	896	877	841	883	961	889	886	846	168	343	211	479	612	355	661	369	177	343	68	444	345	221	484	151	109	192	495	244	43	1054	111	149	92	82	901	202	133	110	184	192	1101	1036	43	378	294	232	171	317	172	194	100					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6339	262	254	94	63	119	222	85	119	47	59	23	70	37	36	64	38	77	72	55	200	91	47	124	128	55	123	54	87	97	50	57	180	94	26	247	109	81	108	161	132	139	51	117	34	37	47	140	59	33	270	34	54	35	12	92	28	46	73	44	9	190	204	10	78	132	60	38	161	44	21	0					
6	Число погашенных избирательных бюллетеней	26140	609	519	687	760	664	643	748	655	622	601	675	670	730	806	583	716	697	729	775	400	613	676	635	589	784	588	660	667	85	107	62	341	344	94	292	222	142	49	71	224	216	128	399	155	39	101	465	217	74	426	5	97	43	51	407	90	56	67	77	79	709	660	32	244	134	138	106	62	84	45	200					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6299	262	254	94	63	119	222	85	119	47	59	23	70	37	36	64	38	77	72	55	160	91	47	124	128	55	123	54	87	97	50	57	180	94	26	247	109	81	108	161	132	139	51	117	34	37	47	140	59	33	270	34	54	35	12	92	28	46	73	44	9	190	204	10	78	132	60	38	161	44	21	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	40915	929	1127	919	977	917	1035	1066	926	1231	940	1202	960	1133	1158	1153	1045	726	899	870	912	896	830	841	883	961	889	886	846	168	343	211	479	612	355	661	369	177	343	68	443	345	221	484	151	109	192	495	244	43	1054	111	149	92	82	901	202	133	110	184	192	1098	1036	43	378	294	232	171	317	172	194	100					
9	Число недействительных избирательных бюллетеней	820	17	30	15	26	22	19	21	10	24	21	23	9	27	25	22	18	14	16	9	21	17	13	27	14	25	22	23	27	1	4	3	6	26	5	7	10	5	5	1	5	9	3	9	4	0	3	16	5	0	18	3	2	0	0	5	1	2	4	1	4	27	37	0	3	3	5	5	8	6	1	1					
10	Число действительных избирательных бюллетеней	46394	1174	1351	998	1014	1014	1238	1130	1035	1254	978	1202	1021	1143	1169	1195	1065	789	955	916	1051	970	864	938	997	991	990	917	906	264	389	265	653	680	376	901	468	253	446	228	570	475	269	592	181	146	236	619	298	76	1306	142	201	127	94	988	229	177	179	227	197	1261	1203	53	453	423	287	204	470	210	214	99					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1226	20	20	15	15	15	15	15	10	25	15	20	15	29	30	25	20	20	24	27	10	10	10	10	17	10	12	10	10	11	30	5	10	35	10	25	28	10	5	5	65	10	13	35	5	2	5	20	5	2	60	2	11	5	16	30	5	10	7	7	15	70	65	5	30	15	20	10	20	8	5	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1112	20	14	14	15	10	12	11	10	25	14	18	15	28	30	25	13	15	22	27	9	10	10	8	16	8	11	9	8	11	30	2	10	26	9	21	28	10	3	0	65	10	13	33	5	2	4	20	5	2	60	0	11	5	16	22	5	8	7	7	15	70	65	5	30	2	20	10	5	8	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	747	15	24	14	20	21	34	11	20	19	14	30	11	25	9	17	10	26	11	16	17	18	7	24	6	11	9	17	3	4	2	6	3	5	1	6	2	2	2	3	9	4	6	5	3	4	3	6	2	4	8	3	3	2	2	4	8	3	6	4	7	13	8	5	7	7	3	2	6	2	3	100					
14	Число погашенных неиспользованных открепительных удостоверений	114	0	6	1	0	5	3	4	0	0	1	2	0	1	0	0	7	5	2	0	1	0	0	2	1	2	1	1	2	0	0	3	0	9	1	4	0	0	2	5	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	8	0	2	0	0	0	0	0	0	0	13	0	0	15	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	76	1	1	1	1	3	3	0	0	2	1	5	3	1	2	0	3	2	1	4	1	0	4	1	1	2	1	4	0	1	0	0	0	2	0	2	0	2	0	0	1	0	1	0	0	0	0	3	1	0	1	0	0	0	0	1	0	0	0	1	0	1	8	0	2	0	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9885	270	294	249	261	236	258	256	194	258	189	244	214	273	242	241	223	153	217	201	270	257	251	250	252	207	222	231	244	40	61	30	100	133	80	184	92	26	55	19	84	98	53	124	19	26	33	145	54	8	240	8	24	20	5	207	50	23	33	44	53	299	332	11	92	67	55	59	72	23	30	17					
		20.94%	22.67%	21.29%	24.58%	25.10%	22.78%	20.53%	22.24%	18.56%	20.19%	18.92%	19.92%	20.78%	23.33%	20.27%	19.80%	20.59%	19.05%	22.35%	21.73%	25.19%	26.04%	28.62%	25.91%	24.93%	20.37%	21.94%	24.57%	26.15%	15.09%	15.52%	11.19%	15.17%	18.84%	20.99%	20.26%	19.25%	10.08%	12.20%	8.30%	14.61%	20.25%	19.49%	20.63%	10.27%	17.81%	13.81%	22.83%	17.82%	10.53%	18.13%	5.52%	11.82%	15.75%	5.32%	20.85%	21.74%	12.85%	18.03%	19.30%	26.37%	23.21%	26.77%	20.75%	20.18%	15.73%	18.84%	28.23%	15.06%	10.65%	13.95%	17.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6035	154	216	129	128	125	168	152	137	134	121	175	149	157	161	152	112	140	119	124	154	100	117	136	109	121	123	124	133	23	39	21	107	104	62	100	72	39	43	38	76	73	27	73	20	19	33	86	50	8	121	19	31	17	18	79	30	23	21	27	25	141	183	8	51	60	41	28	46	31	35	17					
		12.78%	12.93%	15.64%	12.73%	12.31%	12.07%	13.37%	13.21%	13.11%	10.49%	12.11%	14.29%	14.47%	13.42%	13.48%	12.49%	10.34%	17.43%	12.26%	13.41%	14.37%	10.13%	13.34%	14.09%	10.78%	11.91%	12.15%	13.19%	14.26%	8.68%	9.92%	7.84%	16.24%	14.73%	16.27%	11.01%	15.06%	15.12%	9.53%	16.59%	13.22%	15.08%	9.93%	12.15%	10.81%	13.01%	13.81%	13.54%	16.50%	10.53%	9.14%	13.10%	15.27%	13.39%	19.15%	7.96%	13.04%	12.85%	11.48%	11.84%	12.44%	10.95%	14.76%	15.09%	11.18%	14.08%	14.04%	13.40%	9.62%	14.35%	16.28%	17.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	472	4	10	8	7	13	13	11	13	16	9	17	7	12	17	15	10	13	6	11	11	8	9	10	11	19	12	11	9	1	2	1	4	8	4	8	8	3	0	3	3	5	1	5	4	0	3	3	1	0	17	0	0	3	0	4	2	2	9	3	1	15	12	0	5	6	2	1	4	2	3	2					
		0.99%	0.34%	0.72%	0.79%	0.67%	1.25%	1.03%	0.96%	1.24%	1.25%	0.90%	1.39%	0.68%	1.03%	1.42%	1.23%	0.92%	1.62%	0.62%	1.19%	1.03%	0.81%	1.03%	1.04%	1.09%	1.87%	1.19%	1.17%	0.96%	0.38%	0.51%	0.37%	0.61%	1.13%	1.05%	0.88%	1.67%	1.16%	0.00%	1.31%	0.52%	1.03%	0.37%	0.83%	2.16%	0.00%	1.26%	0.47%	0.33%	0.00%	1.28%	0.00%	0.00%	2.36%	0.00%	0.40%	0.87%	1.12%	4.92%	1.32%	0.50%	1.16%	0.97%	0.00%	1.10%	1.41%	0.68%	0.48%	0.84%	0.93%	1.40%	2.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	10834	274	292	243	244	237	343	292	298	322	265	329	275	260	301	303	293	204	241	242	246	264	182	215	222	282	257	214	216	36	89	60	128	128	59	146	111	93	57	23	115	142	54	163	31	14	38	140	53	28	324	25	59	30	23	112	24	43	30	35	22	268	228	6	112	126	65	50	53	39	62	34					
		22.95%	23.01%	21.14%	23.99%	23.46%	22.88%	27.29%	25.37%	28.52%	25.20%	26.53%	26.86%	26.70%	22.22%	25.21%	24.90%	27.05%	25.40%	24.82%	26.16%	22.95%	26.75%	20.75%	22.28%	21.96%	27.76%	25.40%	22.77%	23.15%	13.58%	22.65%	22.39%	19.42%	18.13%	15.49%	16.08%	23.22%	36.05%	12.64%	10.04%	20.00%	29.34%	19.85%	27.12%	16.76%	9.59%	15.90%	22.05%	17.49%	36.84%	24.47%	17.24%	29.06%	23.62%	24.47%	11.28%	10.43%	24.02%	16.39%	15.35%	10.95%	20.81%	18.39%	11.32%	24.56%	29.58%	22.26%	23.92%	11.09%	18.06%	28.84%	34.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	676	16	20	14	14	17	14	18	23	45	17	25	23	25	18	27	28	11	18	16	14	10	8	10	29	18	19	11	10	2	2	4	9	7	4	7	4	3	2	7	8	4	1	9	3	1	1	3	1	0	12	1	3	0	0	6	2	0	2	2	4	19	6	2	6	1	0	0	3	3	0	4					
		1.43%	1.34%	1.45%	1.38%	1.35%	1.64%	1.11%	1.56%	2.20%	3.52%	1.70%	2.04%	2.23%	2.14%	1.51%	2.22%	2.59%	1.37%	1.85%	1.73%	1.31%	1.01%	0.91%	1.04%	2.87%	1.77%	1.88%	1.17%	1.07%	0.75%	0.51%	1.49%	1.37%	0.99%	1.05%	0.77%	0.84%	1.16%	0.44%	3.06%	1.39%	0.83%	0.37%	1.50%	1.62%	0.68%	0.42%	0.47%	0.33%	0.00%	0.91%	0.69%	1.48%	0.00%	0.00%	0.60%	0.87%	0.00%	1.09%	0.88%	1.99%	1.48%	0.48%	3.77%	1.32%	0.23%	0.00%	0.00%	0.63%	1.39%	0.00%	4.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18273	451	516	349	353	380	436	398	362	469	375	400	348	408	421	448	393	266	349	316	348	322	294	312	368	338	357	321	288	161	195	149	303	298	167	453	180	88	284	134	282	153	132	216	104	86	125	238	137	32	589	89	84	57	46	580	118	86	84	116	91	514	441	26	186	162	123	66	291	112	84	25					
		38.70%	37.87%	37.36%	34.45%	33.94%	36.68%	34.69%	34.58%	34.64%	36.70%	37.54%	32.65%	33.79%	34.87%	35.26%	36.81%	36.29%	33.13%	35.94%	34.16%	32.46%	32.62%	33.52%	32.33%	36.40%	33.27%	35.28%	34.15%	30.87%	60.75%	49.62%	55.60%	45.98%	42.21%	43.83%	49.89%	37.66%	34.11%	62.97%	58.52%	49.04%	31.61%	48.53%	35.94%	56.22%	58.90%	52.30%	37.48%	45.21%	42.11%	44.49%	61.38%	41.38%	44.88%	48.94%	58.41%	51.30%	48.04%	45.90%	50.88%	45.27%	39.91%	35.56%	49.06%	40.79%	38.03%	42.12%	31.58%	60.88%	51.85%	39.07%	25.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	219	5	3	6	7	6	6	3	8	10	2	12	5	8	9	9	6	2	5	6	8	9	3	5	6	6	0	5	6	1	1	0	2	2	0	3	1	1	5	4	2	0	1	2	0	0	3	4	2	0	3	0	0	0	2	0	3	0	0	0	1	5	1	0	1	1	1	0	1	0	0	0					
