Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Волгодонская городская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №2456	УИК №2479					
1	"Число избирателей, внесенных в список"	129526	2593	2231	1919	2568	2403	2351	2442	2387	1047	2193	2255	1910	1604	2500	2305	337	2550	2471	2420	2515	2213	2875	2082	2042	2412	2431	2480	2369	2828	2802	2685	2432	2459	2613	2770	2511	2860	2606	2646	2596	2808	2807	2828	2853	2834	2527	2165	1763	1966	2139	2868	2875	2501	2879					
2	Число полученных избирательных бюллетеней	133640	2700	2200	2000	2600	2500	2400	2500	2400	1000	2100	2600	2000	1500	2500	2300	340	2600	2500	2400	2500	2200	2900	2200	2200	2500	2700	2800	2400	2800	2800	2800	2800	2600	2800	2900	2600	2800	2700	2800	2600	2900	2800	2900	2900	2900	2800	2700	1700	2000	2100	2900	2900	2700	2900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	83803	1715	1352	1441	1596	1633	1391	1701	1804	692	1384	1365	1192	1091	1370	1315	201	1866	1540	1535	1425	1237	1914	1242	1368	1501	1669	1741	1314	1657	1646	1810	1542	1516	1618	1670	1823	1570	1499	1637	1674	1818	1986	2130	2013	2063	1602	1576	926	1178	1480	1981	2005	1729	2059					
5	"Число избирательных бюллетеней, выданных вне помещения"	2688	131	103	109	91	88	57	48	54	64	40	37	29	57	35	40	6	33	41	45	55	38	239	54	35	41	40	30	20	24	17	44	161	28	23	29	21	27	28	50	33	81	35	25	25	24	17	18	130	19	72	25	13	28	31					
6	Число погашенных избирательных бюллетеней	47149	854	745	450	913	779	952	751	542	244	676	1198	779	352	1095	945	133	701	919	820	1020	925	747	904	797	958	991	1029	1066	1119	1137	946	1097	1056	1159	1201	756	1203	1173	1113	893	1001	779	745	862	813	1181	1106	644	803	548	894	882	943	810					
7	Число избирательных бюллетеней в переносных ящиках	2688	131	103	109	91	88	57	48	54	64	40	37	29	57	35	40	6	33	41	45	55	38	239	54	35	41	40	30	20	24	17	44	161	28	23	29	21	27	28	50	33	81	35	25	25	24	17	18	130	19	72	25	13	28	31					
8	Число бюллетеней в стационарных ящиках для голосования	83796	1715	1352	1441	1596	1633	1391	1701	1804	692	1384	1364	1192	1091	1370	1315	201	1866	1540	1535	1425	1237	1914	1242	1368	1501	1669	1741	1314	1657	1646	1810	1541	1515	1615	1670	1823	1569	1499	1637	1674	1818	1986	2130	2013	2063	1602	1576	926	1178	1480	1981	2005	1729	2059					
9	Число недействительных избирательных бюллетеней	538	4	12	8	9	7	5	9	7	7	7	13	6	3	4	4	0	9	5	9	7	10	18	4	1	8	9	11	8	6	8	5	6	11	11	4	5	4	6	6	12	18	25	3	55	43	0	0	14	6	20	18	14	23	11					
10	Число действительных избирательных бюллетеней	85946	1842	1443	1542	1678	1714	1443	1740	1851	749	1417	1388	1215	1145	1401	1351	207	1890	1576	1571	1473	1265	2135	1292	1402	1534	1700	1760	1326	1675	1655	1849	1696	1532	1627	1695	1839	1592	1521	1681	1695	1881	1996	2152	1983	2044	1619	1594	1042	1191	1532	1988	2004	1734	2079					
11	Число полученных открепительных  удостоверений	1620	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	30	40	30	30	30	30	30	30	30	30	30	25	42	23	30	30	30	30	30	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30					
12	Число выданных открепительных удостоверений	1040	20	14	22	20	20	22	7	16	1	8	29	23	6	24	21	6	12	29	23	18	11	14	16	21	18	28	27	24	32	12	22	11	22	23	18	22	22	17	23	31	23	14	24	19	16	22	12	17	20	20	29	21	23	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	906	13	18	37	18	11	43	11	21	7	13	25	14	7	10	6	5	9	18	9	50	12	11	21	11	17	11	12	9	48	18	25	28	16	4	20	22	14	14	23	8	55	11	18	16	8	12	21	6	13	18	8	12	11	8					
14	Число неиспользованных открепительных удостоверений	580	10	16	8	10	10	8	23	14	29	22	1	7	24	6	9	4	18	11	7	12	19	16	14	9	12	2	3	1	10	11	8	19	8	7	12	8	8	13	7	9	7	16	6	11	14	8	18	13	10	10	1	9	7	5					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																													
