Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Тюменцевская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673					
1	"Число избирателей, внесенных в список"	13137	1367	1233	1623	439	404	474	461	192	603	1688	1374	158	354	430	213	360	897	91	384	392					
2	Число полученных избирательных бюллетеней	13173	1368	1240	1635	441	417	472	465	191	598	1687	1370	158	353	430	212	363	904	94	384	391					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8384	771	664	915	306	303	325	334	146	408	1079	840	108	260	304	156	266	600	62	250	287					
5	"Число избирательных бюллетеней, выданных вне помещения"	519	30	32	24	32	23	16	13	4	15	109	121	9	16	14	9	4	18	6	13	11					
6	Число погашенных избирательных бюллетеней	4270	567	544	696	103	91	131	118	41	175	499	409	41	77	112	47	93	286	26	121	93					
7	Число избирательных бюллетеней в переносных ящиках	519	30	32	24	32	23	16	13	4	15	109	121	9	16	14	9	4	18	6	13	11					
8	Число бюллетеней в стационарных ящиках для голосования	8382	771	662	915	306	303	325	334	146	408	1079	840	108	260	304	156	266	600	62	250	287					
9	Число недействительных избирательных бюллетеней	100	8	4	7	3	3	2	6	2	5	9	13	2	4	2	12	5	2	1	6	4					
10	Число действительных избирательных бюллетеней	8801	793	690	932	335	323	339	341	148	418	1179	948	115	272	316	153	265	616	67	257	294					
11	Число полученных открепительных  удостоверений	199	20	20	19	8	5	8	10	4	11	20	20	4	7	8	4	6	12	3	5	5					
12	Число выданных открепительных удостоверений	37	2	8	8	1	0	2	1	0	4	5	3	0	0	1	0	1	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	0	2	0	1	0	0	1	2	1	2	0	1	0	1	1	2	2	0	1	3					
14	Число неиспользованных открепительных удостоверений	162	18	12	11	7	5	6	9	4	7	15	17	4	7	7	4	5	11	3	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	199	15	17	23	6	7	15	6	2	7	27	26	4	11	10	1	3	13	3	3	0					
		2.24%	1.87%	2.45%	2.45%	1.78%	2.15%	4.40%	1.73%	1.33%	1.65%	2.27%	2.71%	3.42%	3.99%	3.14%	0.61%	1.11%	2.10%	4.41%	1.14%	0.00%					
19	. Малышкин Олег Александрович	339	22	28	25	12	19	13	17	22	6	32	25	9	20	17	10	13	21	4	16	8					
		3.81%	2.75%	4.03%	2.66%	3.55%	5.83%	3.81%	4.90%	14.67%	1.42%	2.69%	2.60%	7.69%	7.25%	5.35%	6.06%	4.81%	3.40%	5.88%	6.08%	2.68%					
20	. Миронов Сергей Михайлович	54	3	4	5	1	4	0	2	1	2	6	5	1	1	3	2	4	4	1	2	3					
		0.61%	0.37%	0.58%	0.53%	0.30%	1.23%	0.00%	0.58%	0.67%	0.47%	0.51%	0.52%	0.85%	0.36%	0.94%	1.21%	1.48%	0.65%	1.47%	0.76%	1.01%					
21	. Путин Владимир Владимирович	5960	612	503	689	244	220	218	205	91	270	848	561	86	151	169	101	193	402	40	166	191					
		66.96%	76.40%	72.48%	73.38%	72.19%	67.48%	63.93%	59.08%	60.67%	63.83%	71.38%	58.38%	73.50%	54.71%	53.14%	61.21%	71.48%	65.05%	58.82%	63.12%	64.09%					
22	. Хакамада Ирина Муцуовна	118	10	9	15	2	1	6	8	2	7	15	10	1	7	6	2	4	6	1	2	4					
		1.33%	1.25%	1.30%	1.60%	0.59%	0.31%	1.76%	2.31%	1.33%	1.65%	1.26%	1.04%	0.85%	2.54%	1.89%	1.21%	1.48%	0.97%	1.47%	0.76%	1.34%					
23	. Харитонов Николай Михайлович	1977	105	126	148	64	66	81	97	26	122	241	313	9	78	102	37	45	163	17	56	81					
		22.21%	13.11%	18.16%	15.76%	18.93%	20.25%	23.75%	27.95%	17.33%	28.84%	20.29%	32.57%	7.69%	28.26%	32.08%	22.42%	16.67%	26.38%	25.00%	21.29%	27.18%					
																											
24	Против всех	154	26	3	27	6	6	6	6	4	4	10	8	5	4	9	0	3	7	1	12	7					
		1.73%	3.25%	0.43%	2.88%	1.78%	1.84%	1.76%	1.73%	2.67%	0.95%	0.84%	0.83%	4.27%	1.45%	2.83%	0.00%	1.11%	1.13%	1.47%	4.56%	2.35%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
