Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Дахадаевская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26786	1449	1061	1356	752	512	391	96	978	703	656	465	628	256	743	706	274	527	209	232	134	812	1145	1199	1155	8	1128	292	171	453	479	114	266	167	218	277	194	111	98	121	180	63	581	350	176	285	156	502	56	243	1178	1221	215	255	224	371	194									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26490	1419	1051	1331	747	506	391	96	968	698	651	460	610	256	738	701	274	522	209	232	134	802	1125	1179	1135	8	1108	292	171	448	474	114	244	167	218	277	194	111	98	121	180	63	576	350	176	285	156	497	56	243	1148	1221	215	255	224	371	194									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23567	455	1008	1288	714	207	371	80	929	668	623	442	546	243	266	671	260	501	199	220	127	771	1000	1139	1097	8	1072	277	162	430	455	108	238	159	207	200	179	94	90	115	171	60	552	333	167	271	148	477	53	231	1119	1160	215	242	213	352	184									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	125	0	0	0	0	15	0	3	0	0	0	0	0	0	15	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	2798	964	43	43	33	284	20	13	39	30	28	18	64	13	457	30	14	21	10	12	7	31	37	40	38	0	36	15	9	18	19	6	2	8	11	77	15	17	8	6	9	3	24	17	9	14	8	20	3	12	29	61	0	13	11	19	10									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	125	0	0	0	0	15	0	3	0	0	0	0	0	0	15	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23567	455	1008	1288	714	207	371	80	929	668	623	442	546	243	266	671	260	501	199	220	127	771	1000	1139	1097	8	1072	277	162	430	455	108	238	159	207	200	179	94	90	115	171	60	552	333	167	271	148	477	53	231	1119	1160	215	242	213	352	184									
9	Число недействительных избирательных бюллетеней	89	72	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	23603	383	1007	1288	714	221	371	83	929	668	623	442	546	243	280	671	260	501	198	220	127	771	1088	1138	1096	8	1072	277	161	429	455	107	240	157	207	200	179	94	90	115	171	59	552	333	167	271	147	476	53	231	1119	1159	215	242	213	352	184									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	165	7	6	7	4	4	2	0	7	5	5	3	5	1	5	5	1	4	1	1	1	7	8	8	8	0	8	1	1	2	2	1	1	1	1	1	1	1	0	1	1	0	4	2	1	2	1	3	0	1	9	9	1	1	1	1	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	164	7	6	7	4	4	2	0	7	5	5	3	5	1	5	5	1	4	1	1	1	7	7	8	8	0	8	1	1	2	2	1	1	1	1	1	1	1	0	1	1	0	4	2	1	2	1	3	0	1	9	9	1	1	1	1	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.02%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	98	92	0	0	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.41%	20.22%	0.00%	0.00%	0.00%	1.80%	0.00%	1.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	21627	275	918	1168	658	182	342	79	856	668	574	407	524	224	190	618	239	461	183	203	117	710	1002	1049	1010	7	987	255	149	396	419	99	221	146	191	174	168	94	75	108	157	55	508	307	154	249	136	439	49	213	1031	1068	205	223	195	324	168									
		91.28%	60.44%	91.07%	90.68%	92.16%	81.98%	92.18%	95.18%	92.14%	100.00%	92.13%	92.08%	95.97%	92.18%	67.62%	92.10%	91.92%	92.02%	91.96%	92.27%	92.13%	92.09%	92.10%	92.10%	92.07%	87.50%	92.07%	92.06%	91.98%	92.09%	92.09%	91.67%	91.32%	91.82%	92.27%	87.00%	93.85%	100.00%	83.33%	93.91%	91.81%	91.67%	92.03%	92.19%	92.22%	91.88%	91.89%	92.03%	92.45%	92.21%	92.14%	92.07%	95.35%	92.15%	91.55%	92.05%	91.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	12.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	63	5	2	3	1	15	1	1	2	0	1	1	0	0	4	1	1	1	0	0	0	2	2	2	2	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	2	2	0	0	1	1	1									
