Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Мошенская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223					
1	"Число избирателей, внесенных в список"	6930	223	191	363	270	118	245	914	613	252	305	2184	595	249	272	136					
2	Число полученных избирательных бюллетеней	6920	215	192	362	270	120	235	915	606	241	302	2204	604	249	267	138					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4880	125	155	219	184	79	137	718	431	181	216	1529	395	181	215	115					
5	"Число избирательных бюллетеней, выданных вне помещения"	968	56	17	89	59	36	73	118	124	50	49	106	113	37	32	9					
6	Число погашенных избирательных бюллетеней	1072	34	20	54	27	5	25	79	51	10	37	569	96	31	20	14					
7	Число избирательных бюллетеней в переносных ящиках	968	56	17	89	59	36	73	118	124	50	49	106	113	37	32	9					
8	Число бюллетеней в стационарных ящиках для голосования	4875	125	155	219	184	79	137	718	431	181	216	1524	395	181	215	115					
9	Число недействительных избирательных бюллетеней	23	2	0	0	0	0	0	2	7	0	1	8	1	0	2	0					
10	Число действительных избирательных бюллетеней	5820	179	172	308	243	115	210	834	548	231	264	1622	507	218	245	124					
11	Число полученных открепительных  удостоверений	146	5	3	5	8	3	5	15	7	5	5	60	8	5	7	5					
12	Число выданных открепительных удостоверений	63	0	1	1	8	0	0	4	2	0	5	32	4	0	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	1	1	1	1	1	5	3	2	2	2	12	1	1	3	1					
14	Число неиспользованных открепительных удостоверений	83	5	2	4	0	3	5	11	5	5	0	28	4	5	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	110	4	8	10	3	4	0	18	13	5	2	34	2	4	3	0					
		1.88%	2.21%	4.65%	3.25%	1.23%	3.48%	0.00%	2.15%	2.34%	2.16%	0.75%	2.09%	0.39%	1.83%	1.21%	0.00%					
19	. Малышкин Олег Александрович	139	2	11	9	8	0	5	11	14	3	4	52	7	4	6	3					
		2.38%	1.10%	6.40%	2.92%	3.29%	0.00%	2.38%	1.32%	2.52%	1.30%	1.51%	3.19%	1.38%	1.83%	2.43%	2.42%					
20	. Миронов Сергей Михайлович	39	2	2	1	1	1	0	6	1	2	2	13	3	2	3	0					
		0.67%	1.10%	1.16%	0.32%	0.41%	0.87%	0.00%	0.72%	0.18%	0.87%	0.75%	0.80%	0.59%	0.92%	1.21%	0.00%					
21	. Путин Владимир Владимирович	4485	115	118	223	181	91	190	671	444	197	214	1186	418	168	173	96					
		76.76%	63.54%	68.60%	72.40%	74.49%	79.13%	90.48%	80.26%	80.00%	85.28%	80.75%	72.76%	82.28%	77.06%	70.04%	77.42%					
22	. Хакамада Ирина Муцуовна	98	3	2	3	2	1	2	12	14	6	1	34	4	3	8	3					
		1.68%	1.66%	1.16%	0.97%	0.82%	0.87%	0.95%	1.44%	2.52%	2.60%	0.38%	2.09%	0.79%	1.38%	3.24%	2.42%					
23	. Харитонов Николай Михайлович	827	49	30	47	43	18	10	97	54	17	38	253	69	30	50	22					
		14.15%	27.07%	17.44%	15.26%	17.70%	15.65%	4.76%	11.60%	9.73%	7.36%	14.34%	15.52%	13.58%	13.76%	20.24%	17.74%					
																						
24	Против всех	122	4	1	15	5	0	3	19	8	1	3	50	4	7	2	0					
		2.09%	2.21%	0.58%	4.87%	2.06%	0.00%	1.43%	2.27%	1.44%	0.43%	1.13%	3.07%	0.79%	3.21%	0.81%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
