Выборы Президента Российской Федерации																																		
Дата голосования: 18.03.2018																																		
																																		
Наименование Избирательной комиссии:    Куменская																																		
																																		
Сводная таблица итогов голосования																																		
																																		
	Число участковых избирательных комиссий	23																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	23																																
																																		
		Сумма	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601									
1	"Число избирателей, включенных в список избирателей"	14444	404	361	304	328	214	1353	278	484	318	1340	190	462	277	243	899	465	1284	1242	1317	185	924	1047	525									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14325	400	350	300	320	230	1300	300	490	300	1400	180	450	290	250	870	460	1300	1200	1300	200	900	1035	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9337	288	268	202	229	148	940	178	337	212	864	104	285	158	118	479	288	813	770	870	110	686	722	268									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	864	34	17	20	15	23	76	17	21	18	70	10	34	16	30	94	22	49	70	54	21	17	43	93									
6	Число погашенных избирательных бюллетеней	4124	78	65	78	76	59	284	105	132	70	466	66	131	116	102	297	150	438	360	376	69	197	270	139									
7	Число избирательных бюллетеней в переносных ящиках для голосования	864	34	17	20	15	23	76	17	21	18	70	10	34	16	30	94	22	49	70	54	21	17	43	93									
8	Число бюллетеней в стационарных ящиках для голосования	9337	288	268	202	229	148	940	178	337	212	864	104	285	158	118	479	288	813	770	870	110	686	722	268									
9	Число недействительных избирательных бюллетеней	129	4	6	0	1	3	8	2	4	2	15	0	7	1	2	10	7	10	10	15	4	4	10	4									
