Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Куменская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669					
1	"Число избирателей, внесенных в список"	15376	446	322	378	1292	313	531	296	1373	255	458	233	222	137	481	363	264	1058	532	1308	1452	1398	884	1113	267					
2	Число полученных избирательных бюллетеней	15300	450	335	381	1300	320	533	300	1372	251	441	245	218	143	496	349	258	1055	531	1325	1460	1440	856	973	268					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9246	280	225	244	824	202	320	179	762	150	286	166	177	78	282	240	175	626	329	703	732	851	548	696	171					
5	"Число избирательных бюллетеней, выданных вне помещения"	851	48	27	34	40	27	31	16	87	39	36	0	9	9	75	31	24	84	27	36	94	26	12	19	20					
6	Число погашенных избирательных бюллетеней	5203	122	83	103	436	91	182	105	523	62	119	79	32	56	139	78	59	345	175	586	634	563	296	258	77					
7	Число избирательных бюллетеней в переносных ящиках	851	48	27	34	40	27	31	16	87	39	36	0	9	9	75	31	24	84	27	36	94	26	12	19	20					
8	Число бюллетеней в стационарных ящиках для голосования	9245	280	225	244	824	202	320	179	762	150	286	166	177	78	282	240	175	626	329	703	731	851	548	696	171					
9	Число недействительных избирательных бюллетеней	60	3	3	3	0	2	1	0	3	0	0	1	3	0	0	1	0	3	3	9	6	4	6	5	4					
10	Число действительных избирательных бюллетеней	10036	325	249	275	864	227	350	195	846	189	322	165	183	87	357	270	199	707	353	730	819	873	554	710	187					
11	Число полученных открепительных  удостоверений	238	4	9	12	15	10	8	4	8	6	5	4	5	8	11	8	5	12	10	15	20	30	9	15	5					
12	Число выданных открепительных удостоверений	134	1	6	9	7	7	4	3	4	1	2	3	5	5	11	2	1	4	8	5	12	30	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	241	0	3	3	3	1	3	1	5	1	4	0	6	1	1	1	2	4	5	1	15	5	32	144	0					
14	Число неиспользованных открепительных удостоверений	104	3	3	3	8	3	4	1	4	5	3	1	0	3	0	6	4	8	2	10	8	0	6	14	5					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	1	0	1	2	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	378	15	12	7	26	4	22	0	21	4	6	5	0	5	14	10	3	24	12	43	32	54	23	32	4					
		3.74%	4.57%	4.76%	2.52%	3.01%	1.75%	6.27%	0.00%	2.47%	2.12%	1.86%	3.01%	0.00%	5.75%	3.92%	3.69%	1.51%	3.38%	3.37%	5.82%	3.88%	6.16%	4.11%	4.48%	2.09%					
19	. Малышкин Олег Александрович	290	11	7	12	38	10	12	6	19	5	5	9	0	1	4	8	1	35	6	21	24	22	10	19	5					
		2.87%	3.35%	2.78%	4.32%	4.40%	4.37%	3.42%	3.08%	2.24%	2.65%	1.55%	5.42%	0.00%	1.15%	1.12%	2.95%	0.50%	4.93%	1.69%	2.84%	2.91%	2.51%	1.79%	2.66%	2.62%					
20	. Миронов Сергей Михайлович	108	8	3	2	8	4	1	1	9	5	4	2	2	6	3	3	0	2	2	4	12	13	2	10	2					
		1.07%	2.44%	1.19%	0.72%	0.93%	1.75%	0.28%	0.51%	1.06%	2.65%	1.24%	1.20%	1.08%	6.90%	0.84%	1.11%	0.00%	0.28%	0.56%	0.54%	1.45%	1.48%	0.36%	1.40%	1.05%					
21	. Путин Владимир Владимирович	6350	194	149	133	606	160	219	136	587	72	234	97	145	56	287	180	152	398	251	442	479	444	372	476	81					
		62.90%	59.15%	59.13%	47.84%	70.14%	69.87%	62.39%	69.74%	69.14%	38.10%	72.67%	58.43%	77.96%	64.37%	80.39%	66.42%	76.38%	56.06%	70.51%	59.81%	58.06%	50.63%	66.43%	66.57%	42.41%					
22	. Хакамада Ирина Муцуовна	182	9	3	2	13	2	5	4	8	3	6	3	4	1	7	7	7	10	4	12	9	20	16	26	1					
		1.80%	2.74%	1.19%	0.72%	1.50%	0.87%	1.42%	2.05%	0.94%	1.59%	1.86%	1.81%	2.15%	1.15%	1.96%	2.58%	3.52%	1.41%	1.12%	1.62%	1.09%	2.28%	2.86%	3.64%	0.52%					
23	. Харитонов Николай Михайлович	2434	79	67	111	147	40	87	44	168	94	57	45	30	16	40	52	27	216	66	188	235	287	122	127	89					
		24.11%	24.09%	26.59%	39.93%	17.01%	17.47%	24.79%	22.56%	19.79%	49.74%	17.70%	27.11%	16.13%	18.39%	11.20%	19.19%	13.57%	30.42%	18.54%	25.44%	28.48%	32.73%	21.79%	17.76%	46.60%					
																															
24	Против всех	294	9	8	8	26	7	4	4	34	6	10	4	2	2	2	10	9	22	12	20	28	33	9	20	5					
		2.91%	2.74%	3.17%	2.88%	3.01%	3.06%	1.14%	2.05%	4.00%	3.17%	3.11%	2.41%	1.08%	2.30%	0.56%	3.69%	4.52%	3.10%	3.37%	2.71%	3.39%	3.76%	1.61%	2.80%	2.62%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
