Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Долинская  																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52					
1	"Число избирателей, внесенных в списки"	23775	676	569	1859	1289	2330	1857	1872	2336	102	330	430	332	1545	1387	1030	1400	994	2154	1283					
2	"Число бюллетеней, полученных участковыми комиссиями"	21025	598	495	1696	1120	2069	1641	1633	2032	90	289	367	315	1345	1198	976	1309	858	1864	1130					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10565	336	315	980	391	1026	878	896	1031	28	92	117	267	528	583	507	748	387	916	539					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	353	53	24	14	14	23	24	5	18	20	0	7	0	9	20	19	61	16	14	12					
6	Число погашенных бюллетеней	10107	209	156	702	715	1020	739	732	983	42	197	243	48	808	595	450	500	455	934	579					
7	Число бюллетеней в переносных ящиках для голосования	353	53	24	14	14	23	24	5	18	20	0	7	0	9	20	19	61	16	14	12					
8	Число бюллетеней в стационарных ящиках для голосования	10558	336	315	980	391	1025	878	894	1030	28	92	117	267	527	583	506	748	387	915	539					
9	Число недействительных бюллетеней	183	3	5	18	5	14	20	12	9	1	0	3	2	8	23	8	16	11	10	15					
10	Число действительных бюллетеней	10728	386	334	976	400	1034	882	887	1039	47	92	121	265	528	580	517	793	392	919	536					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	370	10	10	25	20	35	40	25	35	0	3	5	12	30	20	15	20	15	30	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	141	1	4	4	1	7	31	11	11	0	0	0	8	13	4	15	13	5	5	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	8	2	4	2	2	3	2	4	1	0	1	0	3	4	2	1	0	3	0					
14	Число погашенных открепительных удостоверений	229	9	6	21	19	28	9	14	24	0	3	5	4	17	16	0	7	10	25	12					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	112	7	7	4	2	9	5	8	7	1	1	0	9	8	9	12	11	5	3	4					
		1.02%	1.79%	2.06%	0.40%	0.49%	0.85%	0.55%	0.88%	0.66%	2.08%	1.08%	0.0%	3.37%	1.49%	1.49%	2.28%	1.35%	1.24%	0.32%	0.72%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	268	7	13	11	10	44	21	37	36	1	0	5	7	14	13	8	12	4	18	7					
		2.45%	1.79%	3.83%	1.10%	2.46%	4.19%	2.32%	4.11%	3.43%	2.08%	0.0%	4.03%	2.62%	2.61%	2.15%	1.52%	1.48%	0.99%	1.93%	1.27%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	462	27	13	34	13	38	37	19	43	2	4	5	8	20	27	22	45	22	47	36					
		4.23%	6.94%	3.83%	3.42%	3.20%	3.62%	4.10%	2.11%	4.10%	4.16%	4.34%	4.03%	2.99%	3.73%	4.47%	4.19%	5.56%	5.45%	5.05%	6.53%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	441	6	4	34	19	55	58	55	61	1	2	5	9	19	17	8	18	12	39	19					
		4.04%	1.54%	1.17%	3.42%	4.69%	5.24%	6.43%	6.11%	5.82%	2.08%	2.17%	4.03%	3.37%	3.54%	2.81%	1.52%	2.22%	2.97%	4.19%	3.44%					
22	"5. ""За Русь Святую"""	47	1	0	4	6	0	3	3	3	0	0	0	0	2	2	3	6	4	5	5					
		0.43%	0.25%	0.0%	0.40%	1.48%	0.0%	0.33%	0.33%	0.28%	0.0%	0.0%	0.0%	0.0%	0.37%	0.33%	0.57%	0.74%	0.99%	0.53%	0.90%					
23	"6. ""Объединенная Российская партия ""Русь"""	32	1	3	3	2	4	1	2	0	0	0	0	2	2	7	1	2	1	1	0					
		0.29%	0.25%	0.88%	0.30%	0.49%	0.38%	0.11%	0.22%	0.0%	0.0%	0.0%	0.0%	0.74%	0.37%	1.16%	0.19%	0.24%	0.24%	0.10%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	41	1	1	1	6	3	3	0	2	0	0	1	8	1	1	1	5	3	2	2					
		0.37%	0.25%	0.29%	0.10%	1.48%	0.28%	0.33%	0.0%	0.19%	0.0%	0.0%	0.80%	2.99%	0.18%	0.16%	0.19%	0.61%	0.74%	0.21%	0.36%					
25	"8. ""Народно-республиканская партия России"""	12	1	1	1	2	2	0	1	1	0	0	0	0	1	0	0	0	1	1	0					
		0.10%	0.25%	0.29%	0.10%	0.49%	0.19%	0.0%	0.11%	0.09%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.24%	0.10%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	41	0	0	3	0	2	4	2	5	0	2	0	1	2	3	1	4	1	9	2					
		0.37%	0.0%	0.0%	0.30%	0.0%	0.19%	0.44%	0.22%	0.47%	0.0%	2.17%	0.0%	0.37%	0.37%	0.49%	0.19%	0.49%	0.24%	0.96%	0.36%					
27	"10. ""Аграрная партия России"""	177	2	9	14	4	14	17	16	13	1	4	3	1	8	9	14	18	7	17	6					
		1.62%	0.51%	2.65%	1.40%	0.98%	1.33%	1.88%	1.77%	1.24%	2.08%	4.34%	2.41%	0.37%	1.49%	1.49%	2.66%	2.22%	1.73%	1.82%	1.08%					
28	"11. ""Истинные патриоты России"""	15	1	5	0	0	3	2	1	0	0	0	1	1	0	0	0	0	0	1	0					
		0.13%	0.25%	1.47%	0.0%	0.0%	0.28%	0.22%	0.11%	0.0%	0.0%	0.0%	0.80%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	61	2	2	5	3	3	6	6	6	1	3	0	2	5	5	1	2	1	6	2					
		0.55%	0.51%	0.58%	0.50%	0.74%	0.28%	0.66%	0.66%	0.57%	2.08%	3.26%	0.0%	0.74%	0.93%	0.82%	0.19%	0.24%	0.24%	0.64%	0.36%					
30	"13. ""Демократическая партия России"""	20	0	1	1	1	1	1	0	2	0	0	0	1	1	2	1	3	3	1	1					
		0.18%	0.0%	0.29%	0.10%	0.24%	0.09%	0.11%	0.0%	0.19%	0.0%	0.0%	0.0%	0.37%	0.18%	0.33%	0.19%	0.37%	0.74%	0.10%	0.18%					
31	"14. ""Великая Россия - Евразийский Союз"""	19	0	0	2	0	2	2	2	1	0	1	1	2	1	2	1	1	0	1	0					
		0.17%	0.0%	0.0%	0.20%	0.0%	0.19%	0.22%	0.22%	0.09%	0.0%	1.08%	0.80%	0.74%	0.18%	0.33%	0.19%	0.12%	0.0%	0.10%	0.0%					
32	"15. ""Партия СЛОН"""	23	0	0	4	1	2	0	2	2	0	0	1	5	0	1	0	1	0	3	1					
		0.21%	0.0%	0.0%	0.40%	0.24%	0.19%	0.0%	0.22%	0.19%	0.0%	0.0%	0.80%	1.87%	0.0%	0.16%	0.0%	0.12%	0.0%	0.32%	0.18%					
33	"16. ""Родина"" (народно-патриотический союз)"""	908	16	13	86	35	103	73	86	104	4	5	11	14	43	37	31	46	41	105	55					
		8.32%	4.11%	3.83%	8.65%	8.64%	9.82%	8.09%	9.56%	9.92%	8.33%	5.43%	8.87%	5.24%	8.02%	6.13%	5.90%	5.68%	10.17%	11.30%	9.98%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	33	2	1	3	0	5	4	1	1	1	0	0	1	0	4	1	4	2	2	1					
		0.30%	0.51%	0.29%	0.30%	0.0%	0.47%	0.44%	0.11%	0.09%	2.08%	0.0%	0.0%	0.37%	0.0%	0.66%	0.19%	0.49%	0.49%	0.21%	0.18%					
35	"18. ""ЛДПР"""	2517	93	69	330	92	209	193	225	243	9	28	27	63	139	166	101	173	79	172	106					
		23.06%	23.90%	20.35%	33.19%	22.71%	19.94%	21.39%	25.02%	23.18%	18.75%	30.43%	21.77%	23.59%	25.93%	27.52%	19.23%	21.38%	19.60%	18.51%	19.23%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	143	10	2	14	8	9	11	13	14	1	1	2	3	4	10	4	14	5	10	8					
		1.31%	2.57%	0.58%	1.40%	1.97%	0.85%	1.21%	1.44%	1.33%	2.08%	1.08%	1.61%	1.12%	0.74%	1.65%	0.76%	1.73%	1.24%	1.07%	1.45%					
37	"20. ""Политическая партия ""Единая Россия"""	3254	139	140	272	112	298	238	277	297	11	21	36	97	180	174	206	268	89	252	147					
		29.82%	35.73%	41.29%	27.36%	27.65%	28.43%	26.38%	30.81%	28.33%	22.91%	22.82%	29.03%	36.32%	33.58%	28.85%	39.23%	33.12%	22.08%	27.12%	26.67%					
38	"21. ""Российская Конституционно-демократическая партия"""	18	1	1	1	1	1	0	2	4	0	1	0	0	2	0	1	0	1	2	0					
		0.16%	0.25%	0.29%	0.10%	0.24%	0.09%	0.0%	0.22%	0.38%	0.0%	1.08%	0.0%	0.0%	0.37%	0.0%	0.19%	0.0%	0.24%	0.21%	0.0%					
39	"22. ""Развитие предпринимательства"""	24	0	0	0	0	5	1	4	3	0	0	2	1	2	1	3	0	1	0	1					
		0.21%	0.0%	0.0%	0.0%	0.0%	0.47%	0.11%	0.44%	0.28%	0.0%	0.0%	1.61%	0.37%	0.37%	0.16%	0.57%	0.0%	0.24%	0.0%	0.18%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1486	52	33	111	50	167	149	84	136	10	12	11	18	52	63	74	124	75	168	97					
		13.61%	13.36%	9.73%	11.16%	12.34%	15.93%	16.51%	9.34%	12.97%	20.83%	13.04%	8.87%	6.74%	9.70%	10.44%	14.09%	15.32%	18.61%	18.08%	17.60%					
																										
41	Против всех	574	17	16	38	33	55	53	41	55	4	7	10	12	22	27	23	36	35	54	36					
		5.26%	4.37%	4.71%	3.82%	8.14%	5.24%	5.87%	4.56%	5.24%	8.33%	7.60%	8.06%	4.49%	4.10%	4.47%	4.38%	4.44%	8.68%	5.81%	6.53%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
