Выборы Президента Российской Федерации																																																																			
																																																																			
"Наименование Избирательной комиссии:    Саратов, Октябрьская"																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505					
1	"Число избирателей, внесенных в список"	99130	1226	1410	895	1037	1040	1591	1677	1218	1146	2162	2000	2674	2221	1345	1936	2706	1743	1970	1765	1495	2275	2157	2873	1898	2070	2599	3007	2056	2457	1910	1730	1739	1526	2086	2278	1506	2166	2259	1676	2660	1781	2966	2615	2511	1485	879	2444	2245	889	241	383	185	418	245	150	160	130	570	711	1937					
2	Число полученных избирательных бюллетеней	94730	1200	1300	850	1000	1000	1300	1550	1200	1150	2050	1950	2550	1950	1250	1550	2600	1600	1900	1700	1450	2150	2200	2650	1850	1950	2500	2850	2000	2250	1850	1650	1750	1450	1950	2150	1400	2000	2150	1650	2550	1750	2850	2500	2450	1400	900	2400	2250	900	250	400	200	420	250	150	160	150	570	730	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	75913	985	1062	640	825	761	1169	1223	733	759	1610	1643	2194	1485	1048	1019	1787	1196	1554	1341	1229	1877	1741	2273	1470	1619	2121	2703	1704	1978	1511	1045	1435	1138	1504	1582	1226	1648	1714	1340	2196	1422	2409	2102	2018	1083	537	2097	1980	549	129	145	182	418	243	102	148	111	272	254	1624					
5	"Число избирательных бюллетеней, выданных вне помещения"	5887	55	106	62	80	56	56	63	72	58	92	157	73	51	17	42	135	45	62	176	45	57	162	83	62	100	58	47	208	104	48	65	130	113	196	100	81	103	103	44	39	38	82	99	118	217	195	102	94	180	112	238	3	0	0	48	12	18	298	457	170					
6	Число погашенных избирательных бюллетеней	12930	160	132	148	95	183	75	264	395	333	348	150	283	414	185	489	678	359	284	183	176	216	297	294	318	231	321	100	88	168	291	540	185	199	250	468	93	249	333	266	315	290	359	299	314	100	168	201	176	171	9	17	15	2	7	0	0	21	0	19	206					
7	Число избирательных бюллетеней в переносных ящиках	5886	55	106	62	80	56	56	63	72	58	92	157	73	51	17	42	135	45	62	176	45	57	162	83	62	100	58	47	208	104	48	65	130	113	196	100	81	103	103	44	39	38	82	99	118	217	195	102	94	180	112	237	3	0	0	48	12	18	298	457	170					
8	Число бюллетеней в стационарных ящиках для голосования	75868	985	1062	640	825	761	1167	1219	733	759	1610	1643	2171	1485	1048	1019	1787	1183	1554	1341	1229	1877	1739	2273	1470	1619	2121	2703	1704	1978	1511	1045	1435	1138	1504	1582	1226	1648	1714	1340	2196	1422	2409	2102	2018	1083	537	2097	1980	549	129	145	182	418	243	102	148	111	272	254	1623					
9	Число недействительных избирательных бюллетеней	789	0	2	3	4	3	9	3	1	0	4	0	0	58	0	0	12	2	0	3	3	3	5	0	4	7	21	4	6	9	4	2	7	2	7	20	5	1	4	8	15	129	5	6	9	2	2	3	105	5	0	54	0	81	55	5	1	1	1	74	10					
10	Число действительных избирательных бюллетеней	80965	1040	1166	699	901	814	1214	1279	804	817	1698	1800	2244	1478	1065	1061	1910	1226	1616	1514	1271	1931	1896	2356	1528	1712	2158	2746	1906	2073	1555	1108	1558	1249	1693	1662	1302	1750	1813	1376	2220	1331	2486	2195	2127	1298	730	2196	1969	724	241	328	185	337	188	145	159	128	569	637	1783					
11	Число полученных открепительных  удостоверений	5081	100	100	100	100	100	100	100	100	150	100	100	100	100	100	100	101	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	130	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	100					
12	Число выданных открепительных удостоверений	3062	33	32	25	26	27	43	71	46	121	54	38	91	57	49	37	101	42	48	81	42	76	93	82	61	51	61	71	95	49	64	43	72	42	66	60	22	49	48	66	108	77	63	77	100	57	54	98	100	55	0	0	0	0	0	0	0	0	0	0	38					
