7	Число избирательных бюллетеней в переносных ящиках для голосования	3703	34	41	28	45	29	38	17	138	40	24	29	58	32	70	8	41	28	36	55	43	43	29	76	49	83	26	22	61	51	61	42	30	66	32	54	94	103	84	30	66	36	40	34	46	58	37	116	111	256	0	0	0	161	112	412	34	145	53	116					
8	Число бюллетеней в стационарных ящиках для голосования	68929	839	907	592	632	766	1082	1288	1409	1405	799	1035	1384	1937	1570	681	671	1101	1278	1228	1383	1330	1555	1517	2194	1432	2277	1576	1528	1427	1655	1132	1408	1484	949	1488	1539	1107	1425	1396	1973	1431	1545	1885	1631	1788	1413	455	1027	558	191	200	149	280	95	492	471	426	822	1691					
9	Число недействительных избирательных бюллетеней	675	7	9	2	4	9	16	24	13	9	0	7	24	15	20	2	15	15	18	10	12	15	92	13	17	11	16	0	20	13	5	14	0	11	12	15	14	0	18	16	3	0	14	4	7	0	7	3	8	4	0	6	3	15	0	2	14	42	5	5					
10	Число действительных избирательных бюллетеней	71957	866	939	618	673	786	1104	1281	1534	1436	823	1057	1418	1954	1620	687	697	1114	1296	1273	1414	1358	1492	1580	2226	1504	2287	1598	1569	1465	1711	1160	1438	1539	969	1527	1619	1210	1491	1410	2036	1467	1571	1915	1670	1846	1443	568	1130	810	191	194	146	426	207	902	491	529	870	1802					
11	Число полученных открепительных  удостоверений	3740	45	55	35	40	55	55	40	90	85	35	50	80	100	70	30	35	60	65	80	75	70	75	100	95	95	110	95	95	90	95	75	75	95	60	85	85	65	90	45	110	80	105	105	105	105	130	40	65	50	0	0	0	0	0	0	0	0	0	70					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2925	38	45	27	23	37	49	36	70	65	33	43	62	77	64	29	29	44	37	57	37	52	66	78	52	87	73	75	73	54	66	45	41	55	57	47	83	65	58	41	110	80	102	87	93	77	111	27	49	50	0	0	0	0	0	0	0	0	0	69					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	6068	3	33	27	17	18	276	230	227	24	9	11	295	23	54	13	26	13	48	8	11	62	30	28	20	25	78	14	34	35	30	22	9	18	78	42	5	13	19	84	11	9	20	11	7	9	9	21	15	45	166	200	149	401	176	904	505	566	824	8					
14	Число неиспользованных открепительных удостоверений	815	7	10	8	17	18	6	4	20	20	2	7	18	23	6	1	6	16	28	23	38	18	9	22	43	8	37	20	22	36	29	30	34	40	3	38	2	0	32	4	0	0	3	18	12	28	19	13	16	0	0	0	0	0	0	0	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	59	1	1	0	0	0	0	1	0	0	1	1	2	0	0	0	0	2	1	0	3	0	1	6	2	3	1	5	3	3	0	1	1	0	1	0	2	1	1	0	0	2	2	2	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																		
18	Богданов Андрей Владимирович	907	15	16	8	9	6	19	30	9	7	15	14	35	25	40	13	25	18	25	18	18	20	21	20	21	26	36	11	10	22	16	12	17	20	17	20	23	8	23	40	15	12	33	23	7	15	12	7	4	4	1	0	1	0	0	6	5	2	1	11					
		1.25%	1.72%	1.69%	1.29%	1.33%	0.75%	1.70%	2.30%	0.58%	0.48%	1.82%	1.32%	2.43%	1.27%	2.44%	1.89%	3.51%	1.59%	1.90%	1.40%	1.26%	1.46%	1.33%	1.26%	0.94%	1.72%	1.56%	0.69%	0.63%	1.49%	0.93%	1.02%	1.18%	1.29%	1.73%	1.30%	1.41%	0.66%	1.52%	2.81%	0.74%	0.82%	2.08%	1.20%	0.42%	0.81%	0.83%	1.23%	0.35%	0.49%	0.52%	0.00%	0.67%	0.00%	0.00%	0.66%	0.99%	0.35%	0.11%	0.61%					
19	Жириновский Владимир Вольфович	4383	48	64	41	58	31	112	71	26	78	59	58	83	104	152	84	68	68	77	52	82	100	88	69	114	111	79	65	127	72	89	86	85	134	153	73	92	67	187	163	73	60	141	149	65	111	81	77	55	48	1	0	0	1	0	26	16	6	15	88					
		6.03%	5.50%	6.75%	6.61%	8.57%	3.90%	10.00%	5.44%	1.68%	5.40%	7.17%	5.45%	5.76%	5.28%	9.27%	12.19%	9.55%	6.02%	5.86%	4.05%	5.75%	7.28%	5.56%	4.33%	5.08%	7.33%	3.43%	4.07%	7.99%	4.87%	5.19%	7.33%	5.91%	8.65%	15.60%	4.73%	5.63%	5.54%	12.39%	11.43%	3.58%	4.09%	8.90%	7.76%	3.88%	6.01%	5.59%	13.49%	4.83%	5.90%	0.52%	0.00%	0.00%	0.23%	0.00%	2.88%	3.17%	1.05%	1.71%	4.87%					
20	Зюганов Геннадий Андреевич	9950	158	158	99	99	121	226	135	294	195	88	152	270	211	314	92	138	174	213	202	115	229	98	212	182	243	272	169	247	191	195	232	114	249	223	280	295	133	355	197	377	170	333	386	171	237	184	30	129	94	5	0	1	6	11	50	24	17	20	135					
		13.70%	18.10%	16.67%	15.97%	14.62%	15.22%	20.18%	10.34%	19.00%	13.49%	10.69%	14.29%	18.72%	10.72%	19.15%	13.35%	19.38%	15.41%	16.21%	15.74%	8.06%	16.68%	6.19%	13.31%	8.11%	16.04%	11.81%	10.58%	15.54%	12.92%	11.36%	19.76%	7.93%	16.06%	22.73%	18.16%	18.06%	10.99%	23.53%	13.81%	18.49%	11.59%	21.01%	20.11%	10.20%	12.84%	12.69%	5.25%	11.34%	11.55%	2.62%	0.00%	0.67%	1.36%	5.31%	5.53%	4.75%	2.98%	2.29%	7.47%					
21	Медведев Дмитрий Анатольевич	56717	645	701	470	507	628	747	1045	1205	1156	661	833	1030	1614	1114	498	466	854	981	1001	1199	1009	1285	1279	1909	1124	1900	1353	1185	1180	1411	830	1222	1136	576	1154	1209	1002	926	1010	1571	1225	1064	1357	1427	1483	1166	454	942	664	184	194	144	419	196	820	446	504	834	1568					
		78.09%	73.88%	73.95%	75.81%	74.89%	78.99%	66.70%	80.08%	77.89%	80.00%	80.32%	78.29%	71.43%	81.97%	67.93%	72.28%	65.45%	75.64%	74.66%	78.02%	84.08%	73.49%	81.12%	80.29%	85.11%	74.19%	82.50%	84.67%	74.58%	79.84%	82.23%	70.70%	84.98%	73.29%	58.72%	74.84%	74.04%	82.81%	61.37%	70.83%	77.05%	83.50%	67.13%	70.71%	85.09%	80.34%	80.41%	79.51%	82.78%	81.57%	96.34%	97.00%	96.64%	95.01%	94.69%	90.71%	88.32%	88.27%	95.31%	86.77%					
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
