Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Ики-Бурульская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99					
1	"Число избирателей, внесенных в списки избирателей"	7814	422	270	2149	926	350	149	363	791	587	492	228	545	365	177					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7995	442	295	2141	954	378	194	340	775	606	495	246	556	388	185					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4509	273	173	1084	414	273	132	170	482	318	272	166	345	259	148					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	435	18	21	44	91	21	17	8	45	79	0	29	37	20	5					
6	Число погашенных избирательных бюллетеней	3051	151	101	1013	449	84	45	162	248	209	223	51	174	109	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	435	18	21	44	91	21	17	8	45	79	0	29	37	20	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4505	273	173	1084	414	273	132	170	482	318	272	166	344	256	148					
9	Число недействительных избирательных бюллетеней	45	1	1	14	5	4	3	2	3	3	3	1	0	3	2					
10	Число действительных избирательных бюллетеней	4895	290	193	1114	500	290	146	176	524	394	269	194	381	273	151					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	295	20	20	35	30	20	10	5	25	40	10	15	20	35	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	290	20	20	35	30	20	9	5	25	40	10	15	20	31	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	53	1	2	18	2	1	0	0	5	2	8	3	2	6	3					
14	Число погашенных неиспользованных открепительных удостоверений	5	0	0	0	0	0	1	0	0	0	0	0	0	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	136	9	5	60	26	0	4	5	14	5	4	1	3	0	0					
		2.75%	3.09%	2.58%	5.32%	5.15%	0.00%	2.68%	2.81%	2.66%	1.26%	1.47%	0.51%	0.79%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	8	0	1	4	0	0	0	0	1	2	0	0	0	0	0					
		0.16%	0.00%	0.52%	0.35%	0.00%	0.00%	0.00%	0.00%	0.19%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	5	0	0	3	0	0	0	1	1	0	0	0	0	0	0					
		0.10%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.56%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	543	33	12	132	57	46	12	61	37	60	20	11	30	26	6					
		10.99%	11.34%	6.19%	11.70%	11.29%	15.65%	8.05%	34.27%	7.02%	15.11%	7.35%	5.64%	7.87%	9.42%	3.92%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	9	0	0	3	3	0	1	1	0	0	0	0	0	0	1					
		0.18%	0.00%	0.00%	0.27%	0.59%	0.00%	0.67%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%					
23	6.Политическая партия «Партия социальной справедливости»	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0					
		0.04%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	65	0	1	23	13	0	5	2	10	4	1	0	3	2	1					
		1.32%	0.00%	0.52%	2.04%	2.57%	0.00%	3.36%	1.12%	1.90%	1.01%	0.37%	0.00%	0.79%	0.72%	0.65%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	216	5	12	68	32	0	6	12	22	25	13	5	7	2	7					
		4.37%	1.72%	6.19%	6.03%	6.34%	0.00%	4.03%	6.74%	4.17%	6.30%	4.78%	2.56%	1.84%	0.72%	4.58%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	30	0	3	10	5	0	2	2	5	1	1	1	0	0	0					
		0.61%	0.00%	1.55%	0.89%	0.99%	0.00%	1.34%	1.12%	0.95%	0.25%	0.37%	0.51%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3867	243	159	806	363	244	115	90	431	297	227	175	338	243	136					
		78.28%	83.51%	81.96%	71.45%	71.88%	82.99%	77.18%	50.56%	81.78%	74.81%	83.46%	89.74%	88.71%	88.04%	88.89%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	14	0	0	5	0	0	1	1	3	0	3	1	0	0	0					
		0.28%	0.00%	0.00%	0.44%	0.00%	0.00%	0.67%	0.56%	0.57%	0.00%	1.10%	0.51%	0.00%	0.00%	0.00%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
