Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Шилкинская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831	УИК №3832	УИК №3833	УИК №3834	УИК №3835	УИК №3836	УИК №3837	УИК №3838	УИК №3839	УИК №3840	УИК №3841	УИК №3842	УИК №3843	УИК №3844	УИК №3845	УИК №3846									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33216	2310	2930	1932	1618	1524	219	1166	435	1838	1638	1833	1652	2785	191	136	223	1639	542	145	423	115	387	246	70	459	63	701	165	471	724	191	118	422	126	189	326	131	95	168	614	105	133	913	269	118	718									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31150	2200	2800	1800	1500	1400	200	1100	400	1700	1500	1700	1500	2600	200	125	200	1600	550	125	400	100	350	225	50	450	50	650	150	450	725	175	100	425	100	150	325	125	75	150	600	100	125	850	250	100	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11288	716	865	684	518	339	82	579	175	474	477	614	472	772	58	38	85	581	208	73	164	67	129	112	34	121	28	205	59	246	268	64	52	151	44	88	192	47	64	113	213	42	80	359	107	43	386									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	679	16	11	9	9	20	0	43	10	27	44	18	20	34	51	8	0	47	20	0	8	8	6	0	0	19	8	23	8	25	31	28	3	19	10	9	7	3	0	1	27	11	13	0	0	0	25									
6	Число погашенных избирательных бюллетеней	19152	1468	1924	1107	973	1041	118	478	215	1199	979	1068	1008	1794	91	79	115	972	310	52	228	25	215	113	16	291	14	422	83	179	426	83	45	255	46	53	126	75	11	36	360	47	32	491	143	57	289									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	710	16	11	9	9	20	0	43	10	27	44	18	20	34	51	8	0	47	32	0	8	8	6	0	0	38	8	23	8	25	31	28	3	19	10	9	7	3	0	1	27	11	13	0	0	0	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11229	716	865	684	518	339	82	579	175	471	477	612	472	738	58	38	85	581	208	73	164	67	129	112	34	121	28	205	59	246	268	64	52	151	44	88	191	47	64	113	213	42	80	359	107	43	367									
9	Число недействительных избирательных бюллетеней	388	23	27	21	13	8	0	10	7	13	31	27	9	34	7	1	0	14	10	3	7	3	1	3	24	2	1	6	0	10	4	3	3	2	0	1	8	1	0	2	7	3	1	17	4	6	11									
10	Число действительных избирательных бюллетеней	11551	709	849	672	514	351	82	612	178	485	490	603	483	738	102	45	85	614	230	70	165	72	134	109	10	157	35	222	67	261	295	89	52	168	54	96	190	49	64	112	233	50	92	342	103	37	381									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	438	15	20	20	15	10	2	10	5	20	20	20	20	20	5	5	5	20	10	5	10	5	10	5	3	10	3	10	5	10	10	5	3	20	10	10	3	3	3	3	10	5	5	15	3	2	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	145	7	13	15	3	3	2	4	1	15	9	9	3	10	0	1	2	13	1	0	1	1	8	1	0	3	0	2	0	1	5	0	0	6	0	0	0	0	0	0	0	0	1	3	1	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	84	1	0	8	2	0	0	0	0	4	2	6	2	5	9	1	1	1	2	0	4	0	4	3	3	2	0	1	0	1	3	0	1	0	2	3	0	0	4	0	2	0	0	2	3	1	1									
