Выборы Президента Российской Федерации																																																																																		
Дата голосования: 04.03.2012																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №29																																																																																		
																																																																																		
Сводная таблица итогов голосования																																																																																		
																																																																																		
	Число участковых избирательных комиссий	71																																																																																
	Число участковых избирательных комиссий, приступивших к передаче сведений	71																																																																																
																																																																																		
		Сумма	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755									
1	Число избирателей, включенных в список избирателей	169938	2528	2709	1831	2328	1808	2257	1372	2225	2813	2281	2645	2119	1685	2103	1466	2271	2285	1859	2435	2410	2445	1394	2043	1625	1425	2255	2300	1474	2289	2090	2828	2795	2588	2670	1708	1694	2791	3169	1847	3701	3062	2968	2933	3335	2988	2647	2642	2868	2441	2228	2191	2824	2736	2760	2224	2285	1792	1923	2398	2429	2794	3085	2860	2278	2413	2666	2536	2601	2287	3093	3090									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	137900	1900	2000	1500	1900	1500	1900	1100	2000	2400	1900	1900	1600	1500	2000	1500	1900	1900	1600	2300	2300	2000	1200	1600	1300	1200	2000	2000	1300	2000	1600	2300	2300	2200	2000	1400	1500	2800	2800	1500	2500	2500	2500	2400	2400	2400	2000	1900	2100	2000	2000	2000	2200	2200	2100	2000	1800	1500	1600	1900	1900	2000	2200	2200	1800	1900	2000	1900	1900	1800	2400	2300									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	107638	1594	1638	1042	1340	1117	1318	1073	1365	2254	1332	1426	1559	1321	1672	1112	1801	1342	1316	1930	1925	1966	1043	1575	1279	1085	1287	1081	857	1871	1579	1810	2006	2026	1981	1326	1275	1696	1814	1042	2042	1784	1938	2272	1811	1675	1398	1589	1525	1468	1563	1348	1746	1621	1615	1303	1230	1049	1065	1410	1408	1648	1732	1623	1330	1357	1479	1354	1430	1293	1729	1727									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	1255	35	27	12	25	19	19	4	13	11	19	15	31	12	17	22	19	31	44	19	16	22	13	15	13	14	17	6	0	9	11	17	26	24	6	12	10	27	7	17	9	15	12	16	83	9	14	16	19	17	6	9	15	15	21	10	23	18	11	29	13	23	20	13	10	39	13	12	16	16	17	20									
6	Число погашенных избирательных бюллетеней	29005	271	335	446	535	364	563	23	622	135	549	459	10	167	311	366	80	527	240	351	359	12	144	10	8	101	696	913	443	120	10	473	268	150	13	62	215	1077	979	439	449	701	550	112	506	716	588	295	556	515	431	643	439	564	464	687	547	433	524	461	479	329	448	564	460	504	508	534	454	491	654	553									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1255	35	27	12	25	19	19	4	13	11	19	15	31	12	17	22	19	31	44	19	16	22	13	15	13	14	17	6	0	9	11	17	26	24	6	12	10	27	7	17	9	15	12	16	83	9	14	16	19	17	6	9	15	15	21	10	23	18	11	29	13	23	20	13	10	39	13	12	16	16	17	20									
8	Число бюллетеней в стационарных ящиках для голосования	107405	1581	1638	1042	1340	1117	1318	1073	1365	2254	1332	1426	1559	1321	1672	1112	1801	1342	1316	1930	1925	1966	1043	1575	1279	1085	1287	1081	857	1871	1579	1810	2006	2026	1981	1326	1275	1696	1814	1039	2036	1784	1886	2272	1811	1671	1398	1579	1525	1468	1457	1348	1746	1621	1607	1303	1230	1048	1065	1405	1408	1648	1732	1623	1328	1357	1479	1354	1424	1292	1720	1720									
9	Число недействительных избирательных бюллетеней	1368	12	14	15	15	14	28	8	24	21	12	22	12	20	16	31	29	7	0	23	19	22	5	10	19	47	13	20	14	30	20	20	18	20	20	14	23	18	16	19	24	41	34	23	21	9	15	14	18	16	21	20	38	23	26	18	20	16	11	20	13	23	27	20	20	16	22	17	11	16	10	35									
10	Число действительных избирательных бюллетеней	107292	1604	1651	1039	1350	1122	1309	1069	1354	2244	1339	1419	1578	1313	1673	1103	1791	1366	1360	1926	1922	1966	1051	1580	1273	1052	1291	1067	843	1850	1570	1807	2014	2030	1967	1324	1262	1705	1805	1037	2021	1758	1864	2265	1873	1671	1397	1581	1526	1469	1442	1337	1723	1613	1602	1295	1233	1050	1065	1414	1408	1648	1725	1616	1318	1380	1470	1349	1429	1292	1727	1705									
