Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Голышмановская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253					
1	"Число избирателей, внесенных в списки избирателей"	19765	449	606	889	473	239	359	864	1003	1117	961	1201	744	861	1014	924	1474	506	118	160	423	631	725	961	633	732	496	123	87	610	382					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19865	440	615	900	480	240	370	880	1005	1115	940	1175	715	865	1025	930	1480	505	120	165	420	635	730	985	640	745	510	125	90	615	405					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1072	22	71	143	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	45	155	0	153	26	181	0	0	0	52	102					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16872	371	506	685	455	218	323	815	924	1019	849	1006	641	809	971	829	1344	341	101	144	309	399	660	769	542	490	406	105	73	502	266					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1011	47	27	27	8	21	31	40	42	53	43	27	52	29	15	27	19	29	15	15	62	69	29	31	48	54	78	15	13	33	12					
6	Число погашенных избирательных бюллетеней	910	0	11	45	17	1	16	25	39	43	48	142	22	27	39	74	117	13	4	6	4	12	41	32	24	20	26	5	4	28	25					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2083	69	98	170	8	21	31	40	42	53	43	27	52	29	15	27	19	151	15	15	107	224	29	184	74	235	78	15	13	85	114					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16871	371	506	685	455	218	323	815	924	1019	849	1006	641	809	971	829	1344	341	101	144	309	399	660	769	542	490	406	105	73	502	265					
9	Число недействительных избирательных бюллетеней	59	3	3	3	0	0	0	0	4	0	6	6	0	3	0	4	10	7	0	0	2	2	2	0	0	2	2	0	0	0	0					
10	Число действительных избирательных бюллетеней	18895	437	601	852	463	239	354	855	962	1072	886	1027	693	835	986	852	1353	485	116	159	414	621	687	953	616	723	482	120	86	587	379					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	664	35	10	25	10	5	45	18	17	29	25	33	12	15	17	14	29	20	10	14	10	30	45	10	16	40	70	20	10	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	664	35	10	25	10	5	45	18	17	29	25	33	12	15	17	14	29	20	10	14	10	30	45	10	16	40	70	20	10	20	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	108	4	2	0	1	1	0	4	3	7	4	9	12	3	2	1	9	3	3	2	4	3	3	2	1	7	8	2	2	5	1					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	86	0	2	3	0	0	4	7	3	3	4	6	2	4	8	10	11	0	0	3	0	5	1	3	1	0	3	0	1	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
