Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																										
																																																																										
"Наименование Избирательной комиссии:    Чебоксары, Московская "																																																																										
																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																										
																																																																										
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967					
1	"Число избирателей, внесенных в списки"	132165	660	2286	2552	2489	2644	2790	2729	2596	2149	1897	2409	2645	2481	2081	2023	2651	2405	2152	2137	2395	2600	1540	1265	2033	2162	2211	2010	1741	2190	2280	2432	2320	1576	1097	1845	1279	2221	2180	2714	2416	2713	2678	2648	2470	2801	2508	2704	2482	2712	2597	2787	2746	2636	2486	2494	2304	816	207	431	325	413	154	376	375	167	534	318					
2	"Число бюллетеней, полученных участковыми комиссиями"	127613	600	2200	2400	2400	2600	2700	2700	2500	2100	1900	2400	2600	2400	2100	2000	2600	2400	2000	2000	2400	2600	1400	1200	2000	2100	2100	1900	1600	2200	2100	2400	2200	1500	800	1600	1200	2200	2100	2700	2400	2700	2600	2500	2400	2600	2500	2700	2300	2600	2500	2700	2700	2500	2400	2400	2200	800	200	430	320	350	158	360	380	170	530	315					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	75302	362	1291	1599	1531	1595	1698	1477	1436	1324	1088	1421	1575	1451	1234	1174	1551	1478	1165	1158	1382	1579	853	751	1171	1135	1138	1152	1262	1278	1618	1554	1234	940	425	1159	494	1064	1176	1355	1273	1380	1527	1492	1261	1652	1439	1567	1485	1469	1407	1631	1443	1512	1487	1365	1335	314	99	178	196	245	133	337	285	114	104	244					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1767	17	6	7	14	13	8	8	43	22	18	25	31	15	34	44	20	28	21	20	19	28	1	0	29	22	11	9	7	18	10	10	6	4	246	9	21	18	21	13	19	31	2	4	2	6	10	19	9	13	14	6	14	11	20	36	32	11	3	4	16	0	21	23	87	47	342	69					
6	Число погашенных бюллетеней	50544	221	903	794	855	992	994	1215	1021	754	794	954	994	934	832	782	1029	894	814	822	999	993	546	449	800	943	951	739	331	904	472	836	960	556	129	432	685	1118	903	1332	1108	1289	1071	1004	1137	942	1051	1114	806	1118	1079	1063	1243	977	893	999	833	475	98	248	108	105	4	0	8	9	84	2					
7	Число бюллетеней в переносных ящиках для голосования	1767	17	6	7	14	13	8	8	43	22	18	25	31	15	34	44	20	28	21	20	19	28	1	0	29	22	11	9	7	18	10	10	6	4	246	9	21	18	21	13	19	31	2	4	2	6	10	19	9	13	14	6	14	11	20	36	32	11	3	4	16	0	21	23	87	47	342	69					
8	Число бюллетеней в стационарных ящиках для голосования	75161	362	1290	1519	1519	1595	1697	1477	1434	1323	1087	1420	1575	1451	1234	1172	1550	1478	1165	1158	1382	1578	853	751	1170	1135	1138	1152	1258	1278	1617	1554	1234	940	425	1159	494	1064	1164	1353	1273	1380	1527	1492	1261	1649	1437	1567	1485	1468	1406	1630	1443	1506	1484	1365	1334	314	99	178	196	245	133	337	285	114	104	244					
9	Число недействительных бюллетеней	1221	23	14	18	11	28	19	18	23	20	11	22	23	30	13	16	20	14	15	15	22	27	14	14	23	26	15	19	4	27	11	21	24	18	28	4	11	38	17	36	22	28	32	20	9	17	36	23	17	13	26	32	23	30	34	20	33	5	5	9	9	5	2	2	6	3	5	3					
10	Число действительных бюллетеней	75707	356	1282	1508	1522	1580	1686	1467	1454	1325	1094	1423	1583	1436	1255	1200	1550	1492	1171	1163	1379	1579	840	737	1176	1131	1134	1142	1261	1269	1616	1543	1216	926	643	1164	504	1044	1168	1330	1270	1383	1497	1476	1254	1638	1411	1563	1477	1468	1394	1604	1434	1487	1470	1381	1333	320	97	173	203	240	152	358	366	158	441	310					
