Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Козьмодемьянская городская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17561	1110	1336	1095	1248	1229	1024	1067	1240	1142	1221	887	431	1147	1182	1088	1114									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16750	1050	1300	1050	1200	1200	1000	1000	1200	1100	1150	850	400	1100	1100	1050	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8618	541	665	573	641	717	526	606	537	650	634	383	231	466	507	502	439									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	449	10	16	31	20	34	25	21	52	23	18	36	18	22	28	27	68									
6	Число погашенных избирательных бюллетеней	7683	499	619	446	539	449	449	373	611	427	498	431	151	612	565	521	493									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	449	10	16	31	20	34	25	21	52	23	18	36	18	22	28	27	68									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8616	541	665	573	641	717	526	605	537	649	634	383	231	466	507	502	439									
9	Число недействительных избирательных бюллетеней	173	11	11	4	10	13	7	40	12	8	12	5	3	7	11	6	13									
10	Число действительных избирательных бюллетеней	8892	540	670	600	651	738	544	586	577	664	640	414	246	481	524	523	494									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	525	35	35	35	35	35	35	30	35	35	35	30	15	35	35	35	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	364	18	29	21	25	35	30	30	29	29	19	18	8	14	18	23	18									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	196	20	8	6	14	10	13	10	10	11	4	3	2	12	19	9	45									
14	Число погашенных неиспользованных открепительных удостоверений	161	17	6	14	10	0	5	0	6	6	16	12	7	21	17	12	12									
