Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Лахденпохская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11963	1412	1302	1207	376	741	606	923	465	110	633	169	583	228	191	93	847	217	49	141	82	696	341	139	412									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10750	1300	1200	1100	350	650	540	830	420	100	570	150	500	210	170	80	760	200	40	120	70	600	300	120	370									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4514	487	453	497	150	279	200	351	182	46	262	72	233	82	73	33	283	107	21	64	35	268	134	60	142									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	223	9	12	10	16	12	5	6	12	9	8	4	8	3	18	5	35	3	5	4	9	12	0	2	16									
6	Число погашенных избирательных бюллетеней	6013	804	735	593	184	359	335	473	226	45	300	74	259	125	79	42	442	90	14	52	26	320	166	58	212									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	223	9	12	10	16	12	5	6	12	9	8	4	8	3	18	5	35	3	5	4	9	12	0	2	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4514	487	453	497	150	279	200	351	182	46	262	72	233	82	73	33	283	107	21	64	35	268	134	60	142									
9	Число недействительных избирательных бюллетеней	164	17	13	26	5	8	4	11	8	1	10	0	6	1	1	0	15	9	1	2	2	9	5	3	7									
10	Число действительных избирательных бюллетеней	4573	479	452	481	161	283	201	346	186	54	260	76	235	84	90	38	303	101	25	66	42	271	129	59	151									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	20	20	20	10	15	15	15	15	5	10	5	15	5	5	5	10	5	5	5	5	15	5	5	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	42	2	4	7	2	3	0	4	4	0	0	0	3	0	0	0	1	3	0	0	1	4	0	0	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	51	2	1	6	1	0	0	6	2	2	7	1	5	0	0	0	4	0	3	0	0	3	0	5	3									
14	Число погашенных неиспользованных открепительных удостоверений	208	18	16	13	8	12	15	11	11	5	10	5	12	5	5	5	9	2	5	5	4	11	5	5	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	1	1	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	43	2	4	7	3	5	1	5	2	2	1	1	0	0	0	0	0	2	0	3	0	1	0	0	4									
		0.91%	0.40%	0.86%	1.38%	1.81%	1.72%	0.49%	1.40%	1.03%	3.64%	0.37%	1.32%	0.00%	0.00%	0.00%	0.00%	0.00%	1.82%	0.00%	4.41%	0.00%	0.36%	0.00%	0.00%	2.53%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	119	15	20	14	4	3	5	9	4	1	7	3	9	2	0	0	11	1	0	0	0	3	2	0	6									
		2.51%	3.02%	4.30%	2.76%	2.41%	1.03%	2.44%	2.52%	2.06%	1.82%	2.59%	3.95%	3.73%	2.35%	0.00%	0.00%	3.46%	0.91%	0.00%	0.00%	0.00%	1.07%	1.49%	0.00%	3.80%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	116	10	12	13	7	8	2	12	2	2	8	1	5	2	1	0	10	3	0	3	2	5	3	0	5									
		2.45%	2.02%	2.58%	2.56%	4.22%	2.75%	0.98%	3.36%	1.03%	3.64%	2.96%	1.32%	2.07%	2.35%	1.10%	0.00%	3.14%	2.73%	0.00%	4.41%	4.55%	1.79%	2.24%	0.00%	3.16%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1880	205	161	178	61	104	79	122	80	17	125	31	94	37	49	15	136	37	9	30	20	134	55	22	79									
		39.69%	41.33%	34.62%	35.11%	36.75%	35.74%	38.54%	34.17%	41.24%	30.91%	46.30%	40.79%	39.00%	43.53%	53.85%	39.47%	42.77%	33.64%	34.62%	44.12%	45.45%	47.86%	41.04%	35.48%	50.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	4	2	0	0	1	1	3	1	0	0	0	1	0	1	0	2	1	0	1	0	3	0	0	1									
