Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Тегульдетский район																					
																					
Итоги голосования 																					
																					
		Сумма	УИК №526	УИК №527	УИК №528	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599					
1	"Число избирателей, внесенных в список"	5919	53	45	33	66	695	1228	1570	804	215	497	162	90	385	76					
2	Число полученных избирательных бюллетеней	5649	55	45	35	68	650	1200	1450	750	214	500	165	89	350	78					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3891	42	37	32	52	466	807	1019	372	186	347	120	71	274	66					
5	"Число избирательных бюллетеней, выданных вне помещения"	381	0	4	0	4	46	48	48	124	15	28	8	8	46	2					
6	Число погашенных избирательных бюллетеней	1377	13	4	3	12	138	345	383	254	13	125	37	10	30	10					
7	Число избирательных бюллетеней в переносных ящиках	381	0	4	0	4	46	48	48	124	15	28	8	8	46	2					
8	Число бюллетеней в стационарных ящиках для голосования	3888	42	37	32	52	466	806	1018	372	186	347	120	71	273	66					
9	Число недействительных избирательных бюллетеней	27	1	0	1	0	2	7	4	4	0	4	0	0	4	0					
10	Число действительных избирательных бюллетеней	4242	41	41	31	56	510	847	1062	492	201	371	128	79	315	68					
11	Число полученных открепительных  удостоверений	155	5	5	5	10	20	20	20	20	10	10	10	5	10	5					
12	Число выданных открепительных удостоверений	53	4	2	1	7	5	7	6	4	5	1	4	1	1	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	1	2	1	2	2	7	8	2	2	0	2	1	4	1					
14	Число неиспользованных открепительных удостоверений	102	1	3	4	3	15	13	14	16	5	9	6	4	9	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	106	0	0	0	0	21	36	27	9	0	3	2	0	7	1					
		2.48%	0.00%	0.00%	0.00%	0.00%	4.10%	4.22%	2.53%	1.81%	0.00%	0.80%	1.56%	0.00%	2.19%	1.47%					
19	. Малышкин Олег Александрович	144	1	1	2	3	12	22	45	9	16	17	3	0	11	2					
		3.37%	2.38%	2.44%	6.25%	5.36%	2.34%	2.58%	4.22%	1.81%	7.96%	4.53%	2.34%	0.00%	3.45%	2.94%					
20	. Миронов Сергей Михайлович	35	0	0	0	1	3	10	6	3	0	1	2	2	4	3					
		0.82%	0.00%	0.00%	0.00%	1.79%	0.59%	1.17%	0.56%	0.60%	0.00%	0.27%	1.56%	2.53%	1.25%	4.41%					
21	. Путин Владимир Владимирович	3055	35	35	25	45	318	573	761	392	132	302	105	62	220	50					
		71.56%	83.33%	85.37%	78.12%	80.36%	62.11%	67.10%	71.39%	79.03%	65.67%	80.53%	82.03%	78.48%	68.97%	73.53%					
22	. Хакамада Ирина Муцуовна	155	2	0	0	0	20	48	37	13	5	12	1	6	9	2					
		3.63%	4.76%	0.00%	0.00%	0.00%	3.91%	5.62%	3.47%	2.62%	2.49%	3.20%	0.78%	7.59%	2.82%	2.94%					
23	. Харитонов Николай Михайлович	617	3	5	2	5	113	132	145	61	42	30	12	9	50	8					
		14.45%	7.14%	12.20%	6.25%	8.93%	22.07%	15.46%	13.60%	12.30%	20.90%	8.00%	9.38%	11.39%	15.67%	11.76%					
																					
24	Против всех	130	0	0	2	2	23	26	41	5	6	6	3	0	14	2					
		3.05%	0.00%	0.00%	6.25%	3.57%	4.49%	3.04%	3.85%	1.01%	2.99%	1.60%	2.34%	0.00%	4.39%	2.94%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
