Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Кызылская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96					
1	"Число избирателей, внесенных в списки"	10722	926	2396	1433	1574	309	822	627	548	253	711	507	616					
2	"Число бюллетеней, полученных участковыми комиссиями"	10500	905	2312	1335	1610	317	825	632	526	258	680	500	600					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	252	62	0	0	1	13	19	32	0	5	84	36	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5537	412	1169	618	763	197	431	346	388	181	369	284	379					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	311	52	28	27	62	7	17	11	35	18	16	5	33					
6	Число погашенных бюллетеней	4400	379	1115	690	784	100	358	243	103	54	211	175	188					
7	Число бюллетеней в переносных ящиках для голосования	563	114	28	27	63	20	36	43	35	23	100	41	33					
8	Число бюллетеней в стационарных ящиках для голосования	5525	411	1158	618	763	197	431	346	388	181	369	284	379					
9	Число недействительных бюллетеней	220	10	23	5	35	13	37	9	28	9	15	22	14					
10	Число действительных бюллетеней	5868	515	1163	640	791	204	430	380	395	195	454	303	398					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	15	35	25	30	15	15	15	10	5	15	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	30	2	8	6	2	1	1	0	0	5	1	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	1	4	2	2	2	3	1	0	2	2	4	3					
14	Число погашенных открепительных удостоверений	170	13	27	19	28	14	14	15	10	0	14	6	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	201	14	20	16	26	15	24	11	9	12	30	8	16					
		3.30%	2.66%	1.68%	2.48%	3.14%	6.91%	5.13%	2.82%	2.12%	5.88%	6.39%	2.46%	3.88%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	41	6	13	8	3	0	1	4	1	0	2	1	2					
		0.67%	1.14%	1.09%	1.24%	0.36%	0.0%	0.21%	1.02%	0.23%	0.0%	0.42%	0.30%	0.48%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	110	16	17	17	13	2	6	7	8	5	5	5	9					
		1.80%	3.04%	1.43%	2.63%	1.57%	0.92%	1.28%	1.79%	1.89%	2.45%	1.06%	1.53%	2.18%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	76	15	30	9	6	2	4	1	2	0	3	3	1					
		1.24%	2.85%	2.52%	1.39%	0.72%	0.92%	0.85%	0.25%	0.47%	0.0%	0.63%	0.92%	0.24%					
22	"5. ""За Русь Святую"""	9	1	1	1	1	1	1	1	1	0	1	0	0					
		0.14%	0.19%	0.08%	0.15%	0.12%	0.46%	0.21%	0.25%	0.23%	0.0%	0.21%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	13	2	0	1	1	1	3	1	0	1	2	1	0					
		0.21%	0.38%	0.0%	0.15%	0.12%	0.46%	0.64%	0.25%	0.0%	0.49%	0.42%	0.30%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	24	6	6	2	2	0	2	0	0	0	1	2	3					
		0.39%	1.14%	0.50%	0.31%	0.24%	0.0%	0.42%	0.0%	0.0%	0.0%	0.21%	0.61%	0.72%					
25	"8. ""Народно-республиканская партия России"""	5	0	2	0	0	0	0	1	1	0	0	1	0					
		0.08%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.25%	0.23%	0.0%	0.0%	0.30%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	10	2	1	2	1	0	0	2	0	0	1	0	1					
		0.16%	0.38%	0.08%	0.31%	0.12%	0.0%	0.0%	0.51%	0.0%	0.0%	0.21%	0.0%	0.24%					
27	"10. ""Аграрная партия России"""	81	9	24	14	7	0	6	4	9	0	5	2	1					
		1.33%	1.71%	2.02%	2.17%	0.84%	0.0%	1.28%	1.02%	2.12%	0.0%	1.06%	0.61%	0.24%					
28	"11. ""Истинные патриоты России"""	7	0	1	3	0	1	1	0	0	1	0	0	0					
		0.11%	0.0%	0.08%	0.46%	0.0%	0.46%	0.21%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	17	1	5	3	5	0	2	0	1	0	0	0	0					
		0.27%	0.19%	0.42%	0.46%	0.60%	0.0%	0.42%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	5	0	0	0	1	0	0	0	2	0	1	1	0					
		0.08%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.47%	0.0%	0.21%	0.30%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	34	2	5	3	6	0	3	0	1	0	9	2	3					
		0.55%	0.38%	0.42%	0.46%	0.72%	0.0%	0.64%	0.0%	0.23%	0.0%	1.91%	0.61%	0.72%					
32	"15. ""Партия СЛОН"""	5	2	1	0	0	0	0	0	2	0	0	0	0					
		0.08%	0.38%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	200	26	64	43	21	0	5	11	10	1	8	3	8					
		3.28%	4.95%	5.39%	6.66%	2.54%	0.0%	1.07%	2.82%	2.36%	0.49%	1.70%	0.92%	1.94%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	19	0	3	1	3	1	4	1	1	0	2	1	2					
		0.31%	0.0%	0.25%	0.15%	0.36%	0.46%	0.85%	0.25%	0.23%	0.0%	0.42%	0.30%	0.48%					
35	"18. ""ЛДПР"""	321	48	112	65	34	0	3	9	30	4	1	3	12					
