Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Чайковская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №4001	УИК №4002	УИК №4003	УИК №4004	УИК №4005	УИК №4006	УИК №4007	УИК №4008	УИК №4009	УИК №4010	УИК №4011	УИК №4012	УИК №4013	УИК №4014	УИК №4015	УИК №4016	УИК №4017	УИК №4018	УИК №4019	УИК №4020	УИК №4021	УИК №4022	УИК №4023	УИК №4024	УИК №4025	УИК №4026	УИК №4027	УИК №4028	УИК №4029	УИК №4030	УИК №4031	УИК №4032	УИК №4033	УИК №4034	УИК №4035	УИК №4036	УИК №4037	УИК №4038	УИК №4040	УИК №4041	УИК №4042	УИК №4043	УИК №4044	УИК №4045	УИК №4046	УИК №4047	УИК №4048	УИК №4049	УИК №4050	УИК №4051	УИК №4052									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	82655	2549	1551	2731	1949	2437	2474	2286	1220	2061	2048	1871	1892	2158	2081	1687	2216	2169	2232	1920	2534	2469	2520	2712	2155	1024	2280	457	2300	1941	1641	1943	240	1195	1131	710	2977	1015	1189	734	471	1544	2258	503	406	820	471	508	490	963	1218	304									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	61225	1900	1200	2000	1500	1800	1800	1700	1000	1500	1500	1400	1400	1400	1500	1300	1600	1600	1600	1400	1800	1800	1800	2000	1600	800	1700	400	1700	1400	1200	1400	240	900	800	600	2200	800	900	600	400	1100	1600	400	300	600	400	400	400	700	900	285									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27933	754	477	950	690	866	913	787	380	699	789	664	699	627	759	533	774	864	775	681	959	995	894	987	615	385	806	142	768	701	603	532	114	525	319	185	1048	362	195	158	154	563	693	158	64	311	172	149	64	266	233	132									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1435	6	5	8	9	4	0	11	2	15	8	15	10	17	19	8	9	20	30	21	28	6	3	8	6	5	13	1	10	11	15	29	35	10	10	29	10	14	199	81	4	45	57	22	70	62	13	38	121	63	164	36									
6	Число погашенных избирательных бюллетеней	31857	1140	718	1042	801	930	887	902	618	786	703	721	691	756	722	759	817	716	795	698	813	799	903	1005	979	410	881	257	922	688	582	839	91	365	471	386	1142	424	506	361	242	492	850	220	166	227	215	213	215	371	503	117									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1435	6	5	8	9	4	0	11	2	15	8	15	10	17	19	8	9	20	30	21	28	6	3	8	6	5	13	1	10	11	15	29	35	10	10	29	10	14	199	81	4	45	57	22	70	62	13	38	121	63	164	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27910	752	474	950	690	866	913	785	380	699	789	664	699	627	759	533	769	864	775	681	959	995	892	987	614	385	806	142	767	701	603	532	113	525	319	185	1046	362	194	158	154	561	692	158	64	311	172	149	64	266	233	132									
9	Число недействительных избирательных бюллетеней	1088	29	18	24	22	32	28	24	20	34	31	22	42	41	34	26	31	35	23	28	42	18	36	28	26	18	39	1	33	43	19	28	10	25	19	8	22	14	6	4	5	23	15	4	2	14	11	4	5	8	11	3									
10	Число действительных избирательных бюллетеней	28257	729	461	934	677	838	885	772	362	680	766	657	667	603	744	515	747	849	782	674	945	983	859	967	594	372	780	142	744	669	599	533	138	510	310	206	1034	362	387	235	153	583	734	176	132	359	174	183	180	321	386	165									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2800	90	50	90	70	90	90	80	40	70	70	70	70	80	70	60	80	80	80	60	90	90	90	90	80	40	80	10	80	70	60	70	10	40	40	20	80	20	30	20	20	50	70	20	10	20	20	20	20	20	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	273	10	3	7	3	5	8	5	7	12	9	8	12	9	4	6	11	8	15	14	9	5	9	10	7	3	5	2	3	7	4	2	0	4	3	1	13	0	1	3	0	6	2	2	1	6	3	1	0	3	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	186	8	3	5	4	3	2	9	3	11	4	5	2	1	7	2	9	9	6	7	10	8	3	1	1	2	3	3	1	4	3	4	1	8	3	1	9	3	1	1	1	2	1	0	3	2	0	2	0	3	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	2527	80	47	83	67	85	82	75	33	58	61	62	58	71	66	54	69	72	65	46	81	85	81	80	73	37	75	8	77	63	56	68	10	36	37	19	67	20	29	17	20	44	68	18	9	14	17	19	20	17	28	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	1	0	3	2	1	2	0	0	2	1	1	1	1	2	1	1	2	0	0	4	0	2	1	0	0	0	0	0	3	1	1	0	0	0	1	1	0	1	0	2	1	3	1	0	0	0	0	3	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	407	7	9	13	10	15	28	13	4	8	6	16	6	7	9	7	11	12	9	11	11	12	21	18	7	3	8	2	9	7	14	5	7	5	2	2	21	7	2	5	2	6	10	0	2	2	0	2	2	2	9	1									
		1.39%	0.92%	1.88%	1.36%	1.43%	1.72%	3.07%	1.63%	1.05%	1.12%	0.75%	2.36%	0.85%	1.09%	1.16%	1.29%	1.41%	1.36%	1.12%	1.57%	1.11%	1.20%	2.35%	1.81%	1.13%	0.77%	0.98%	1.40%	1.16%	0.98%	2.27%	0.89%	4.73%	0.93%	0.61%	0.93%	1.99%	1.86%	0.51%	2.09%	1.27%	0.99%	1.34%	0.00%	1.49%	0.54%	0.00%	1.07%	1.08%	0.61%	2.27%	0.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	985	29	16	22	21	37	27	32	16	26	21	23	20	21	27	12	32	33	28	24	30	40	31	31	31	12	25	1	22	20	21	21	5	9	8	1	46	13	12	15	4	32	20	8	7	6	6	5	12	7	9	8									
		3.36%	3.83%	3.34%	2.30%	3.00%	4.25%	2.96%	4.02%	4.19%	3.64%	2.63%	3.39%	2.82%	3.26%	3.47%	2.22%	4.11%	3.73%	3.48%	3.42%	3.04%	3.99%	3.46%	3.12%	5.00%	3.08%	3.05%	0.70%	2.83%	2.81%	3.40%	3.74%	3.38%	1.68%	2.43%	0.47%	4.36%	3.46%	3.05%	6.28%	2.53%	5.28%	2.67%	4.44%	5.22%	1.61%	3.24%	2.67%	6.49%	2.13%	2.27%	4.76%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	636	12	14	24	20	19	25	23	9	8	23	14	12	15	14	17	19	15	14	11	25	19	18	29	12	7	21	5	15	20	17	9	4	13	3	4	23	8	7	5	5	12	9	1	4	5	6	3	1	7	8	3									
		2.17%	1.58%	2.92%	2.51%	2.86%	2.18%	2.74%	2.89%	2.36%	1.12%	2.89%	2.06%	1.69%	2.33%	1.80%	3.14%	2.44%	1.70%	1.74%	1.57%	2.53%	1.90%	2.01%	2.91%	1.94%	1.79%	2.56%	3.50%	1.93%	2.81%	2.75%	1.60%	2.70%	2.43%	0.91%	1.87%	2.18%	2.13%	1.78%	2.09%	3.16%	1.98%	1.20%	0.56%	2.99%	1.34%	3.24%	1.60%	0.54%	2.13%	2.02%	1.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12007	326	190	431	292	365	347	338	145	278	328	281	261	224	323	200	287	343	323	307	364	409	341	399	267	140	306	46	292	285	231	223	54	222	139	106	383	157	206	132	67	254	319	80	52	235	86	88	94	179	189	73									
		40.92%	43.01%	39.67%	44.99%	41.77%	41.95%	38.01%	42.46%	37.96%	38.94%	41.15%	41.38%	36.81%	34.78%	41.52%	36.97%	36.89%	38.80%	40.12%	43.73%	36.88%	40.86%	38.10%	40.10%	43.06%	35.90%	37.36%	32.17%	37.58%	40.03%	37.38%	39.75%	36.49%	41.50%	42.25%	49.53%	36.27%	41.76%	52.42%	55.23%	42.41%	41.91%	42.59%	44.44%	38.81%	63.00%	46.49%	47.06%	50.81%	54.41%	47.61%	43.45%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	223	8	4	3	7	5	9	4	2	11	1	5	10	7	11	4	8	5	7	8	10	6	4	9	1	3	9	0	4	5	5	1	2	5	3	0	9	2	1	1	0	3	5	2	1	1	2	2	1	1	4	2									
		0.76%	1.06%	0.84%	0.31%	1.00%	0.57%	0.99%	0.50%	0.52%	1.54%	0.13%	0.74%	1.41%	1.09%	1.41%	0.74%	1.03%	0.57%	0.87%	1.14%	1.01%	0.60%	0.45%	0.90%	0.16%	0.77%	1.10%	0.00%	0.51%	0.70%	0.81%	0.18%	1.35%	0.93%	0.91%	0.00%	0.85%	0.53%	0.25%	0.42%	0.00%	0.50%	0.67%	1.11%	0.75%	0.27%	1.08%	1.07%	0.54%	0.30%	1.01%	1.19%									
24	"6. Политическая партия ""Гражданская Платформа"""	70	2	1	1	3	3	2	3	0	1	1	1	3	1	1	2	0	1	2	4	4	4	0	3	3	2	4	0	2	1	3	1	0	0	1	0	3	0	0	0	1	1	0	2	1	1	0	0	0	0	1	0									
		0.24%	0.26%	0.21%	0.10%	0.43%	0.34%	0.22%	0.38%	0.00%	0.14%	0.13%	0.15%	0.42%	0.16%	0.13%	0.37%	0.00%	0.11%	0.25%	0.57%	0.41%	0.40%	0.00%	0.30%	0.48%	0.51%	0.49%	0.00%	0.26%	0.14%	0.49%	0.18%	0.00%	0.00%	0.30%	0.00%	0.28%	0.00%	0.00%	0.00%	0.63%	0.17%	0.00%	1.11%	0.75%	0.27%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5161	136	84	153	117	128	171	129	71	135	115	105	125	137	112	75	156	122	123	113	205	161	167	171	137	83	159	30	125	136	102	102	32	71	91	42	209	67	78	43	36	98	161	28	27	46	32	41	23	53	68	30									
		17.59%	17.94%	17.54%	15.97%	16.74%	14.71%	18.73%	16.21%	18.59%	18.91%	14.43%	15.46%	17.63%	21.27%	14.40%	13.86%	20.05%	13.80%	15.28%	16.10%	20.77%	16.08%	18.66%	17.19%	22.10%	21.28%	19.41%	20.98%	16.09%	19.10%	16.50%	18.18%	21.62%	13.27%	27.66%	19.63%	19.79%	17.82%	19.85%	17.99%	22.78%	16.17%	21.50%	15.56%	20.15%	12.33%	17.30%	21.93%	12.43%	16.11%	17.13%	17.86%									
