Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Чудовская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550					
1	"Число избирателей, внесенных в списки"	20263	783	139	89	328	660	526	542	245	939	470	111	1342	854	2603	2461	2328	1503	1855	2485					
2	"Число бюллетеней, полученных участковыми комиссиями"	20337	800	143	90	336	661	534	547	250	970	487	111	1346	856	2612	2480	2290	1498	1846	2480					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9427	430	95	47	206	348	317	243	102	564	369	70	730	207	1186	1163	1066	496	754	1034					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	451	28	3	13	2	24	5	12	16	6	0	14	40	95	31	28	64	41	16	13					
6	Число погашенных бюллетеней	10459	342	45	30	128	289	212	292	132	400	118	27	576	554	1395	1289	1160	961	1076	1433					
7	Число бюллетеней в переносных ящиках для голосования	451	28	3	13	2	24	5	12	16	6	0	14	40	95	31	28	64	41	16	13					
8	Число бюллетеней в стационарных ящиках для голосования	9425	430	95	47	206	348	317	243	102	564	369	70	730	207	1186	1163	1065	496	753	1034					
9	Число недействительных бюллетеней	110	9	5	0	0	1	6	8	7	4	1	1	16	1	9	12	6	2	15	7					
10	Число действительных бюллетеней	9766	449	93	60	208	371	316	247	111	566	368	83	754	301	1208	1179	1123	535	754	1040					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	295	20	5	5	10	15	15	10	10	15	10	5	20	15	25	25	25	20	20	25					
