Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Шацкая																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056					
1	"Число избирателей, внесенных в списки"	22817	225	431	202	105	99	138	56	504	267	160	509	81	232	1300	875	272	66	52	581	94	258	282	324	225	559	112	454	267	268	133	137	296	273	302	397	293	67	230	749	269	80	114	186	56	273	133	93	163	179	240	918	1324	130	1440	1587	1352	1382	220	661	142					
2	"Число бюллетеней, полученных участковыми комиссиями"	22680	220	425	200	107	99	140	57	500	265	160	500	83	225	1300	860	270	67	55	570	93	370	280	335	225	550	114	450	270	260	127	134	290	270	300	385	290	85	230	740	260	80	115	187	57	270	135	94	163	178	235	910	1310	146	1440	1510	1330	1350	215	650	144					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11637	149	277	100	68	63	99	26	254	169	76	269	58	106	612	483	152	58	50	238	56	175	113	162	127	314	89	246	203	183	85	110	126	187	140	256	179	25	154	279	168	45	66	136	41	167	58	55	117	107	126	409	493	50	635	759	564	637	134	312	42					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2860	69	54	23	12	17	21	18	98	32	56	65	15	77	39	43	52	8	0	96	23	83	85	81	30	66	16	31	35	10	14	19	79	28	109	77	78	42	28	199	46	21	34	35	12	35	53	29	24	13	84	31	23	80	45	18	54	29	24	173	69					
6	Число погашенных бюллетеней	8183	2	94	77	27	19	20	13	148	64	28	166	10	42	649	334	66	1	5	236	14	112	82	92	68	170	9	173	32	67	28	5	85	55	51	52	33	18	48	262	46	14	15	16	4	68	24	10	22	58	25	470	794	16	760	733	712	684	57	165	33					
7	Число бюллетеней в переносных ящиках для голосования	2860	69	54	23	12	17	21	18	98	32	56	65	15	77	39	43	52	8	0	96	23	83	85	81	30	66	16	31	35	10	14	19	79	28	109	77	78	42	28	199	46	21	34	35	12	35	53	29	24	13	84	31	23	80	45	18	54	29	24	173	69					
8	Число бюллетеней в стационарных ящиках для голосования	11637	149	277	100	68	63	99	26	254	169	76	269	58	106	612	483	152	58	50	238	56	175	113	162	127	314	89	246	203	183	85	110	126	187	140	256	179	25	154	279	168	45	66	136	41	167	58	55	117	107	126	409	493	50	635	759	564	637	134	312	42					
9	Число недействительных бюллетеней	220	0	2	0	0	0	1	0	2	0	0	3	2	3	10	10	2	0	0	1	0	5	3	6	1	6	0	1	3	4	0	0	3	7	0	0	0	0	5	16	5	1	0	6	3	13	0	0	1	4	1	3	16	0	44	7	3	7	0	10	0					
10	Число действительных бюллетеней	14277	218	329	123	80	80	119	44	350	201	132	331	71	180	641	516	202	66	50	333	79	253	195	237	156	374	105	276	235	189	99	129	202	208	249	333	257	67	177	462	209	65	100	165	50	189	111	84	140	116	209	437	500	130	636	770	615	659	158	475	111					
