Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Мантуровская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759					
1	"Число избирателей, внесенных в список"	12747	318	342	421	366	120	93	393	101	858	248	196	383	2099	376	371	524	292	500	177	307	410	167	2216	473	325	671					
2	Число полученных избирательных бюллетеней	11720	300	320	380	330	110	90	360	100	780	240	180	350	1900	350	340	480	280	470	170	280	380	150	2010	440	300	630					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7127	204	193	224	187	65	66	229	59	474	146	89	293	1218	228	268	346	176	255	90	175	227	104	1036	234	154	387					
5	"Число избирательных бюллетеней, выданных вне помещения"	2122	65	76	120	91	35	17	58	17	113	74	76	45	116	63	54	101	83	138	56	65	83	40	126	188	121	101					
6	Число погашенных избирательных бюллетеней	2471	31	51	36	52	10	7	73	24	193	20	15	12	566	59	18	33	21	77	24	40	70	6	848	18	25	142					
7	Число избирательных бюллетеней в переносных ящиках	2122	65	76	120	91	35	17	58	17	113	74	76	45	116	63	54	101	83	138	56	65	83	40	126	188	121	101					
8	Число бюллетеней в стационарных ящиках для голосования	7127	204	193	224	187	65	66	229	59	474	146	89	293	1218	228	268	346	176	255	90	175	227	104	1036	234	154	387					
9	Число недействительных избирательных бюллетеней	102	5	2	4	8	1	2	4	0	5	4	0	5	13	6	0	3	2	7	1	1	4	1	15	2	0	7					
10	Число действительных избирательных бюллетеней	9147	264	267	340	270	99	81	283	76	582	216	165	333	1321	285	322	444	257	386	145	239	306	143	1147	420	275	481					
11	Число полученных открепительных  удостоверений	159	5	5	5	5	5	5	5	5	5	5	5	5	24	5	5	5	5	5	5	5	5	5	10	5	5	10					
12	Число выданных открепительных удостоверений	47	0	1	0	1	0	0	0	0	0	0	3	3	17	1	0	2	0	1	0	0	1	1	6	5	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	1	0	2	1	0	0	2	0	3	2	3	2	5	0	1	2	1	0	0	2	2	0	2	0	0	1					
14	Число неиспользованных открепительных удостоверений	112	5	4	5	4	5	5	5	5	5	5	2	2	7	4	5	3	5	4	5	5	4	4	4	0	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	177	5	0	5	4	6	1	5	0	1	5	5	1	57	3	6	7	2	11	7	1	3	6	22	3	2	9					
		1.91%	1.86%	0.00%	1.45%	1.44%	6.00%	1.20%	1.74%	0.00%	0.17%	2.27%	3.03%	0.30%	4.27%	1.03%	1.86%	1.57%	0.77%	2.80%	4.79%	0.42%	0.97%	4.17%	1.89%	0.71%	0.73%	1.84%					
19	. Малышкин Олег Александрович	213	8	3	6	4	7	2	2	0	7	9	6	22	29	6	10	11	10	11	3	7	11	0	22	12	3	2					
