Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																			
Дата голосования: 02.12.2007																			
																			
Наименование Избирательной комиссии:    Арзгирская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234					
1	"Число избирателей, внесенных в списки избирателей"	19727	2940	2832	2821	2733	325	627	1292	1738	715	1148	1572	984					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18750	2800	2700	2700	2600	300	600	1200	1650	700	1050	1500	950					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9688	1409	1476	1334	1341	234	475	457	776	590	500	720	376					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	920	136	96	146	72	15	22	94	107	27	40	106	59					
6	Число погашенных избирательных бюллетеней	8142	1255	1128	1220	1187	51	103	649	767	83	510	674	515					
7	Число избирательных бюллетеней в переносных ящиках для голосования	920	136	96	146	72	15	22	94	107	27	40	106	59					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9687	1409	1476	1334	1341	234	475	457	776	590	500	720	375					
9	Число недействительных избирательных бюллетеней	108	9	16	11	14	0	10	11	11	6	6	9	5					
10	Число действительных избирательных бюллетеней	10499	1536	1556	1469	1399	249	487	540	872	611	534	817	429					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	190	25	20	20	20	10	15	15	15	10	15	15	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	99	22	15	17	15	2	14	0	5	1	2	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	53	8	8	6	6	7	2	1	2	3	4	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	91	3	5	3	5	8	1	15	10	9	13	9	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	2	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	1.Политическая партия «Аграрная партия России»	446	69	91	70	50	8	25	25	25	27	11	21	24					
		4.20%	4.47%	5.79%	4.73%	3.54%	3.21%	5.03%	4.54%	2.83%	4.38%	2.04%	2.54%	5.53%					
19	2.Всероссийская политическая партия «Гражданская Сила»	48	11	10	8	5	0	1	2	1	1	4	2	3					
		0.45%	0.71%	0.64%	0.54%	0.35%	0.00%	0.20%	0.36%	0.11%	0.16%	0.74%	0.24%	0.69%					
20	3.Политическая партия «Демократическая партия России»	3	0	0	1	0	0	1	0	0	0	0	1	0					
		0.03%	0.00%	0.00%	0.07%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1080	238	175	188	175	6	23	38	40	37	59	74	27					
		10.18%	15.40%	11.13%	12.70%	12.38%	2.41%	4.63%	6.90%	4.53%	5.99%	10.93%	8.96%	6.22%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	78	20	7	17	10	1	0	5	1	0	3	9	5					
		0.74%	1.29%	0.45%	1.15%	0.71%	0.40%	0.00%	0.91%	0.11%	0.00%	0.56%	1.09%	1.15%					
23	6.Политическая партия «Партия социальной справедливости»	17	1	2	4	3	0	0	0	0	2	1	2	2					
		0.16%	0.06%	0.13%	0.27%	0.21%	0.00%	0.00%	0.00%	0.00%	0.32%	0.19%	0.24%	0.46%					
24	7.Политическая партия «Либерально-демократическая партия России»	652	101	94	93	79	3	39	34	54	45	15	63	32					
		6.15%	6.54%	5.98%	6.28%	5.59%	1.20%	7.85%	6.17%	6.12%	7.29%	2.78%	7.63%	7.37%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1779	211	275	251	260	15	41	123	167	84	67	215	70					
		16.77%	13.66%	17.49%	16.96%	18.40%	6.02%	8.25%	22.32%	18.91%	13.61%	12.41%	26.03%	16.13%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	61	8	7	7	5	1	2	4	8	5	0	11	3					
		0.58%	0.52%	0.45%	0.47%	0.35%	0.40%	0.40%	0.73%	0.91%	0.81%	0.00%	1.33%	0.69%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6276	873	877	822	807	215	351	308	570	407	367	417	262					
		59.17%	56.50%	55.79%	55.54%	57.11%	86.35%	70.62%	55.90%	64.55%	65.96%	67.96%	50.48%	60.37%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	59	4	18	8	5	0	4	1	6	3	7	2	1					
		0.56%	0.26%	1.15%	0.54%	0.35%	0.00%	0.80%	0.18%	0.68%	0.49%	1.30%	0.24%	0.23%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
