Выборы Президента Российской Федерации																																																																																
																																																																																
"Наименование Избирательной комиссии:    Тула, Пролетарская"																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478					
1	"Число избирателей, внесенных в список"	133789	1346	2686	2100	2615	2423	87	2579	2670	2364	2666	1994	2004	2352	2420	2503	2392	2051	53	1089	1837	1902	51	1541	1883	1624	2067	2515	1950	1694	2438	2264	1787	743	82	1461	118	211	841	128	2394	186	1472	2804	2797	2687	2470	2797	2726	2665	1780	2480	1795	2428	2181	2487	1538	110	806	1023	2558	1677	2154	2568	1990	1439	2013	1767	1706	2385	2069	1862	2064	2380					
2	Число полученных избирательных бюллетеней	133600	1300	2600	2000	2500	2400	200	2500	2700	2300	2700	2000	2000	2400	2500	2500	2400	2000	100	1000	1800	1800	200	1500	1800	1600	2100	2500	1900	1700	2400	2200	1800	700	200	1800	200	300	1000	200	2400	200	1500	2800	2800	2700	2500	2800	2600	2600	1700	2500	1800	2400	2300	2500	1200	200	800	1000	2600	1700	2200	2500	2000	1400	2000	1700	1800	2400	2000	1800	2000	2400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	74129	541	1373	1542	1400	1553	79	1595	1660	1345	1538	1293	1163	1640	1772	1334	1294	1147	50	520	824	1206	35	968	1208	958	1371	1209	1036	1016	1273	1257	1039	386	74	997	118	149	402	128	1311	172	879	1413	1392	1401	1365	1474	1424	1374	895	1277	930	1292	1028	1196	824	55	373	502	1488	706	1084	1405	1089	774	1073	917	889	1350	1102	932	1089	1161					
5	"Число избирательных бюллетеней, выданных вне помещения"	3164	26	25	9	25	18	6	60	76	80	73	56	53	62	74	11	15	33	3	44	22	60	14	64	43	47	40	85	38	63	48	19	29	10	8	18	0	52	384	0	27	3	57	15	28	21	22	69	53	32	36	36	16	34	35	25	77	52	71	41	70	78	72	41	51	45	15	17	34	31	32	59	50	26					
6	Число погашенных избирательных бюллетеней	56307	733	1202	449	1075	829	115	845	964	875	1089	651	784	698	654	1155	1091	820	47	436	954	534	151	468	549	595	689	1206	826	621	1079	924	732	304	118	785	82	99	214	72	1062	25	564	1372	1380	1278	1113	1257	1123	1194	769	1187	854	1074	1237	1279	299	93	356	457	1042	916	1044	1054	860	581	912	766	877	1019	866	809	861	1213					
7	Число избирательных бюллетеней в переносных ящиках	3162	26	25	9	25	18	6	60	76	80	73	56	53	62	74	11	15	33	3	44	22	60	14	64	43	47	40	85	38	63	48	19	29	10	8	18	0	52	382	0	27	3	57	15	28	21	22	69	53	32	36	36	16	34	35	25	77	52	71	41	70	78	72	41	51	45	15	17	34	31	32	59	50	26					
8	Число бюллетеней в стационарных ящиках для голосования	74075	541	1373	1542	1399	1553	79	1595	1660	1345	1538	1293	1163	1640	1772	1334	1294	1147	50	520	824	1206	35	968	1208	958	1331	1209	1036	1016	1272	1257	1039	386	74	997	118	149	402	128	1310	172	879	1413	1388	1401	1365	1474	1424	1374	895	1277	929	1292	1028	1196	824	55	373	502	1488	706	1084	1405	1087	774	1073	917	888	1350	1099	932	1089	1161					
9	Число недействительных избирательных бюллетеней	460	5	3	8	7	0	4	6	20	3	11	11	7	4	9	7	12	16	0	4	4	4	0	3	7	5	0	0	2	13	7	4	9	2	3	5	1	1	4	2	15	0	9	6	7	6	7	8	12	9	18	12	8	11	12	7	6	1	1	6	0	5	7	11	2	8	5	1	7	9	10	5	6	10					
10	Число действительных избирательных бюллетеней	76777	562	1395	1543	1417	1571	81	1649	1716	1422	1600	1338	1209	1698	1837	1338	1297	1164	53	560	842	1262	49	1029	1244	1000	1371	1294	1072	1066	1313	1272	1059	394	79	1010	117	200	780	126	1322	175	927	1422	1409	1416	1380	1535	1465	1397	913	1301	937	1315	1051	1214	895	106	443	537	1558	779	1149	1435	1136	811	1083	933	915	1372	1121	986	1133	1177					
