Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Усть-Енисейская													
													
Сводная таблица итогов голосования  по федеральному округу													
													
		Сумма	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23					
1	"Число избирателей, внесенных в списки"	2508	531	208	251	542	893	83					
2	"Число бюллетеней, полученных участковыми комиссиями"	2462	455	225	251	545	894	92					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	532	145	8	28	0	327	24					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1233	154	143	172	365	340	59					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	54	11	0	8	25	10	0					
6	Число погашенных бюллетеней	621	145	74	21	155	217	9					
7	Число бюллетеней в переносных ящиках для голосования	586	156	8	36	25	337	24					
8	Число бюллетеней в стационарных ящиках для голосования	1233	154	143	172	365	340	59					
9	Число недействительных бюллетеней	26	8	3	2	1	11	1					
10	Число действительных бюллетеней	1793	302	148	206	389	666	82					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	64	10	12	11	10	15	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	11	3	2	1	1	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3	2	0	0	1	0	0					
14	Число погашенных открепительных удостоверений	53	7	10	10	9	12	5					
15	Число открепительных удостоверений выданных ТИК	6	3	0	0	2	1	0					
16	Число утраченных бюллетеней	22	0	0	22	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	27	8	2	2	8	6	1					
		1.48%	2.58%	1.32%	0.96%	2.05%	0.88%	1.20%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	28	8	2	3	13	2	0					
		1.53%	2.58%	1.32%	1.44%	3.33%	0.29%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	44	18	4	3	11	8	0					
		2.41%	5.80%	2.64%	1.44%	2.82%	1.18%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	18	6	0	2	6	3	1					
		0.98%	1.93%	0.0%	0.96%	1.53%	0.44%	1.20%					
22	"5. ""За Русь Святую"""	6	2	0	1	0	2	1					
		0.32%	0.64%	0.0%	0.48%	0.0%	0.29%	1.20%					
23	"6. ""Объединенная Российская партия ""Русь"""	6	2	0	0	2	2	0					
		0.32%	0.64%	0.0%	0.0%	0.51%	0.29%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	10	4	0	2	2	1	1					
		0.54%	1.29%	0.0%	0.96%	0.51%	0.14%	1.20%					
25	"8. ""Народно-республиканская партия России"""	2	0	0	0	0	2	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	3	2	0	0	1	0	0					
		0.16%	0.64%	0.0%	0.0%	0.25%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	24	7	1	2	6	7	1					
		1.31%	2.25%	0.66%	0.96%	1.53%	1.03%	1.20%					
28	"11. ""Истинные патриоты России"""	3	3	0	0	0	0	0					
		0.16%	0.96%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	38	6	3	6	12	11	0					
		2.08%	1.93%	1.98%	2.88%	3.07%	1.62%	0.0%					
30	"13. ""Демократическая партия России"""	7	1	0	0	3	3	0					
		0.38%	0.32%	0.0%	0.0%	0.76%	0.44%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	6	0	0	0	0	0					
		0.32%	1.93%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	4	0	0	0	2	2	0					
		0.21%	0.0%	0.0%	0.0%	0.51%	0.29%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	89	24	2	7	29	26	1					
		4.89%	7.74%	1.32%	3.36%	7.43%	3.84%	1.20%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	9	2	1	2	1	3	0					
		0.49%	0.64%	0.66%	0.96%	0.25%	0.44%	0.0%					
35	"18. ""ЛДПР"""	183	42	17	23	49	48	4					
		10.06%	13.54%	11.25%	11.05%	12.56%	7.09%	4.81%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	25	6	0	6	6	7	0					
		1.37%	1.93%	0.0%	2.88%	1.53%	1.03%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	1080	119	97	123	187	486	68					
		59.37%	38.38%	64.23%	59.13%	47.94%	71.78%	81.92%					
38	"21. ""Российская Конституционно-демократическая партия"""	15	6	1	1	2	5	0					
		0.82%	1.93%	0.66%	0.48%	0.51%	0.73%	0.0%					
39	"22. ""Развитие предпринимательства"""	6	2	0	1	2	1	0					
		0.32%	0.64%	0.0%	0.48%	0.51%	0.14%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	84	14	14	9	20	26	1					
		4.61%	4.51%	9.27%	4.32%	5.12%	3.84%	1.20%					
													
41	Против всех	76	14	4	13	27	15	3					
		4.17%	4.51%	2.64%	6.25%	6.92%	2.21%	3.61%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
