Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Красноармейская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321					
1	"Число избирателей, внесенных в списки"	14262	1533	1553	1318	302	452	302	544	192	146	144	601	427	422	433	402	1087	357	1285	191	130	115	624	468	333	901					
2	"Число бюллетеней, полученных участковыми комиссиями"	14198	1520	1540	1260	312	456	309	526	193	141	148	626	423	422	425	395	1077	368	1274	199	128	125	618	478	340	895					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7025	707	656	571	211	260	172	307	137	97	86	267	234	206	259	255	508	199	553	126	76	56	311	205	154	412					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	407	23	24	12	5	29	14	13	7	5	10	20	30	19	17	2	19	14	45	8	13	14	16	21	8	19					
6	Число погашенных бюллетеней	6766	790	860	677	96	167	123	206	49	39	52	339	159	197	149	138	550	155	676	65	39	55	291	252	178	464					
7	Число бюллетеней в переносных ящиках для голосования	407	23	24	12	5	29	14	13	7	5	10	20	30	19	17	2	19	14	45	8	13	14	16	21	8	19					
8	Число бюллетеней в стационарных ящиках для голосования	7024	707	656	571	211	260	172	307	137	97	86	267	234	206	259	255	508	199	553	126	76	56	311	205	153	412					
9	Число недействительных бюллетеней	218	17	12	12	5	18	5	3	1	6	0	16	9	13	6	5	6	3	20	5	8	3	11	10	6	18					
10	Число действительных бюллетеней	7213	713	668	571	211	271	181	317	143	96	96	271	255	212	270	252	521	210	578	129	81	67	316	216	155	413					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	141	12	12	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	26	8	6	0	5	1	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	2	0	1	0	2	0	2	0	2	0	2	3	5	1	1	1	1	2	0	1	1	3	2	3	1					
14	Число погашенных открепительных удостоверений	115	4	6	6	0	4	4	4	5	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	4					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	156	7	10	6	2	4	1	5	9	6	11	5	6	3	5	12	8	2	12	2	1	4	13	5	7	10					
		2.09%	0.95%	1.47%	1.02%	0.92%	1.38%	0.53%	1.56%	6.25%	5.88%	11.45%	1.74%	2.27%	1.33%	1.81%	4.66%	1.51%	0.93%	2.00%	1.49%	1.12%	5.71%	3.97%	2.21%	4.34%	2.32%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	99	9	8	7	6	1	1	7	3	0	0	2	1	1	0	0	8	5	13	0	1	1	3	6	1	15					
		1.33%	1.23%	1.17%	1.20%	2.77%	0.34%	0.53%	2.18%	2.08%	0.0%	0.0%	0.69%	0.37%	0.44%	0.0%	0.0%	1.51%	2.34%	2.17%	0.0%	1.12%	1.42%	0.91%	2.65%	0.62%	3.48%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	245	38	31	21	2	6	5	2	4	5	2	8	10	2	9	10	15	10	20	5	4	4	6	11	2	13					
		3.29%	5.20%	4.55%	3.60%	0.92%	2.07%	2.68%	0.62%	2.77%	4.90%	2.08%	2.78%	3.78%	0.88%	3.26%	3.89%	2.84%	4.69%	3.34%	3.73%	4.49%	5.71%	1.83%	4.86%	1.24%	3.01%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	78	8	13	9	0	1	1	4	1	1	2	4	4	0	1	3	2	2	6	2	1	1	4	4	1	3					
		1.04%	1.09%	1.91%	1.54%	0.0%	0.34%	0.53%	1.25%	0.69%	0.98%	2.08%	1.39%	1.51%	0.0%	0.36%	1.16%	0.37%	0.93%	1.00%	1.49%	1.12%	1.42%	1.22%	1.76%	0.62%	0.69%					
22	"5. ""За Русь Святую"""	53	6	5	4	2	3	0	3	4	1	0	1	0	0	0	2	6	1	5	1	2	0	1	1	0	5					
		0.71%	0.82%	0.73%	0.68%	0.92%	1.03%	0.0%	0.93%	2.77%	0.98%	0.0%	0.34%	0.0%	0.0%	0.0%	0.77%	1.13%	0.46%	0.83%	0.74%	2.24%	0.0%	0.30%	0.44%	0.0%	1.16%					
23	"6. ""Объединенная Российская партия ""Русь"""	22	1	3	2	2	2	1	1	0	1	0	1	0	2	0	3	0	1	0	0	0	0	1	0	0	1					
		0.29%	0.13%	0.44%	0.34%	0.92%	0.69%	0.53%	0.31%	0.0%	0.98%	0.0%	0.34%	0.0%	0.88%	0.0%	1.16%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.23%					
24	"7. ""Новый курс - Автомобильная Россия"""	47	3	7	6	2	2	0	4	1	0	1	1	3	2	0	1	1	0	5	0	0	0	3	1	1	3					
		0.63%	0.41%	1.02%	1.02%	0.92%	0.69%	0.0%	1.25%	0.69%	0.0%	1.04%	0.34%	1.13%	0.88%	0.0%	0.38%	0.18%	0.0%	0.83%	0.0%	0.0%	0.0%	0.91%	0.44%	0.62%	0.69%					
25	"8. ""Народно-республиканская партия России"""	25	2	0	1	3	2	0	0	0	0	0	2	0	1	3	1	0	0	3	1	0	0	2	1	0	3					
		0.33%	0.27%	0.0%	0.17%	1.38%	0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.44%	1.08%	0.38%	0.0%	0.0%	0.50%	0.74%	0.0%	0.0%	0.61%	0.44%	0.0%	0.69%					
26	"9. ""Российская экологическая партия ""Зеленые"""	15	0	1	1	0	0	0	2	0	0	0	3	1	0	1	0	2	0	2	0	0	1	0	0	0	1					
		0.20%	0.0%	0.14%	0.17%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	1.04%	0.37%	0.0%	0.36%	0.0%	0.37%	0.0%	0.33%	0.0%	0.0%	1.42%	0.0%	0.0%	0.0%	0.23%					
27	"10. ""Аграрная партия России"""	442	25	20	12	13	18	37	22	8	7	4	37	33	18	16	18	29	14	36	8	2	3	19	9	4	30					
		5.94%	3.42%	2.94%	2.05%	6.01%	6.22%	19.89%	6.87%	5.55%	6.86%	4.16%	12.89%	12.5%	8.0%	5.79%	7.00%	5.50%	6.57%	6.02%	5.97%	2.24%	4.28%	5.81%	3.98%	2.48%	6.96%					
28	"11. ""Истинные патриоты России"""	12	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	4	1	0	1	0	0	0					
