Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
Наименование Избирательной комиссии:    Ирбитская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №2606	УИК №2608	УИК №2609					
1	"Число избирателей, внесенных в список избирателей"	25244	468	519	575	283	265	666	819	202	771	407	502	1011	249	218	556	162	133	599	243	546	1217	420	833	407	147	703	222	853	975	463	783	225	465	250	389	465	329	397	933	341	312	690	166	189	123	128	539	364	107	493	1416	189	86	431					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22810	450	500	540	250	250	600	800	150	650	350	450	900	200	200	500	150	100	500	200	500	1100	350	800	350	100	700	190	750	900	400	700	200	400	200	350	400	300	350	900	300	250	700	150	150	100	100	500	350	100	450	1300	200	80	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12163	162	240	281	125	155	331	372	139	352	228	250	404	117	80	279	80	83	314	138	272	663	221	413	181	70	415	100	414	454	214	312	110	154	93	170	212	157	212	488	161	147	345	85	94	62	67	234	154	53	164	771	64	58	249					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2172	109	74	40	29	25	80	102	0	40	37	44	126	11	11	33	26	13	48	22	29	37	19	66	57	16	37	73	45	62	25	58	16	54	24	36	69	12	43	58	13	8	82	8	10	12	7	77	67	14	57	32	56	4	19					
6	Число погашенных избирательных бюллетеней	8475	179	186	219	96	70	189	326	11	258	85	156	370	72	109	188	44	4	138	40	199	400	110	321	112	14	248	17	291	384	161	330	74	192	83	144	119	131	95	354	126	95	273	57	46	26	26	189	129	33	229	497	80	18	132					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2172	109	74	40	29	25	80	102	0	40	37	44	126	11	11	33	26	13	48	22	29	37	19	66	57	16	37	73	45	62	25	58	16	54	24	36	69	12	43	58	13	8	82	8	10	12	7	77	67	14	57	32	56	4	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12163	162	240	281	125	155	331	372	139	352	228	250	404	117	80	279	80	83	314	138	272	663	221	413	181	70	415	100	414	454	214	312	110	154	93	170	212	157	212	488	161	147	345	85	94	62	67	234	154	53	164	771	64	58	249					
9	Число недействительных избирательных бюллетеней	263	0	6	6	6	0	8	8	0	12	5	7	7	6	2	5	1	0	9	2	6	13	5	9	3	3	10	2	9	19	8	5	9	8	1	1	0	4	4	6	4	5	6	0	3	0	0	3	2	2	8	9	1	3	2					
10	Число действительных избирательных бюллетеней	14072	271	308	315	148	180	403	466	139	380	260	287	523	122	89	307	105	96	353	158	295	687	235	470	235	83	442	171	450	497	231	365	117	200	116	205	281	165	251	540	170	150	421	93	101	74	74	308	219	65	213	794	119	59	266					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	487	3	3	10	5	5	12	15	3	4	7	13	18	4	4	10	3	3	10	4	4	24	7	15	7	3	18	4	22	17	8	14	4	8	0	7	8	6	7	17	6	2	28	4	2	7	2	20	7	2	9	35	11	2	14					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	368	0	1	5	2	0	5	15	0	3	6	11	9	3	2	10	0	0	10	3	2	24	3	12	6	3	18	4	22	15	5	4	3	4	0	6	4	2	7	15	0	2	28	4	0	7	0	20	2	0	3	33	10	1	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	234	1	1	7	2	2	3	5	5	2	2	4	5	2	2	2	4	2	8	3	4	8	2	3	6	11	3	31	9	4	4	6	6	6	1	3	2	2	1	5	2	4	5	0	3	6	3	6	2	2	3	8	3	2	6					
14	Число погашенных неиспользованных открепительных удостоверений	119	3	2	5	3	5	7	0	3	1	1	2	9	1	2	0	3	3	0	1	2	0	4	3	1	0	0	0	0	2	3	10	1	4	0	1	4	4	0	2	6	0	0	0	2	0	2	0	5	2	6	2	1	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3059	44	55	81	24	35	72	104	11	73	43	66	126	23	13	102	37	9	103	40	53	196	52	119	36	15	87	49	125	107	59	119	18	58	22	26	22	19	55	86	17	22	95	12	15	11	12	43	37	13	33	240	19	11	95					
		21.34%	16.24%	17.52%	25.23%	15.58%	19.44%	17.52%	21.94%	7.91%	18.62%	16.23%	22.45%	23.77%	17.97%	14.29%	32.69%	34.91%	9.38%	28.45%	25.00%	17.61%	28.00%	21.67%	24.84%	15.13%	17.44%	19.25%	28.32%	27.23%	20.74%	24.69%	32.16%	14.29%	27.88%	18.80%	12.62%	7.83%	11.24%	21.57%	15.75%	9.77%	14.19%	22.25%	12.90%	14.42%	14.86%	16.22%	13.83%	16.74%	19.40%	14.93%	29.89%	15.83%	17.74%	35.45%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2204	30	48	42	18	22	72	62	2	79	51	39	70	28	17	52	16	15	80	21	41	116	36	87	26	20	73	28	54	66	25	34	13	23	24	15	44	25	52	96	29	10	105	13	20	15	17	62	21	3	39	150	15	5	38					
		15.37%	11.07%	15.29%	13.08%	11.69%	12.22%	17.52%	13.08%	1.44%	20.15%	19.25%	13.27%	13.21%	21.88%	18.68%	16.67%	15.09%	15.63%	22.10%	13.13%	13.62%	16.57%	15.00%	18.16%	10.92%	23.26%	16.15%	16.18%	11.76%	12.79%	10.46%	9.19%	10.32%	11.06%	20.51%	7.28%	15.66%	14.79%	20.39%	17.58%	16.67%	6.45%	24.59%	13.98%	19.23%	20.27%	22.97%	19.94%	9.50%	4.48%	17.65%	18.68%	12.50%	8.06%	14.18%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	118	1	3	3	0	0	2	0	0	4	4	3	6	1	0	1	0	0	3	1	2	5	5	6	0	0	3	3	8	6	2	3	1	3	2	2	3	2	2	5	1	0	5	2	1	1	0	3	3	0	1	3	1	0	2					
		0.82%	0.37%	0.96%	0.93%	0.00%	0.00%	0.49%	0.00%	0.00%	1.02%	1.51%	1.02%	1.13%	0.78%	0.00%	0.32%	0.00%	0.00%	0.83%	0.63%	0.66%	0.71%	2.08%	1.25%	0.00%	0.00%	0.66%	1.73%	1.74%	1.16%	0.84%	0.81%	0.79%	1.44%	1.71%	0.97%	1.07%	1.18%	0.78%	0.92%	0.57%	0.00%	1.17%	2.15%	0.96%	1.35%	0.00%	0.96%	1.36%	0.00%	0.45%	0.37%	0.83%	0.00%	0.75%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1582	21	16	30	15	12	62	61	15	36	27	22	72	6	8	41	4	12	40	13	40	115	19	66	9	18	57	25	65	59	27	38	13	23	13	11	29	15	17	37	7	4	58	18	17	13	12	39	31	6	18	110	7	3	30					
		11.04%	7.75%	5.10%	9.35%	9.74%	6.67%	15.09%	12.87%	10.79%	9.18%	10.19%	7.48%	13.58%	4.69%	8.79%	13.14%	3.77%	12.50%	11.05%	8.13%	13.29%	16.43%	7.92%	13.78%	3.78%	20.93%	12.61%	14.45%	14.16%	11.43%	11.30%	10.27%	10.32%	11.06%	11.11%	5.34%	10.32%	8.88%	6.67%	6.78%	4.02%	2.58%	13.58%	19.35%	16.35%	17.57%	16.22%	12.54%	14.03%	8.96%	8.14%	13.70%	5.83%	4.84%	11.19%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	165	0	0	3	2	0	8	9	1	5	2	5	1	1	2	2	0	2	2	4	1	15	1	5	2	6	11	1	3	7	5	4	4	2	2	2	0	2	2	3	0	3	4	3	0	0	0	3	2	0	1	17	0	0	5					
		1.15%	0.00%	0.00%	0.93%	1.30%	0.00%	1.95%	1.90%	0.72%	1.28%	0.75%	1.70%	0.19%	0.78%	2.20%	0.64%	0.00%	2.08%	0.55%	2.50%	0.33%	2.14%	0.42%	1.04%	0.84%	6.98%	2.43%	0.58%	0.65%	1.36%	2.09%	1.08%	3.17%	0.96%	1.71%	0.97%	0.00%	1.18%	0.78%	0.55%	0.00%	1.94%	0.94%	3.23%	0.00%	0.00%	0.00%	0.96%	0.90%	0.00%	0.45%	2.12%	0.00%	0.00%	1.87%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6760	173	186	155	88	111	184	230	109	170	131	150	242	63	49	107	47	57	122	77	154	230	122	185	161	23	186	65	175	228	107	160	67	79	51	148	181	102	120	311	113	111	153	45	48	32	33	157	124	41	120	264	77	40	96					
