Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																							
Дата голосования: 04.12.2011																							
																							
Наименование Избирательной комиссии:    Новичихинская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149					
1	"Число избирателей, внесенных в список избирателей"	8663	1031	2645	611	326	97	55	105	358	106	357	683	694	841	118	512	124					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9150	1045	2700	625	660	100	60	110	360	110	360	700	700	860	120	520	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4828	501	1421	331	199	71	36	67	225	73	199	411	350	467	78	320	79					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	409	53	74	38	15	0	4	0	27	7	10	41	41	55	0	26	18					
6	Число погашенных избирательных бюллетеней	3913	491	1205	256	446	29	20	43	108	30	151	248	309	338	42	174	23					
7	Число избирательных бюллетеней в переносных ящиках для голосования	409	53	74	38	15	0	4	0	27	7	10	41	41	55	0	26	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4826	501	1419	331	199	71	36	67	225	73	199	411	350	467	78	320	79					
9	Число недействительных избирательных бюллетеней	88	6	22	7	4	2	1	2	7	0	7	6	11	6	0	5	2					
10	Число действительных избирательных бюллетеней	5147	548	1471	362	210	69	39	65	245	80	202	446	380	516	78	341	95					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	98	14	57	6	5	2	1	0	0	2	1	5	5	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	77	11	54	6	3	0	0	0	0	0	0	0	3	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	97	16	31	2	3	4	3	3	3	3	5	5	4	2	5	4	4					
14	Число погашенных неиспользованных открепительных удостоверений	21	3	3	0	2	2	1	0	0	2	1	5	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	708	69	207	36	28	13	4	13	41	10	34	56	51	73	11	49	13					
		13.52%	12.45%	13.86%	9.76%	13.08%	18.31%	10.00%	19.40%	16.27%	12.50%	16.27%	12.39%	13.04%	13.98%	14.10%	14.16%	13.40%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	802	87	168	64	26	12	6	8	55	12	58	62	50	117	9	48	20					
		15.32%	15.70%	11.25%	17.34%	12.15%	16.90%	15.00%	11.94%	21.83%	15.00%	27.75%	13.72%	12.79%	22.41%	11.54%	13.87%	20.62%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	29	0	19	0	1	0	0	0	1	0	2	2	1	1	0	1	1					
		0.55%	0.00%	1.27%	0.00%	0.47%	0.00%	0.00%	0.00%	0.40%	0.00%	0.96%	0.44%	0.26%	0.19%	0.00%	0.29%	1.03%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1424	133	442	136	68	22	10	5	49	21	37	67	136	169	11	91	27					
		27.20%	24.01%	29.60%	36.86%	31.78%	30.99%	25.00%	7.46%	19.44%	26.25%	17.70%	14.82%	34.78%	32.38%	14.10%	26.30%	27.84%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	46	2	17	5	4	0	0	0	1	0	1	3	6	5	1	1	0					
		0.88%	0.36%	1.14%	1.36%	1.87%	0.00%	0.00%	0.00%	0.40%	0.00%	0.48%	0.66%	1.53%	0.96%	1.28%	0.29%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2116	255	610	120	83	22	19	39	98	37	70	253	131	149	46	151	33					
		40.42%	46.03%	40.86%	32.52%	38.79%	30.99%	47.50%	58.21%	38.89%	46.25%	33.49%	55.97%	33.50%	28.54%	58.97%	43.64%	34.02%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	22	2	8	1	0	0	0	0	0	0	0	3	5	2	0	0	1					
		0.42%	0.36%	0.54%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	1.28%	0.38%	0.00%	0.00%	1.03%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
