Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Шолоховская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №2581	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20804	1970	1496	504	100	191	1139	2222	1786	2774	358	103	62	569	349	166	505	124	103	1148	229	68	74	810	83	377	78	970	201	139	83	953	84	306	103	61	436	80									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19045	1810	1360	470	105	180	1020	2030	1620	2535	320	95	60	525	320	160	460	115	100	1010	210	60	65	720	75	340	70	890	190	130	80	900	80	280	105	60	415	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10653	1265	922	173	72	60	466	1012	958	1269	153	51	54	346	177	80	294	74	59	667	109	39	33	349	52	168	42	452	93	83	52	454	48	152	60	45	220	50									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1385	79	56	131	5	55	65	80	65	80	13	7	1	63	40	46	27	18	10	49	31	9	20	83	11	20	13	55	24	20	2	85	11	19	18	8	61	5									
6	Число погашенных избирательных бюллетеней	7007	466	382	166	28	65	489	938	597	1186	154	37	5	116	103	34	139	23	31	294	70	12	12	288	12	152	15	383	73	27	26	361	21	109	27	7	134	25									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1385	79	56	131	5	55	65	80	65	80	13	7	1	63	40	46	27	18	10	49	31	9	20	83	11	20	13	55	24	20	2	85	11	19	18	8	61	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10651	1265	922	173	72	60	464	1012	958	1269	153	51	54	346	177	80	294	74	59	667	109	39	33	349	52	168	42	452	93	83	52	454	48	152	60	45	220	50									
9	Число недействительных избирательных бюллетеней	216	14	18	3	0	0	10	27	10	22	4	1	2	2	7	0	0	0	1	20	0	0	0	10	1	0	0	37	0	1	0	12	0	9	1	0	4	0									
10	Число действительных избирательных бюллетеней	11820	1330	960	301	77	115	519	1065	1013	1327	162	57	53	407	210	126	321	92	68	696	140	48	53	422	62	188	55	470	117	102	54	527	59	162	77	53	277	55									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	439	30	25	15	15	10	15	25	15	47	4	3	1	20	5	6	10	10	5	37	8	5	6	10	1	5	1	15	3	1	1	35	5	10	10	5	15	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	372	30	25	15	15	10	13	25	13	47	1	0	1	8	5	6	5	2	5	37	3	0	2	1	0	0	0	15	3	0	0	35	5	10	10	5	15	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	117	8	1	4	2	2	3	5	10	16	3	2	2	3	3	2	2	5	5	8	4	5	4	0	1	0	2	0	1	1	1	1	2	3	2	1	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	67	0	0	0	0	0	2	0	2	0	3	3	0	12	0	0	5	8	0	0	5	5	4	9	1	5	1	0	0	1	1	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	59	4	4	1	0	0	3	9	12	11	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	123	7	10	4	0	2	5	15	14	25	0	0	0	0	3	5	3	1	0	4	1	0	1	5	0	3	0	2	1	2	0	6	0	0	2	0	2	0									
		1.02%	0.52%	1.02%	1.32%	0.00%	1.74%	0.95%	1.37%	1.37%	1.85%	0.00%	0.00%	0.00%	0.00%	1.38%	3.97%	0.93%	1.09%	0.00%	0.56%	0.71%	0.00%	1.89%	1.16%	0.00%	1.60%	0.00%	0.39%	0.85%	1.94%	0.00%	1.11%	0.00%	0.00%	2.56%	0.00%	0.71%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	322	17	33	8	4	2	18	43	19	38	6	0	0	0	11	3	12	1	2	19	2	0	0	6	2	9	6	17	5	1	4	14	0	4	4	1	9	2									
		2.68%	1.26%	3.37%	2.63%	5.19%	1.74%	3.40%	3.94%	1.86%	2.82%	3.61%	0.00%	0.00%	0.00%	5.07%	2.38%	3.74%	1.09%	2.90%	2.65%	1.43%	0.00%	0.00%	1.39%	3.17%	4.79%	10.91%	3.35%	4.27%	0.97%	7.41%	2.60%	0.00%	2.34%	5.13%	1.89%	3.20%	3.64%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	171	16	7	6	1	1	7	18	22	32	0	1	2	0	5	4	1	1	0	13	1	3	1	6	2	1	1	4	1	1	0	6	0	3	0	0	2	2									
		1.42%	1.19%	0.72%	1.97%	1.30%	0.87%	1.32%	1.65%	2.15%	2.37%	0.00%	1.72%	3.64%	0.00%	2.30%	3.17%	0.31%	1.09%	0.00%	1.82%	0.71%	6.25%	1.89%	1.39%	3.17%	0.53%	1.82%	0.79%	0.85%	0.97%	0.00%	1.11%	0.00%	1.75%	0.00%	0.00%	0.71%	3.64%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6724	753	555	168	50	68	260	515	582	701	94	32	42	301	107	92	211	57	41	402	77	27	32	245	32	96	43	284	55	70	34	282	34	91	48	36	172	35									
		55.87%	56.03%	56.75%	55.26%	64.94%	59.13%	49.15%	47.16%	56.89%	51.96%	56.63%	55.17%	76.36%	73.59%	49.31%	73.02%	65.73%	61.96%	59.42%	56.15%	55.00%	56.25%	60.38%	56.71%	50.79%	51.06%	78.18%	56.02%	47.01%	67.96%	62.96%	52.32%	57.63%	53.22%	61.54%	67.92%	61.21%	63.64%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	60	6	6	1	0	0	1	5	6	11	0	1	0	0	2	0	1	0	1	3	0	1	0	1	1	0	0	3	1	2	0	3	0	0	0	1	2	1									
		0.50%	0.45%	0.61%	0.33%	0.00%	0.00%	0.19%	0.46%	0.59%	0.82%	0.00%	1.72%	0.00%	0.00%	0.92%	0.00%	0.31%	0.00%	1.45%	0.42%	0.00%	2.08%	0.00%	0.23%	1.59%	0.00%	0.00%	0.59%	0.85%	1.94%	0.00%	0.56%	0.00%	0.00%	0.00%	1.89%	0.71%	1.82%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	2	1	0	0	1	2	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0									
		0.14%	0.15%	0.10%	0.00%	0.00%	0.87%	0.38%	0.00%	0.00%	0.44%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.06%	1.82%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2281	326	129	67	9	22	94	217	149	233	38	11	6	69	45	15	49	12	12	154	36	7	8	91	16	51	2	84	29	16	10	139	19	40	12	10	47	7									
		18.95%	24.26%	13.19%	22.04%	11.69%	19.13%	17.77%	19.87%	14.57%	17.27%	22.89%	18.97%	10.91%	16.87%	20.74%	11.90%	15.26%	13.04%	17.39%	21.51%	25.71%	14.58%	15.09%	21.06%	25.40%	27.13%	3.64%	16.57%	24.79%	15.53%	18.52%	25.79%	32.20%	23.39%	15.38%	18.87%	16.73%	12.73%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	42	8	4	0	0	0	4	7	5	4	1	1	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0									
		0.35%	0.60%	0.41%	0.00%	0.00%	0.00%	0.76%	0.64%	0.49%	0.30%	0.60%	1.72%	0.00%	0.24%	0.00%	0.00%	0.62%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	61	1	5	3	0	0	4	10	8	9	2	0	0	0	0	0	0	0	0	1	2	0	0	3	0	1	0	2	1	0	0	5	0	0	1	0	3	0									
		0.51%	0.07%	0.51%	0.99%	0.00%	0.00%	0.76%	0.92%	0.78%	0.67%	1.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	1.43%	0.00%	0.00%	0.69%	0.00%	0.53%	0.00%	0.39%	0.85%	0.00%	0.00%	0.93%	0.00%	0.00%	1.28%	0.00%	1.07%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	0	1	4	0	0	2	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0									
		0.14%	0.00%	0.10%	1.32%	0.00%	0.00%	0.38%	0.00%	0.10%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.53%	0.00%	0.00%	0.00%	1.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	67	8	6	0	0	0	3	10	8	10	1	0	0	0	1	0	0	0	0	1	1	0	0	4	1	0	0	4	0	0	0	5	0	2	2	0	0	0									
		0.56%	0.60%	0.61%	0.00%	0.00%	0.00%	0.57%	0.92%	0.78%	0.74%	0.60%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.14%	0.71%	0.00%	0.00%	0.93%	1.59%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%	0.93%	0.00%	1.17%	2.56%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1619	157	172	33	12	16	99	187	168	212	17	9	3	32	26	4	34	12	11	72	17	9	11	48	6	23	1	62	19	8	5	57	6	21	7	4	32	7									
		13.45%	11.68%	17.59%	10.86%	15.58%	13.91%	18.71%	17.12%	16.42%	15.72%	10.24%	15.52%	5.45%	7.82%	11.98%	3.17%	10.59%	13.04%	15.94%	10.06%	12.14%	18.75%	20.75%	11.11%	9.52%	12.23%	1.82%	12.23%	16.24%	7.77%	9.26%	10.58%	10.17%	12.28%	8.97%	7.55%	11.39%	12.73%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	48	5	4	1	0	1	2	8	5	9	1	0	0	0	1	0	1	1	0	3	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0									
