Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																				
Дата голосования: 18.09.2016																				
																				
Наименование Избирательной комиссии:    Кемеровская																				
																				
Сводная таблица итогов голосования по федеральному избирательному округу																				
																				
		Сумма	УИК №1086	УИК №1087	УИК №1088	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5063	860	326	256	722	329	181	298	1101	990									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4865	860	340	265	680	330	200	290	950	950									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4011	768	189	220	597	261	156	179	875	766									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	452	15	104	16	32	39	16	99	55	76									
6	Число погашенных избирательных бюллетеней	402	77	47	29	51	30	28	12	20	108									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	452	15	104	16	32	39	16	99	55	76									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4011	768	189	220	597	261	156	179	875	766									
9	Число недействительных избирательных бюллетеней	10	2	1	1	4	1	0	0	1	0									
10	Число действительных избирательных бюллетеней	4453	781	292	235	625	299	172	278	929	842									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	20	10	5	20	10	3	7	30	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	57	5	10	5	20	10	0	1	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	40	7	1	0	4	0	19	3	1	5									
14	Число погашенных неиспользованных открепительных удостоверений	73	15	0	0	0	0	3	6	24	25									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0									
																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	7	0	1	1	1	3	0	1	0	0									
		0.16%	0.00%	0.34%	0.42%	0.16%	1.00%	0.00%	0.36%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	9	0	0	0	4	2	1	2	0	0									
		0.20%	0.00%	0.00%	0.00%	0.64%	0.67%	0.58%	0.72%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	4	0	0	0	2	2	0	0	0	0									
		0.09%	0.00%	0.00%	0.00%	0.32%	0.67%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3520	634	225	182	472	211	140	207	793	656									
		78.87%	80.97%	76.79%	77.12%	75.04%	70.33%	81.40%	74.46%	85.27%	77.91%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	5	0	0	0	2	3	0	0	0	0									
		0.11%	0.00%	0.00%	0.00%	0.32%	1.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	0	2	4	0	0	0	0									
		0.13%	0.00%	0.00%	0.00%	0.32%	1.33%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	270	56	11	12	35	15	10	18	66	47									
		6.05%	7.15%	3.75%	5.08%	5.56%	5.00%	5.81%	6.47%	7.10%	5.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	0	0	0	3	3	0	0	0	0									
		0.13%	0.00%	0.00%	0.00%	0.48%	1.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	0	2	0	3	0	2	1	0	0									
		0.18%	0.00%	0.68%	0.00%	0.48%	0.00%	1.16%	0.36%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	0	2	3	0	0	0	0									
		0.11%	0.00%	0.00%	0.00%	0.32%	1.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	11	0	1	0	5	3	1	0	0	1									
		0.25%	0.00%	0.34%	0.00%	0.79%	1.00%	0.58%	0.00%	0.00%	0.12%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	342	62	25	18	45	22	13	20	70	67									
		7.66%	7.92%	8.53%	7.63%	7.15%	7.33%	7.56%	7.19%	7.53%	7.96%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	9	4	0	2	0	0	0	3	0	0									
		0.20%	0.51%	0.00%	0.85%	0.00%	0.00%	0.00%	1.08%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	251	25	27	20	49	28	5	26	0	71									
		5.62%	3.19%	9.22%	8.47%	7.79%	9.33%	2.91%	9.35%	0.00%	8.43%									
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
