Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    район Кунцево																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №3751	УИК №3752	УИК №3753	УИК №3756									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	90108	2797	877	2824	2520	2081	2294	1989	1569	2674	2603	2897	2688	2000	2495	2582	2079	2582	2587	2521	2625	2382	1213	2433	2006	2460	2250	2533	2509	2920	2715	2179	2505	2470	2542	1990	1906	2446	2079	644	151	378	56	57									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	72700	2200	700	2200	2000	1600	1800	1500	1200	2000	2000	2300	2100	1600	2000	2000	1600	2000	2000	2000	2100	1800	900	2000	1600	2000	2800	2000	2000	2300	2100	1700	2000	1900	2000	1500	1500	2000	1600	500	200	1000	200	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28971	1047	264	823	852	762	870	717	528	944	981	901	827	663	657	710	688	797	745	760	784	715	390	846	548	727	725	765	718	906	821	699	792	890	785	575	682	764	679	221	139	172	50	42									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	895	6	13	13	20	11	19	23	25	11	1	7	21	17	19	13	19	17	13	13	18	18	6	25	34	35	21	16	23	23	20	21	26	24	18	31	7	18	32	4	10	169	0	15									
6	Число погашенных избирательных бюллетеней	42834	1147	423	1364	1128	827	911	760	647	1045	1018	1392	1252	920	1324	1277	893	1186	1242	1227	1298	1067	504	1129	1018	1238	2054	1219	1259	1371	1259	980	1182	986	1197	894	811	1218	889	275	51	659	150	143									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	895	6	13	13	20	11	19	23	25	11	1	7	21	17	19	13	19	17	13	13	18	18	6	25	34	35	21	16	23	23	20	21	26	24	18	31	7	18	32	4	10	169	0	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28887	1040	264	822	852	762	870	717	527	942	981	901	827	663	657	708	688	797	743	760	775	715	390	843	548	726	694	762	716	906	821	699	792	890	767	575	680	764	679	221	139	172	50	42									
9	Число недействительных избирательных бюллетеней	985	9	9	12	15	14	22	12	13	14	14	7	16	8	9	11	10	12	12	12	20	16	8	15	13	14	503	19	13	9	17	8	8	19	16	11	9	13	10	6	2	3	0	2									
10	Число действительных избирательных бюллетеней	28797	1037	268	823	857	759	867	728	539	939	968	901	832	672	667	710	697	802	744	761	773	717	388	853	569	747	212	759	726	920	824	712	810	895	769	595	678	769	701	219	147	338	50	55									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	925	30	20	25	25	20	30	20	15	25	35	30	35	20	25	25	20	25	35	25	25	25	15	25	20	25	20	25	25	25	25	20	25	25	25	20	20	25	20	5	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	600	25	12	13	17	19	22	11	13	18	30	21	25	20	23	20	11	21	23	9	18	11	5	17	12	9	6	13	10	6	12	9	22	22	14	17	14	17	10	3	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	559	7	5	21	5	19	23	4	8	8	8	15	16	3	14	17	5	10	20	13	18	30	3	29	4	7	17	17	9	41	28	6	4	22	5	10	21	19	10	6	4	17	2	9									
14	Число погашенных неиспользованных открепительных удостоверений	325	5	8	12	8	1	8	9	2	7	5	9	10	0	2	5	9	4	12	16	7	14	10	8	8	16	14	12	15	19	13	11	3	3	11	3	6	8	10	2	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	71	1	2	2	5	0	1	0	1	0	3	2	3	3	0	3	1	2	5	4	2	4	1	2	0	3	0	2	2	3	2	1	0	2	2	2	0	3	2	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1277	50	12	42	34	39	11	18	32	66	38	41	36	40	23	32	46	35	41	34	27	27	10	34	26	28	13	33	35	48	29	38	26	49	25	27	32	42	39	5	4	8	1	1									
