Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    Краснозерская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571					
1	"Число избирателей, внесенных в списки избирателей"	30052	517	79	963	601	372	641	543	260	121	367	126	315	2906	2985	2980	127	559	380	77	948	403	705	130	838	588	186	728	261	988	614	877	145	290	572	193	85	93	822	237	1073	757	308	556	157	1132	594	146	118	589					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27745	500	80	900	600	370	640	550	260	120	370	125	300	2500	2500	2500	250	560	380	75	900	400	700	130	840	590	180	700	260	860	600	750	150	280	500	190	90	95	700	230	1000	700	300	500	160	900	590	150	120	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18408	370	54	676	448	294	350	387	196	88	291	101	205	1491	1395	1355	105	362	263	56	583	269	440	75	514	385	137	563	193	685	371	609	117	198	404	154	66	85	552	182	562	462	202	367	110	672	389	130	86	359					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1338	33	12	51	15	15	39	14	12	0	0	0	7	126	124	89	4	10	0	0	50	43	42	18	49	69	0	10	16	25	40	37	0	10	33	0	6	2	28	6	62	19	22	36	12	66	25	0	6	55					
6	Число погашенных избирательных бюллетеней	7999	97	14	173	137	61	251	149	52	32	79	24	88	883	981	1056	141	188	117	19	267	88	218	37	277	136	43	127	51	150	189	104	33	72	63	36	18	8	120	42	376	219	76	97	38	162	176	20	28	186					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1338	33	12	51	15	15	39	14	12	0	0	0	7	126	124	89	4	10	0	0	50	43	42	18	49	69	0	10	16	25	40	37	0	10	33	0	6	2	28	6	62	19	22	36	12	66	25	0	6	55					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18405	370	54	676	448	294	350	387	196	88	291	101	205	1488	1395	1355	105	362	263	56	583	269	440	75	514	385	137	563	193	685	371	609	117	198	404	154	66	85	552	182	562	462	202	367	110	672	389	130	86	359					
9	Число недействительных избирательных бюллетеней	204	6	0	14	1	0	7	7	4	0	1	1	0	23	12	15	0	2	9	0	7	1	2	0	8	0	0	8	2	7	6	8	0	1	4	0	1	1	5	3	9	1	5	0	2	12	3	0	0	6					
10	Число действительных избирательных бюллетеней	19539	397	66	713	462	309	382	394	204	88	290	100	212	1591	1507	1429	109	370	254	56	626	311	480	93	555	454	137	565	207	703	405	638	117	207	433	154	71	86	575	185	615	480	219	403	120	726	411	130	92	408					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	287	5	3	10	5	5	8	8	5	3	5	3	3	26	20	20	3	3	3	3	8	5	5	3	11	5	3	5	3	5	5	6	3	3	5	3	3	3	6	3	10	5	5	5	3	9	5	3	3	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	272	5	3	10	5	5	8	8	5	3	3	2	3	26	20	20	3	3	1	0	8	1	5	3	11	5	0	5	3	5	5	6	3	3	5	3	3	3	6	3	10	5	5	5	3	9	5	3	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	157	1	1	2	2	2	5	1	3	2	2	1	0	9	4	7	59	2	3	4	2	2	3	0	1	1	1	2	3	2	1	2	0	1	2	1	3	2	3	1	3	1	0	2	3	3	2	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	15	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	3	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	0	0	0	0	0	0	0	0	0	4	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
18	1.Политическая партия «Аграрная партия России»	1156	36	2	22	35	56	43	20	12	2	17	10	9	49	55	55	6	13	11	4	32	28	32	9	29	45	4	29	11	50	20	60	6	21	16	5	7	12	47	11	58	22	7	10	15	32	13	2	3	63					
		5.86%	8.93%	3.03%	3.03%	7.56%	18.12%	11.05%	4.99%	5.77%	2.27%	5.84%	9.90%	4.25%	3.04%	3.62%	3.81%	5.50%	3.49%	4.18%	7.14%	5.06%	8.97%	6.64%	9.68%	5.15%	9.91%	2.92%	5.06%	5.26%	7.04%	4.87%	9.29%	5.13%	10.10%	3.66%	3.25%	9.72%	13.79%	8.10%	5.85%	9.29%	4.57%	3.13%	2.48%	12.30%	4.34%	3.14%	1.54%	3.26%	15.22%					
19	2.Всероссийская политическая партия «Гражданская Сила»	67	1	0	2	2	1	4	0	0	0	0	0	0	6	12	7	0	0	0	0	1	0	1	0	0	3	0	0	1	0	0	6	0	2	3	0	0	0	1	0	3	2	0	0	1	1	5	0	0	2					
