Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Лабытнангская городская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25					
1	"Число избирателей, внесенных в списки избирателей"	19566	912	1008	1608	1099	1246	1575	1030	1787	840	1086	1195	959	3544	1677					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18470	750	1050	1500	1050	1200	1500	1000	1600	800	1000	1200	850	3400	1570					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	2130	0	0	0	0	0	0	0	0	0	0	0	0	2130	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14558	636	864	1389	906	1064	1410	876	1457	615	877	1052	813	1231	1368					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	780	109	36	61	39	53	64	17	30	178	41	43	18	17	74					
6	Число погашенных избирательных бюллетеней	1002	5	150	50	105	83	26	107	113	7	82	105	19	22	128					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2910	109	36	61	39	53	64	17	30	178	41	43	18	2147	74					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14557	636	864	1389	906	1063	1410	876	1457	615	877	1052	813	1231	1368					
9	Число недействительных избирательных бюллетеней	348	16	0	57	0	27	0	0	0	5	100	102	10	11	20					
10	Число действительных избирательных бюллетеней	17119	729	900	1393	945	1089	1474	893	1487	788	818	993	821	3367	1422					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	524	25	25	35	25	14	41	25	34	25	25	50	25	75	100					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	227	8	13	15	5	8	16	15	26	12	12	18	9	31	39					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	243	6	2	5	4	3	5	6	0	2	4	7	11	179	9					
14	Число погашенных неиспользованных открепительных удостоверений	297	17	12	20	20	6	25	10	8	13	13	32	16	44	61					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	4	3	9	5	9	9	2	6	2	4	5	3	6	7					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	78	8	0	14	0	13	5	3	0	13	4	1	4	9	4					
		0.45%	1.07%	0.00%	0.97%	0.00%	1.16%	0.34%	0.34%	0.00%	1.64%	0.44%	0.09%	0.48%	0.27%	0.28%					
19	2.Всероссийская политическая партия «Гражданская Сила»	55	7	0	10	0	13	4	6	0	2	4	1	2	5	1					
		0.31%	0.94%	0.00%	0.69%	0.00%	1.16%	0.27%	0.67%	0.00%	0.25%	0.44%	0.09%	0.24%	0.15%	0.07%					
20	3.Политическая партия «Демократическая партия России»	9	2	0	0	0	1	1	0	0	0	0	3	1	1	0					
		0.05%	0.27%	0.00%	0.00%	0.00%	0.09%	0.07%	0.00%	0.00%	0.00%	0.00%	0.27%	0.12%	0.03%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	717	62	48	33	83	61	80	39	98	32	37	27	14	51	52					
		4.10%	8.32%	5.33%	2.28%	8.78%	5.47%	5.43%	4.37%	6.59%	4.04%	4.03%	2.47%	1.68%	1.51%	3.61%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	39	4	0	3	0	4	4	3	0	3	0	1	7	0	10					
		0.22%	0.54%	0.00%	0.21%	0.00%	0.36%	0.27%	0.34%	0.00%	0.38%	0.00%	0.09%	0.84%	0.00%	0.69%					
23	6.Политическая партия «Партия социальной справедливости»	8	2	0	2	0	3	1	0	0	0	0	0	0	0	0					
		0.05%	0.27%	0.00%	0.14%	0.00%	0.27%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1205	105	81	86	105	112	117	43	132	74	70	58	43	75	104					
		6.90%	14.09%	9.00%	5.93%	11.11%	10.04%	7.94%	4.82%	8.88%	9.33%	7.63%	5.30%	5.17%	2.22%	7.21%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	787	43	27	48	41	80	101	50	135	50	27	16	34	46	89					
		4.51%	5.77%	3.00%	3.31%	4.34%	7.17%	6.85%	5.60%	9.08%	6.31%	2.94%	1.46%	4.09%	1.36%	6.17%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	35	3	0	6	0	3	4	4	0	6	0	3	2	4	0					
		0.20%	0.40%	0.00%	0.41%	0.00%	0.27%	0.27%	0.45%	0.00%	0.76%	0.00%	0.27%	0.24%	0.12%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	14130	486	744	1183	716	794	1152	745	1122	599	671	879	708	3169	1162					
		80.90%	65.23%	82.67%	81.59%	75.77%	71.15%	78.15%	83.43%	75.45%	75.54%	73.09%	80.27%	85.20%	93.81%	80.58%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	56	7	0	8	0	5	5	0	0	9	5	4	6	7	0					
		0.32%	0.94%	0.00%	0.55%	0.00%	0.45%	0.34%	0.00%	0.00%	1.13%	0.54%	0.37%	0.72%	0.21%	0.00%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
