Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Вилюйская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173					
1	"Число избирателей, внесенных в список избирателей"	17353	653	622	898	778	931	938	540	967	937	135	672	612	830	423	376	416	365	330	246	256	438	144	518	200	272	364	370	435	376	535	218	461	659	438					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16940	560	575	780	745	830	870	505	880	890	150	700	590	720	450	410	390	370	330	250	250	420	155	550	290	305	410	330	440	415	575	220	465	690	430					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9913	298	282	509	392	468	432	261	593	382	103	332	327	402	232	196	292	242	204	170	202	286	113	327	186	200	208	293	263	261	287	183	334	419	234					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	741	20	16	21	17	10	32	14	11	50	0	17	40	33	25	10	36	24	22	7	7	25	7	23	14	18	19	19	30	20	48	10	36	34	26					
6	Число погашенных избирательных бюллетеней	6286	242	277	250	336	352	406	230	276	458	47	351	223	285	193	204	62	104	104	73	41	109	35	200	90	87	183	18	147	134	240	27	95	237	170					
7	Число избирательных бюллетеней в переносных ящиках для голосования	741	20	16	21	17	10	32	14	11	50	0	17	40	33	25	10	36	24	22	7	7	25	7	23	14	18	19	19	30	20	48	10	36	34	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9913	298	282	509	392	468	432	261	593	382	103	332	327	402	232	196	292	242	204	170	202	286	113	327	186	200	208	293	263	261	287	183	334	419	234					
9	Число недействительных избирательных бюллетеней	57	4	1	2	4	2	5	2	3	4	0	5	3	7	0	0	0	0	0	1	0	2	0	1	1	0	0	2	1	0	3	0	2	1	1					
10	Число действительных избирательных бюллетеней	10597	314	297	528	405	476	459	273	601	428	103	344	364	428	257	206	328	266	226	176	209	309	120	349	199	218	227	310	292	281	332	193	368	452	259					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	321	10	15	15	15	15	10	10	15	15	15	15	15	15	7	3	5	7	5	10	5	8	5	5	5	5	10	5	5	10	5	5	11	15	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	245	1	10	15	8	9	10	10	15	12	0	15	5	11	7	3	5	7	5	10	5	8	0	5	5	5	10	4	2	10	0	5	11	15	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	111	1	8	3	4	7	5	4	7	7	4	2	0	4	5	1	1	2	6	1	1	1	2	2	0	2	2	1	0	4	1	0	8	5	10					
14	Число погашенных неиспользованных открепительных удостоверений	76	9	5	0	7	6	0	0	0	3	15	0	10	4	0	0	0	0	0	0	0	0	5	0	0	0	0	1	3	0	5	0	0	0	3					
