Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																									
Дата голосования: 02.12.2007																																									
																																									
Наименование Избирательной комиссии:    Вилюйская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175					
1	"Число избирателей, внесенных в списки избирателей"	16564	605	594	1016	732	825	851	545	803	963	143	750	628	809	372	316	378	332	276	223	258	374	146	452	283	263	354	344	424	397	512	209	382	595	410					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15395	550	500	900	620	720	700	490	680	780	150	710	600	730	360	300	380	330	285	230	265	370	150	465	290	270	350	350	400	400	470	230	380	580	410					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11744	370	381	679	501	519	577	330	565	555	119	419	375	444	297	267	325	272	210	189	225	327	103	388	203	231	269	291	339	290	362	191	327	470	334					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	750	23	18	12	21	18	36	22	8	42	10	8	38	17	33	15	34	22	22	12	12	25	22	23	15	8	19	16	37	20	59	10	24	32	17					
6	Число погашенных избирательных бюллетеней	2901	157	101	209	98	183	87	138	107	183	21	283	187	269	30	18	21	36	53	29	28	18	25	54	72	31	62	43	24	90	49	29	29	78	59					
7	Число избирательных бюллетеней в переносных ящиках для голосования	750	23	18	12	21	18	36	22	8	42	10	8	38	17	33	15	34	22	22	12	12	25	22	23	15	8	19	16	37	20	59	10	24	32	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11742	370	381	679	501	519	577	330	563	555	119	419	375	444	297	267	325	272	210	189	225	327	103	388	203	231	269	291	339	290	362	191	327	470	334					
9	Число недействительных избирательных бюллетеней	89	4	5	5	3	4	5	7	1	2	3	4	0	4	1	4	0	3	5	2	0	6	0	0	1	1	0	2	4	2	1	3	2	2	3					
10	Число действительных избирательных бюллетеней	12403	389	394	686	519	533	608	345	570	595	126	423	413	457	329	278	359	291	227	199	237	346	125	411	217	238	288	305	372	308	420	198	349	500	348					
