Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Новоуральская городская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК  2333	УИК  2614	УИК  2615					
1	"Число избирателей, внесенных в список"	80090	1921	2075	2174	2197	1999	2485	1701	1646	2214	1852	708	1303	1701	1634	2300	2177	2003	2069	1850	1896	2223	2083	2316	1897	1543	2478	1893	1823	1747	1462	1988	1808	2404	2422	2197	1450	273	1212	237	1019	1987	1964	2228	1531					
2	Число полученных избирательных бюллетеней	78280	1900	2000	2000	2000	1900	2500	1500	1600	2200	1740	660	1300	1700	1600	2300	2200	1900	2100	1900	1800	2200	2100	2300	1800	1500	2500	1900	1800	1700	1400	2000	1800	2400	2300	2200	1400	250	1200	230	1000	1900	1900	2200	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	50695	1263	1287	1383	1353	1273	1562	1219	1090	1224	1193	634	870	1122	1088	1445	1265	1128	1335	1213	1124	1487	1379	1467	1210	924	1520	1294	1166	1028	933	1307	1089	1528	1609	1456	915	161	704	125	557	1269	1252	1256	988					
5	"Число избирательных бюллетеней, выданных вне помещения"	1288	14	18	12	16	26	40	22	43	102	83	0	59	33	27	25	56	39	29	9	21	17	36	29	26	33	52	31	20	16	22	40	63	58	13	13	13	12	35	0	16	16	9	23	21					
6	Число погашенных избирательных бюллетеней	26297	623	695	605	631	601	898	259	467	874	464	26	371	545	485	830	879	733	736	678	655	696	685	804	564	543	928	575	614	656	445	653	648	814	678	731	472	77	461	105	427	615	639	921	491					
7	Число избирательных бюллетеней в переносных ящиках	1288	14	18	12	16	26	40	22	43	102	83	0	59	33	27	25	56	39	29	9	21	17	36	29	26	33	52	31	20	16	22	40	63	58	13	13	13	12	35	0	16	16	9	23	21					
8	Число бюллетеней в стационарных ящиках для голосования	50642	1262	1286	1383	1353	1273	1562	1219	1090	1224	1192	634	870	1122	1087	1445	1265	1084	1335	1213	1124	1486	1379	1467	1210	924	1520	1294	1166	1026	933	1307	1089	1528	1609	1456	915	161	704	125	557	1268	1252	1255	988					
9	Число недействительных избирательных бюллетеней	514	13	15	15	7	9	15	17	15	9	7	8	5	9	8	17	20	17	15	10	13	7	17	18	22	11	16	18	16	9	11	8	13	11	7	5	4	8	17	5	13	11	7	4	12					
10	Число действительных избирательных бюллетеней	51416	1263	1289	1380	1362	1290	1587	1224	1118	1317	1268	626	924	1146	1106	1453	1301	1106	1349	1212	1132	1496	1398	1478	1214	946	1556	1307	1170	1033	944	1339	1139	1575	1615	1464	924	165	722	120	560	1273	1254	1274	997					
11	Число полученных открепительных  удостоверений	1495	30	40	50	40	30	30	57	28	30	30	0	30	30	30	30	30	40	40	30	30	45	40	50	30	30	50	30	30	30	30	30	30	50	50	50	30	30	30	5	30	30	30	50	30					
12	Число выданных открепительных удостоверений	398	6	6	10	5	9	13	32	12	11	13	0	15	13	8	7	11	14	17	4	8	11	3	10	7	6	11	7	6	5	6	10	8	18	3	6	6	0	5	0	3	13	11	6	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	173	4	1	6	5	7	6	22	4	1	4	12	3	4	3	1	1	4	4	2	2	2	1	2	0	2	4	0	3	2	4	0	3	4	2	1	3	10	9	5	10	5	1	3	1					
14	Число неиспользованных открепительных удостоверений	1097	24	34	40	35	21	17	25	16	19	17	0	15	17	22	23	19	26	23	26	22	34	37	40	23	24	39	23	24	25	24	20	22	32	47	44	24	30	25	5	27	17	19	44	7					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	2056	46	35	63	53	45	74	24	65	43	65	23	44	45	65	64	28	31	55	50	56	66	67	63	51	34	74	49	41	33	39	66	42	67	54	59	34	8	23	2	12	53	44	53	48					
		3.96%	3.61%	2.68%	4.52%	3.87%	3.46%	4.62%	1.93%	5.74%	3.24%	5.10%	3.63%	4.74%	3.90%	5.83%	4.35%	2.12%	2.76%	4.03%	4.09%	4.89%	4.39%	4.73%	4.21%	4.13%	3.55%	4.71%	3.70%	3.46%	3.17%	4.08%	4.90%	3.65%	4.22%	3.33%	4.02%	3.66%	4.62%	3.11%	1.60%	2.09%	4.13%	3.49%	4.15%	4.76%					
19	. Малышкин Олег Александрович	1236	39	20	29	20	28	37	28	23	20	23	17	24	24	22	35	33	36	43	22	38	30	22	36	42	30	43	35	33	26	16	31	23	46	38	45	19	6	13	2	8	21	45	38	27					
		2.38%	3.06%	1.53%	2.08%	1.46%	2.16%	2.31%	2.26%	2.03%	1.51%	1.80%	2.68%	2.58%	2.08%	1.97%	2.38%	2.50%	3.21%	3.15%	1.80%	3.32%	2.00%	1.55%	2.41%	3.40%	3.13%	2.74%	2.64%	2.78%	2.50%	1.68%	2.30%	2.00%	2.90%	2.34%	3.06%	2.05%	3.47%	1.76%	1.60%	1.40%	1.64%	3.57%	2.97%	2.68%					
20	. Миронов Сергей Михайлович	343	7	4	7	17	5	7	10	5	5	8	7	12	6	16	12	7	3	11	9	4	8	8	16	11	6	11	7	13	7	3	10	5	7	15	9	5	1	2	1	5	7	14	6	4					
		0.66%	0.55%	0.31%	0.50%	1.24%	0.38%	0.44%	0.81%	0.44%	0.38%	0.63%	1.10%	1.29%	0.52%	1.44%	0.82%	0.53%	0.27%	0.81%	0.74%	0.35%	0.53%	0.57%	1.07%	0.89%	0.63%	0.70%	0.53%	1.10%	0.67%	0.31%	0.74%	0.43%	0.44%	0.92%	0.61%	0.54%	0.58%	0.27%	0.80%	0.87%	0.55%	1.11%	0.47%	0.40%					
21	. Путин Владимир Владимирович	39635	953	1044	1030	1065	1013	1219	1033	835	1013	935	493	676	876	775	1135	1054	864	993	925	855	1177	1051	1118	919	743	1205	1032	891	801	732	999	914	1202	1284	1093	700	127	614	105	496	1005	929	937	775					
		76.32%	74.69%	80.06%	73.84%	77.79%	77.98%	76.09%	83.24%	73.70%	76.40%	73.33%	77.76%	72.77%	75.84%	69.57%	77.21%	79.79%	76.94%	72.80%	75.70%	74.67%	78.31%	74.28%	74.73%	74.35%	77.64%	76.65%	77.89%	75.13%	76.87%	76.65%	74.16%	79.34%	75.79%	79.16%	74.40%	75.43%	73.41%	83.09%	84.00%	86.56%	78.27%	73.67%	73.32%	76.81%					
22	. Хакамада Ирина Муцуовна	3602	118	108	145	95	108	123	62	78	96	116	31	75	91	104	82	56	61	96	77	71	79	103	101	70	69	82	87	81	65	76	106	51	82	126	133	88	6	21	3	17	100	106	101	56					
		6.94%	9.25%	8.28%	10.39%	6.94%	8.31%	7.68%	5.00%	6.88%	7.24%	9.10%	4.89%	8.07%	7.88%	9.34%	5.58%	4.24%	5.43%	7.04%	6.30%	6.20%	5.26%	7.28%	6.75%	5.66%	7.21%	5.22%	6.57%	6.83%	6.24%	7.96%	7.87%	4.43%	5.17%	7.77%	9.05%	9.48%	3.47%	2.84%	2.40%	2.97%	7.79%	8.41%	7.90%	5.55%					
23	. Харитонов Николай Михайлович	2940	51	47	63	69	54	78	35	77	106	86	32	67	65	92	76	63	66	110	90	80	87	85	94	79	45	98	81	84	62	43	79	77	124	46	79	43	11	29	7	20	50	61	93	56					
		5.66%	4.00%	3.60%	4.52%	5.04%	4.16%	4.87%	2.82%	6.80%	7.99%	6.75%	5.05%	7.21%	5.63%	8.26%	5.17%	4.77%	5.88%	8.06%	7.36%	6.99%	5.79%	6.01%	6.28%	6.39%	4.70%	6.23%	6.11%	7.08%	5.95%	4.50%	5.86%	6.68%	7.82%	2.84%	5.38%	4.63%	6.36%	3.92%	5.60%	3.49%	3.89%	4.84%	7.28%	5.55%					
																																																			
24	Против всех	1604	49	31	43	43	37	49	32	35	34	35	23	26	39	32	49	60	45	41	39	28	49	62	50	42	19	43	16	27	39	35	48	27	47	52	46	35	6	20	0	2	37	55	46	31					
		3.09%	3.84%	2.38%	3.08%	3.14%	2.85%	3.06%	2.58%	3.09%	2.56%	2.75%	3.63%	2.80%	3.38%	2.87%	3.33%	4.54%	4.01%	3.01%	3.19%	2.45%	3.26%	4.38%	3.34%	3.40%	1.99%	2.74%	1.21%	2.28%	3.74%	3.66%	3.56%	2.34%	2.96%	3.21%	3.13%	3.77%	3.47%	2.71%	0.00%	0.35%	2.88%	4.36%	3.60%	3.07%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
