Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
Наименование Избирательной комиссии:    Каслинская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975					
1	"Число избирателей, внесенных в список избирателей"	28592	834	848	833	813	903	964	740	873	987	1003	871	982	886	882	894	39	376	1654	1905	81	616	660	79	70	188	883	1043	673	351	169	213	133	67	209	551	535	252	85	81	1369	1129	277	177	251	627	284	252					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22270	600	600	600	600	700	700	600	700	700	800	600	700	700	700	700	100	350	1200	1500	80	450	500	70	60	180	600	800	500	300	170	200	130	70	200	400	400	250	80	80	1000	900	250	170	250	500	280	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	13581	415	404	433	452	425	453	392	456	380	467	388	394	352	340	350	13	151	758	924	49	317	314	39	58	87	328	515	340	192	112	98	66	53	105	258	284	157	63	59	617	422	119	102	138	347	197	198					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1219	24	22	27	13	9	16	15	13	37	27	9	19	15	17	17	24	25	45	60	8	33	43	14	0	31	106	35	24	24	10	8	20	8	19	85	44	35	9	4	52	49	38	18	8	38	17	5					
6	Число погашенных избирательных бюллетеней	7470	161	174	140	135	266	231	193	231	283	306	203	287	333	343	333	63	174	397	516	23	100	143	17	2	62	166	250	136	84	48	94	44	9	76	57	72	58	8	17	331	429	93	50	104	115	66	47					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1219	24	22	27	13	9	16	15	13	37	27	9	19	15	17	17	24	25	45	60	8	33	43	14	0	31	106	35	24	24	10	8	20	8	19	85	44	35	9	4	52	49	38	18	8	38	17	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13580	415	404	433	451	425	453	392	456	380	467	388	394	352	340	350	13	151	758	924	49	317	314	39	58	87	328	515	340	192	112	98	66	53	105	258	284	157	63	59	617	422	119	102	138	347	197	198					
9	Число недействительных избирательных бюллетеней	267	10	10	4	15	16	23	9	6	7	7	9	8	6	6	3	0	1	15	19	1	3	3	0	0	0	6	15	2	2	7	1	0	1	4	6	8	0	1	0	8	9	5	2	0	5	1	3					
10	Число действительных избирательных бюллетеней	14532	429	416	456	449	418	446	398	463	410	487	388	405	361	351	364	37	175	788	965	56	347	354	53	58	118	428	535	362	214	115	105	86	60	120	337	320	192	71	63	661	462	152	118	146	380	213	200					
