Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																						
Дата голосования: 02.12.2007																																																						
																																																						
Наименование Избирательной комиссии:    Каслинская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975					
1	"Число избирателей, внесенных в списки избирателей"	29404	909	884	881	893	999	989	835	766	1032	1052	892	1058	767	871	959	103	400	1872	1869	91	638	610	86	89	186	888	1121	674	347	175	219	57	127	223	374	576	286	102	97	1357	1132	312	209	254	641	235	267					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	28540	850	900	850	850	950	900	800	750	1000	1000	800	1000	750	850	900	100	400	1800	1800	80	650	600	90	80	200	850	1100	700	300	170	200	50	120	220	550	570	270	100	90	1300	1100	320	190	250	650	230	260					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15386	506	499	497	519	524	537	487	496	461	555	414	469	335	405	447	66	138	865	856	55	375	362	37	74	116	384	609	355	241	119	136	48	69	138	286	269	135	75	64	676	546	154	123	168	369	144	183					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1368	44	21	26	25	17	27	20	19	24	38	55	62	18	32	28	1	32	70	80	4	27	22	14	0	30	86	31	25	20	6	20	0	10	20	88	66	37	5	3	29	43	48	10	12	49	24	0					
6	Число погашенных избирательных бюллетеней	11786	300	380	327	306	409	336	293	235	515	407	331	469	397	413	425	33	230	865	864	21	248	216	39	6	54	380	460	320	39	45	44	2	41	62	176	235	98	20	23	595	511	118	57	70	232	62	77					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1368	44	21	26	25	17	27	20	19	24	38	55	62	18	32	28	1	32	70	80	4	27	22	14	0	30	86	31	25	20	6	20	0	10	20	88	66	37	5	3	29	43	48	10	12	49	24	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15380	506	499	497	519	520	537	487	496	461	555	414	467	335	405	447	66	138	865	856	55	375	362	37	74	116	384	609	355	241	119	136	48	69	138	286	269	135	75	64	676	546	154	123	168	369	144	183					
9	Число недействительных избирательных бюллетеней	200	2	15	6	16	12	6	6	5	6	6	4	11	4	1	7	1	1	11	5	0	0	8	0	0	3	4	5	3	3	7	1	0	0	3	6	5	0	4	1	3	4	0	2	1	6	2	4					
10	Число действительных избирательных бюллетеней	16548	548	505	517	528	525	558	501	510	479	587	465	518	349	436	468	66	169	924	931	59	402	376	51	74	143	466	635	377	258	118	155	48	79	155	368	330	172	76	66	702	585	202	131	179	412	166	179					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	440	10	15	10	10	10	15	10	10	10	15	19	11	10	10	10	5	5	15	15	5	10	10	5	5	5	9	16	15	15	5	5	5	5	5	10	10	5	5	5	15	15	5	5	10	10	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	223	6	7	3	4	3	4	2	8	4	6	19	3	2	5	1	1	2	9	4	1	7	10	0	0	0	6	8	12	15	0	3	0	2	0	10	10	0	3	2	13	10	3	0	6	8	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	223	4	2	5	3	6	10	5	6	5	5	8	6	1	0	2	3	1	7	5	2	6	1	2	2	2	1	7	7	41	1	5	4	3	3	6	2	2	0	0	15	4	2	10	3	2	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	217	4	8	7	6	7	11	8	2	6	9	0	8	8	5	9	4	3	6	11	4	3	0	5	5	5	3	8	3	0	5	2	5	3	5	0	0	5	2	3	2	5	2	5	4	2	4	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	3	2	1	0	0	1	1	1	2	0	1	2	2	0	1	0	0	0	0	0	0	0	0	1	0	2	5	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
18	1.Политическая партия «Аграрная партия России»	397	6	3	15	3	7	9	8	6	9	10	10	8	3	7	5	7	4	21	25	0	14	11	0	0	6	14	24	13	4	2	3	0	5	9	7	15	6	2	2	24	7	6	5	16	25	6	5					
		2.37%	1.09%	0.58%	2.87%	0.55%	1.30%	1.60%	1.58%	1.17%	1.86%	1.69%	2.13%	1.51%	0.85%	1.60%	1.05%	10.45%	2.35%	2.25%	2.67%	0.00%	3.48%	2.86%	0.00%	0.00%	4.11%	2.98%	3.75%	3.42%	1.53%	1.60%	1.92%	0.00%	6.33%	5.70%	1.87%	4.48%	3.49%	2.50%	2.99%	3.40%	1.19%	2.97%	3.76%	8.89%	5.98%	3.57%	2.73%					
19	2.Всероссийская политическая партия «Гражданская Сила»	92	6	6	0	2	3	4	6	3	4	2	3	2	3	2	2	1	1	6	9	0	2	3	0	0	1	1	1	1	2	1	0	0	1	2	0	0	0	0	0	6	1	0	3	0	1	0	1					
		0.55%	1.09%	1.15%	0.00%	0.37%	0.56%	0.71%	1.18%	0.58%	0.82%	0.34%	0.64%	0.38%	0.85%	0.46%	0.42%	1.49%	0.59%	0.64%	0.96%	0.00%	0.50%	0.78%	0.00%	0.00%	0.68%	0.21%	0.16%	0.26%	0.77%	0.80%	0.00%	0.00%	1.27%	1.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.17%	0.00%	2.26%	0.00%	0.24%	0.00%	0.55%					
20	3.Политическая партия «Демократическая партия России»	16	2	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	1	0					
		0.10%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.17%	0.00%	0.00%	0.28%	0.23%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	1.27%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.24%	0.60%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1390	58	42	42	57	46	26	45	43	22	21	30	28	17	21	27	3	22	91	134	6	39	26	2	5	11	74	78	44	11	4	7	2	13	7	16	41	6	13	8	76	47	10	11	11	30	5	12					
		8.30%	10.55%	8.08%	8.03%	10.48%	8.57%	4.61%	8.88%	8.35%	4.54%	3.54%	6.40%	5.29%	4.82%	4.81%	5.68%	4.48%	12.94%	9.73%	14.32%	10.17%	9.70%	6.77%	3.92%	6.76%	7.53%	15.74%	12.19%	11.58%	4.21%	3.20%	4.49%	4.17%	16.46%	4.43%	4.28%	12.24%	3.49%	16.25%	11.94%	10.78%	7.98%	4.95%	8.27%	6.11%	7.18%	2.98%	6.56%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	88	9	1	5	8	7	4	4	2	7	2	1	3	1	3	4	0	0	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2	1	0	0	9	2	0	0	0	2	0	0					
		0.53%	1.64%	0.19%	0.96%	1.47%	1.30%	0.71%	0.79%	0.39%	1.44%	0.34%	0.21%	0.57%	0.28%	0.69%	0.84%	0.00%	0.00%	0.11%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.63%	0.53%	0.60%	0.58%	0.00%	0.00%	1.28%	0.34%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	34	2	2	1	6	0	1	2	0	2	2	0	1	0	0	0	0	0	2	4	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0					
		0.20%	0.36%	0.38%	0.19%	1.10%	0.00%	0.18%	0.39%	0.00%	0.41%	0.34%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1268	34	47	55	34	50	53	42	38	29	51	37	34	38	43	34	4	8	54	58	2	30	30	3	12	4	19	31	35	13	7	11	6	6	25	29	27	13	0	2	61	48	26	14	7	31	11	22					
		7.57%	6.18%	9.04%	10.52%	6.25%	9.31%	9.40%	8.28%	7.38%	5.98%	8.60%	7.89%	6.43%	10.76%	9.84%	7.16%	5.97%	4.71%	5.78%	6.20%	3.39%	7.46%	7.81%	5.88%	16.22%	2.74%	4.04%	4.84%	9.21%	4.98%	5.60%	7.05%	12.50%	7.59%	15.82%	7.75%	8.06%	7.56%	0.00%	2.99%	8.65%	8.15%	12.87%	10.53%	3.89%	7.42%	6.55%	12.02%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1724	72	65	62	84	58	69	77	68	49	72	50	53	26	51	34	2	16	112	94	7	15	42	9	3	12	40	57	26	20	8	3	2	8	8	33	81	7	2	12	77	57	18	9	10	28	6	10					
		10.29%	13.09%	12.50%	11.85%	15.44%	10.80%	12.23%	15.19%	13.20%	10.10%	12.14%	10.66%	10.02%	7.37%	11.67%	7.16%	2.99%	9.41%	11.98%	10.04%	11.86%	3.73%	10.94%	17.65%	4.05%	8.22%	8.51%	8.91%	6.84%	7.66%	6.40%	1.92%	4.17%	10.13%	5.06%	8.82%	24.18%	4.07%	2.50%	17.91%	10.92%	9.68%	8.91%	6.77%	5.56%	6.70%	3.57%	5.46%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	142	7	4	12	5	3	3	2	2	7	5	7	4	3	6	1	3	1	16	7	0	6	4	1	1	1	0	1	6	0	0	0	0	0	1	1	3	0	0	1	7	3	2	0	2	1	1	2					
		0.85%	1.27%	0.77%	2.29%	0.92%	0.56%	0.53%	0.39%	0.39%	1.44%	0.84%	1.49%	0.76%	0.85%	1.37%	0.21%	4.48%	0.59%	1.71%	0.75%	0.00%	1.49%	1.04%	1.96%	1.35%	0.68%	0.00%	0.16%	1.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.27%	0.90%	0.00%	0.00%	1.49%	0.99%	0.51%	0.99%	0.00%	1.11%	0.24%	0.60%	1.09%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	11240	348	325	311	328	339	385	301	344	346	416	323	382	255	299	358	45	116	602	585	43	295	260	36	53	108	315	435	251	205	95	129	37	44	102	273	159	139	59	41	431	413	139	88	133	288	135	126					
