Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																								
Дата голосования: 04.12.2011																																																																								
																																																																								
Наименование Избирательной комиссии:    Павловская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1883	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908					
1	"Число избирателей, внесенных в список избирателей"	81408	1492	1881	1478	2097	2076	1983	1587	2042	1088	1717	2142	1921	2669	1079	1170	1123	2170	1638	1721	1712	2055	2053	1905	1968	2267	1061	1525	526	1410	1310	1361	1379	1432	1592	1255	940	814	105	2619	1552	1813	471	295	1206	438	422	132	191	231	1154	77	1038	143	806	1475	1400	563	1381	1311	556	65	279	185	268	1593					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	77785	1400	1700	1400	2000	2000	1900	1500	2000	1000	1650	2100	1800	2500	1000	1100	1100	2100	1600	1650	1650	1950	2000	1800	1850	2100	1000	1450	600	1350	1250	1300	1300	1450	1500	1200	900	800	105	2500	1500	1800	450	290	1200	400	400	120	170	200	1100	70	1000	140	800	1400	1350	550	1300	1250	500	60	250	180	250	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	53235	1226	1501	815	1043	1093	989	1270	1720	821	1272	1541	999	1824	845	940	958	1666	1216	947	1273	1253	1100	1651	1490	1425	852	1056	207	1025	1029	1060	672	1045	865	610	740	486	64	1630	525	995	241	183	896	264	152	78	73	72	856	58	806	77	411	602	986	213	1001	715	213	36	129	133	70	1231					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5076	85	10	19	28	34	28	87	53	80	163	161	77	75	24	38	29	63	27	60	49	65	65	6	75	296	36	60	290	51	80	68	118	65	13	79	57	97	23	68	66	224	126	4	165	60	120	24	37	61	100	5	70	15	120	167	93	51	36	240	128	13	44	21	125	159					
6	Число погашенных избирательных бюллетеней	19474	89	189	566	929	873	883	143	227	99	215	398	724	601	131	122	113	371	357	643	328	632	835	143	285	379	112	334	103	274	141	172	510	340	622	511	103	217	18	802	909	581	83	103	139	76	128	18	60	67	144	7	124	48	269	631	271	286	263	295	159	11	77	26	55	110					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5076	85	10	19	28	34	28	87	53	80	163	161	77	75	24	38	29	63	27	60	49	65	65	6	75	296	36	60	290	51	80	68	118	65	13	79	57	97	23	68	66	224	126	4	165	60	120	24	37	61	100	5	70	15	120	167	93	51	36	240	128	13	44	21	125	159					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53207	1226	1501	815	1043	1093	989	1270	1720	821	1272	1541	999	1824	845	940	958	1666	1216	947	1273	1231	1100	1651	1490	1425	852	1056	207	1025	1029	1060	672	1045	865	610	740	486	64	1630	525	995	241	183	896	264	152	78	73	72	856	58	806	77	411	596	986	213	1001	715	213	36	129	133	70	1231					
9	Число недействительных избирательных бюллетеней	669	36	7	12	17	16	16	23	14	7	18	13	5	20	12	13	3	10	6	12	8	54	13	14	13	11	12	10	3	9	9	30	10	21	13	7	7	31	0	16	9	6	1	2	13	10	4	0	2	0	3	0	7	4	6	6	7	2	7	7	8	0	0	0	0	14					
10	Число действительных избирательных бюллетеней	57614	1275	1504	822	1054	1111	1001	1334	1759	894	1417	1689	1071	1879	857	965	984	1719	1237	995	1314	1242	1152	1643	1552	1710	876	1106	494	1067	1100	1098	780	1089	865	682	790	552	87	1682	582	1213	366	185	1048	314	268	102	108	133	953	63	869	88	525	757	1072	262	1030	948	333	49	173	154	195	1376					
