Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																											
Дата голосования: 02.12.2007																																																																											
																																																																											
Наименование Избирательной комиссии:    Павловская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908					
1	"Число избирателей, внесенных в списки избирателей"	81102	1482	1850	1505	2172	2122	2012	1804	1937	951	2585	2222	1794	1662	1162	1253	1105	2383	1710	1813	1764	2052	2088	1749	1853	2314	1043	1535	418	1455	1293	1361	1403	1383	1640	1323	1013	840	114	2564	1403	1443	273	498	168	148	1229	453	470	143	195	236	1195	92	1060	169	768	837	1351	602	120	1403	1237	550	65	282	196	302	1485					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	76150	1350	1750	1400	2000	1950	1850	1650	1800	800	2300	2100	1650	1450	1050	1150	1050	2250	1650	1700	1700	2000	2000	1550	1650	2200	950	1400	400	1350	1200	1250	1300	1300	1550	1250	950	800	100	2400	1250	1300	260	470	150	140	1150	440	440	140	180	230	1200	80	1000	150	740	1350	1300	590	110	1400	1250	490	60	280	190	310	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	45183	948	1201	970	1393	1406	1218	1030	1151	518	1511	1119	946	920	640	756	630	1286	1018	1133	1032	1269	1212	1149	1082	1249	600	965	120	635	594	598	635	645	848	634	665	496	64	1241	595	721	117	205	80	76	638	234	185	90	104	77	702	69	623	89	385	700	677	256	89	796	573	192	42	162	104	104	971					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3859	49	13	25	50	54	86	57	36	31	84	25	28	27	22	42	50	58	39	36	33	22	28	19	35	79	30	45	261	57	29	29	77	87	0	39	46	47	22	75	117	35	26	64	35	19	170	71	135	25	31	86	42	11	56	36	121	137	48	52	0	46	222	126	6	39	41	148	42					
6	Число погашенных избирательных бюллетеней	27108	353	536	405	557	490	546	563	613	251	705	956	676	503	388	352	370	906	593	531	635	709	760	382	533	872	320	390	19	658	577	623	588	568	702	577	239	257	14	1084	538	544	117	201	35	45	342	135	120	25	45	67	456	0	321	25	234	513	575	282	21	558	455	172	12	79	45	58	287					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3859	49	13	25	50	54	86	57	36	31	84	25	28	27	22	42	50	58	39	36	33	22	28	19	35	79	30	45	261	57	29	29	77	87	0	39	46	47	22	75	117	35	26	64	35	19	170	71	135	25	31	86	42	11	56	36	121	137	48	52	0	46	222	126	6	39	41	148	42					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45084	948	1201	970	1393	1406	1218	1030	1151	518	1427	1119	946	920	640	755	630	1286	1018	1133	1032	1265	1210	1149	1082	1246	600	965	120	635	594	598	635	645	848	634	665	494	64	1241	595	721	117	205	80	76	637	234	185	90	104	76	702	69	623	89	384	700	677	256	89	796	573	192	42	162	104	104	971					
9	Число недействительных избирательных бюллетеней	476	10	4	7	21	9	12	11	22	11	11	13	9	18	9	6	9	14	15	9	11	11	11	10	13	16	4	4	1	7	6	1	6	10	5	5	15	7	0	15	6	3	3	5	2	0	3	4	1	0	0	0	12	1	7	3	1	8	10	1	0	9	7	2	0	3	1	2	4					
10	Число действительных избирательных бюллетеней	48467	987	1210	988	1422	1451	1292	1076	1165	538	1500	1131	965	929	653	791	671	1330	1042	1160	1054	1276	1227	1158	1104	1309	626	1006	380	685	617	626	706	722	843	668	696	534	86	1301	706	753	140	264	113	95	804	301	319	115	135	162	732	79	672	122	504	829	715	307	89	833	788	316	48	198	144	250	1009					
