Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Саратовская -163																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1620	УИК №1621									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11926	1661	1932	248	799	186	1314	297	471	443	2035	2540									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11845	1620	1915	240	800	185	1290	285	465	445	2060	2540									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9466	1280	1337	113	470	107	1073	201	417	305	1857	2306									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	284	45	35	59	33	12	19	21	4	19	16	21									
6	Число погашенных избирательных бюллетеней	2095	295	543	68	297	66	198	63	44	121	187	213									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	284	45	35	59	33	12	19	21	4	19	16	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9466	1280	1337	113	470	107	1073	201	417	305	1857	2306									
9	Число недействительных избирательных бюллетеней	51	3	9	0	0	3	32	1	0	3	0	0									
10	Число действительных избирательных бюллетеней	9699	1322	1363	172	503	116	1060	221	421	321	1873	2327									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	115	10	20	0	10	2	12	2	5	2	22	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	115	10	20	0	10	2	12	2	5	2	22	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	38	7	5	2	7	1	6	2	4	1	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	2	0	0	0	2	0	0	0	3	8									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	61	10	0	2	4	0	1	2	3	2	20	17									
		0.63%	0.75%	0.00%	1.16%	0.80%	0.00%	0.09%	0.90%	0.71%	0.62%	1.07%	0.73%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	67	15	0	1	17	2	10	6	0	3	3	10									
		0.69%	1.13%	0.00%	0.58%	3.38%	1.68%	0.92%	2.70%	0.00%	0.93%	0.16%	0.43%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	35	9	0	1	4	0	3	0	0	2	10	6									
		0.36%	0.68%	0.00%	0.58%	0.80%	0.00%	0.27%	0.00%	0.00%	0.62%	0.53%	0.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8144	1061	1193	129	386	96	915	168	354	274	1593	1975									
		83.53%	80.08%	86.95%	75.00%	76.74%	80.67%	83.79%	75.68%	84.09%	84.57%	85.05%	84.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	24	10	0	0	1	0	1	2	0	3	7	0									
		0.25%	0.75%	0.00%	0.00%	0.20%	0.00%	0.09%	0.90%	0.00%	0.93%	0.37%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	0	0	1	0	0	1	0	2	0	0									
		0.04%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.45%	0.00%	0.62%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	672	127	102	24	35	11	53	19	30	20	86	165									
		6.89%	9.58%	7.43%	13.95%	6.96%	9.24%	4.85%	8.56%	7.13%	6.17%	4.59%	7.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	1	0	0	2	0	2	2	0	0	5	0									
		0.12%	0.08%	0.00%	0.00%	0.40%	0.00%	0.18%	0.90%	0.00%	0.00%	0.27%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	24	3	0	0	2	0	2	6	0	0	5	6									
		0.25%	0.23%	0.00%	0.00%	0.40%	0.00%	0.18%	2.70%	0.00%	0.00%	0.27%	0.26%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	0	0	0	1	0	0	0	0	3									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.13%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	16	5	0	1	0	0	1	2	0	0	3	4									
		0.16%	0.38%	0.00%	0.58%	0.00%	0.00%	0.09%	0.90%	0.00%	0.00%	0.16%	0.17%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	486	66	51	11	39	4	58	12	28	7	96	114									
		4.98%	4.98%	3.72%	6.40%	7.75%	3.36%	5.31%	5.41%	6.65%	2.16%	5.13%	4.90%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	28	1	0	0	0	1	1	0	2	0	19	4									
		0.29%	0.08%	0.00%	0.00%	0.00%	0.84%	0.09%	0.00%	0.48%	0.00%	1.01%	0.17%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	122	14	17	3	12	2	12	1	4	8	26	23									
		1.25%	1.06%	1.24%	1.74%	2.39%	1.68%	1.10%	0.45%	0.95%	2.47%	1.39%	0.99%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
