Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Бородинская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69					
1	"Число избирателей, внесенных в списки"	16918	2338	2258	2041	2120	2202	1796	1957	2206					
2	"Число бюллетеней, полученных участковыми комиссиями"	16500	2247	2213	1997	2070	2142	1754	1916	2161					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6117	913	854	609	859	797	680	740	665					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	202	10	24	16	27	52	10	33	30					
6	Число погашенных бюллетеней	10181	1324	1335	1372	1184	1293	1064	1143	1466					
7	Число бюллетеней в переносных ящиках для голосования	202	10	24	16	27	52	10	33	30					
8	Число бюллетеней в стационарных ящиках для голосования	6117	913	854	609	859	797	680	740	665					
9	Число недействительных бюллетеней	75	9	10	9	8	12	7	9	11					
10	Число действительных бюллетеней	6244	914	868	616	878	837	683	764	684					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	250	40	30	30	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	34	11	5	5	5	1	1	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	8	1	2	0	0	1	0	3	1					
14	Число погашенных открепительных удостоверений	216	29	25	25	25	29	29	26	28					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	38	9	7	3	4	7	2	4	2					
		0.60%	0.97%	0.79%	0.48%	0.45%	0.82%	0.28%	0.51%	0.28%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	168	34	21	26	20	21	13	13	20					
		2.65%	3.68%	2.39%	4.16%	2.25%	2.47%	1.88%	1.68%	2.87%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	147	11	13	16	25	26	20	21	15					
		2.32%	1.19%	1.48%	2.56%	2.82%	3.06%	2.89%	2.71%	2.15%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	234	26	28	23	34	36	22	36	29					
		3.70%	2.81%	3.18%	3.68%	3.83%	4.24%	3.18%	4.65%	4.17%					
22	"5. ""За Русь Святую"""	40	7	4	2	5	1	7	10	4					
		0.63%	0.75%	0.45%	0.32%	0.56%	0.11%	1.01%	1.29%	0.57%					
23	"6. ""Объединенная Российская партия ""Русь"""	6	1	0	1	1	2	0	1	0					
		0.09%	0.10%	0.0%	0.16%	0.11%	0.23%	0.0%	0.12%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	38	1	10	8	4	5	1	4	5					
		0.60%	0.10%	1.13%	1.28%	0.45%	0.58%	0.14%	0.51%	0.71%					
25	"8. ""Народно-республиканская партия России"""	5	0	0	1	2	1	0	1	0					
		0.07%	0.0%	0.0%	0.16%	0.22%	0.11%	0.0%	0.12%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	16	0	6	1	1	0	2	4	2					
		0.25%	0.0%	0.68%	0.16%	0.11%	0.0%	0.28%	0.51%	0.28%					
27	"10. ""Аграрная партия России"""	116	20	16	12	11	20	10	10	17					
		1.83%	2.16%	1.82%	1.92%	1.24%	2.35%	1.44%	1.29%	2.44%					
28	"11. ""Истинные патриоты России"""	3	0	0	2	0	0	0	0	1					
		0.04%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.14%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	35	4	3	3	5	2	2	8	8					
		0.55%	0.43%	0.34%	0.48%	0.56%	0.23%	0.28%	1.03%	1.15%					
30	"13. ""Демократическая партия России"""	13	0	2	1	1	2	0	3	4					
		0.20%	0.0%	0.22%	0.16%	0.11%	0.23%	0.0%	0.38%	0.57%					
31	"14. ""Великая Россия - Евразийский Союз"""	4	2	0	1	0	1	0	0	0					
		0.06%	0.21%	0.0%	0.16%	0.0%	0.11%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	15	5	4	2	0	1	1	1	1					
		0.23%	0.54%	0.45%	0.32%	0.0%	0.11%	0.14%	0.12%	0.14%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1339	198	203	97	194	198	159	169	121					
		21.19%	21.45%	23.12%	15.52%	21.89%	23.32%	23.04%	21.86%	17.41%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	12	1	2	2	3	1	1	1	1					
