Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Новоусманская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	59203	1866	2139	1606	2226	1524	1437	1945	1146	1609	823	2534	2001	1108	1667	983	1222	1094	1079	2730	1947	671	972	944	969	229	530	1390	1276	437	318	693	739	603	812	858	239	1363	654	408	763	566	621	690	772	791	850	1502	1481	1632	1330	1414									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	56600	1770	1970	1530	2130	1460	1360	1860	1100	1540	800	2380	1890	1040	1590	940	1170	1070	1050	2560	1830	640	950	910	940	230	520	1340	1250	420	300	660	710	570	780	830	240	1360	640	390	750	540	600	650	730	760	840	1430	1420	1560	1270	1330									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37240	820	1685	1002	1625	1026	724	1080	1038	662	224	866	632	950	1318	702	263	325	523	1709	871	508	872	842	863	206	317	820	818	282	105	347	394	424	563	762	207	951	445	316	372	375	393	465	654	636	420	1147	1186	1416	1000	1089									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5480	57	104	46	116	119	35	84	47	207	110	25	23	8	71	30	130	124	146	107	57	50	34	26	37	10	136	198	284	112	95	302	299	144	179	68	23	133	160	58	278	162	193	154	64	64	56	86	90	138	115	86									
6	Число погашенных избирательных бюллетеней	13880	893	181	482	389	315	601	696	15	671	466	1489	1235	82	201	208	777	621	381	744	902	82	44	42	40	14	67	322	148	26	100	11	17	2	38	0	10	276	35	16	100	3	14	31	12	60	364	197	144	6	155	155									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5480	57	104	46	116	119	35	84	47	207	110	25	23	8	71	30	130	124	146	107	57	50	34	26	37	10	136	198	284	112	95	302	299	144	179	68	23	133	160	58	278	162	193	154	64	64	56	86	90	138	115	86									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37238	820	1685	1002	1625	1026	724	1079	1038	662	224	866	631	950	1318	702	263	325	523	1709	871	508	872	842	863	206	317	820	818	282	105	347	394	424	563	762	207	951	445	316	372	375	393	465	654	636	420	1147	1186	1416	1000	1089									
9	Число недействительных избирательных бюллетеней	513	17	19	16	9	13	13	21	11	20	2	13	20	3	15	6	4	8	8	31	13	8	8	7	5	4	0	8	12	1	2	1	2	4	12	0	1	14	4	0	6	6	6	6	3	7	13	12	70	12	8	9									
10	Число действительных избирательных бюллетеней	42205	860	1770	1032	1732	1132	746	1142	1074	849	332	878	634	955	1374	726	389	441	661	1785	915	550	898	861	895	212	453	1010	1090	393	198	648	691	564	730	830	229	1070	601	374	644	531	580	613	715	693	463	1221	1206	1542	1107	1166									
