Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Куйбышевская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6260	1777	925	108	329	359	336	220	127	104	280	113	241	259	224	99	60	341	97	105	156									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5450	1500	750	100	300	300	300	200	100	100	250	100	200	250	200	100	50	300	100	100	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2896	884	394	63	151	159	175	93	59	54	117	63	104	112	115	42	16	134	39	47	75									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	689	80	77	4	22	41	55	32	15	26	58	20	49	40	12	28	6	63	14	14	33									
6	Число погашенных избирательных бюллетеней	1865	536	279	33	127	100	70	75	26	20	75	17	47	98	73	30	28	103	47	39	42									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	689	80	77	4	22	41	55	32	15	26	58	20	49	40	12	28	6	63	14	14	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2896	884	394	63	151	159	175	93	59	54	117	63	104	112	115	42	16	134	39	47	75									
9	Число недействительных избирательных бюллетеней	62	21	10	3	3	4	1	2	0	0	7	1	0	3	1	0	0	4	1	1	0									
10	Число действительных избирательных бюллетеней	3523	943	461	64	170	196	229	123	74	80	168	82	153	149	126	70	22	193	52	60	108									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	705	160	70	20	40	35	40	30	30	30	30	15	20	25	30	20	10	30	30	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	454	160	43	8	11	35	17	13	4	27	6	6	14	6	28	11	0	30	12	16	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	177	27	11	5	3	6	13	7	4	5	14	11	17	5	6	7	5	14	6	6	5									
14	Число погашенных неиспользованных открепительных удостоверений	251	0	27	12	29	0	23	17	26	3	24	9	6	19	2	9	10	0	18	4	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	88	25	8	1	14	2	10	7	0	5	0	0	1	0	8	3	0	1	0	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	32	12	2	0	0	3	5	0	2	0	0	0	0	3	0	2	0	2	0	0	1									
		0.89%	1.24%	0.42%	0.00%	0.00%	1.50%	2.17%	0.00%	2.70%	0.00%	0.00%	0.00%	0.00%	1.97%	0.00%	2.86%	0.00%	1.02%	0.00%	0.00%	0.93%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	84	36	9	2	3	6	2	2	2	0	1	0	3	4	3	1	0	8	0	0	2									
		2.34%	3.73%	1.91%	2.99%	1.73%	3.00%	0.87%	1.60%	2.70%	0.00%	0.57%	0.00%	1.96%	2.63%	2.36%	1.43%	0.00%	4.06%	0.00%	0.00%	1.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	42	10	11	1	2	0	3	1	0	1	4	1	2	1	2	1	0	1	0	1	0									
		1.17%	1.04%	2.34%	1.49%	1.16%	0.00%	1.30%	0.80%	0.00%	1.25%	2.29%	1.20%	1.31%	0.66%	1.57%	1.43%	0.00%	0.51%	0.00%	1.64%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1612	447	206	37	67	96	75	71	37	42	41	29	85	60	59	32	9	110	15	35	59									
		44.97%	46.37%	43.74%	55.22%	38.73%	48.00%	32.61%	56.80%	50.00%	52.50%	23.43%	34.94%	55.56%	39.47%	46.46%	45.71%	40.91%	55.84%	28.30%	57.38%	54.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	13	3	3	1	1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0									
		0.36%	0.31%	0.64%	1.49%	0.58%	1.00%	0.00%	0.00%	0.00%	1.25%	0.00%	1.20%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2									
