Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
Наименование Избирательной комиссии:    район Выхино-Жулебино																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №3698	УИК №3795									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	133753	2111	1990	2254	1768	2437	2503	2130	2301	1963	1978	2131	2189	2396	2363	2516	2700	2643	2358	2161	883	848	2472	2371	2483	2500	2196	2200	2063	2144	1793	1764	2149	2217	1778	1985	1873	2121	2403	2547	2585	1506	2685	2706	2405	2569	2101	2724	2498	2547	2696	2519	1704	2306	2556	2878	2303	2514	2907	2675	611	76									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	96350	1500	1400	1600	600	1800	1800	1500	1700	1400	1400	1600	1600	1700	1700	1800	1900	1900	1700	1600	650	600	1800	1700	1800	1800	1600	1600	1500	1600	1300	1300	1600	1600	1300	1400	1400	1500	1800	1900	1900	1100	2000	2000	1800	1900	1500	2000	1800	1800	1900	1800	1200	1700	1900	2000	1600	1800	1900	1900	800	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	45638	680	614	733	418	749	934	786	721	696	708	796	714	763	792	835	917	788	735	631	392	270	831	719	752	824	770	760	637	657	459	614	744	724	582	673	629	776	886	838	857	482	932	1006	854	928	794	854	864	840	936	936	615	830	859	952	891	1101	1124	885	475	76									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1734	41	60	37	10	34	31	33	38	38	27	22	34	44	29	40	23	43	59	44	6	18	37	45	45	34	20	29	32	27	29	16	33	27	32	27	13	11	19	13	39	28	24	24	11	31	7	32	13	48	31	13	17	13	11	3	9	9	37	31	103	0									
6	Число погашенных избирательных бюллетеней	48978	779	726	830	172	1017	835	681	941	666	665	782	852	893	879	925	960	1069	906	925	252	312	932	936	1003	942	810	811	831	916	812	670	823	849	686	700	758	713	895	1049	1004	590	1044	970	935	941	699	1114	923	912	933	851	568	857	1030	1045	700	690	739	984	222	24									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1732	41	60	37	10	34	31	33	38	38	27	22	34	44	29	40	23	43	59	44	6	18	37	45	45	34	20	29	32	27	29	16	33	27	32	27	13	11	19	13	39	28	24	24	11	31	7	32	13	48	31	13	17	13	11	3	9	9	37	31	101	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	45569	680	613	731	418	748	934	786	721	696	707	795	711	763	792	835	917	787	731	631	391	270	831	719	747	824	750	760	637	657	456	614	744	723	582	673	627	776	886	838	857	482	930	1006	853	926	793	854	864	840	933	935	614	830	859	950	881	1101	1124	885	475	76									
9	Число недействительных избирательных бюллетеней	843	11	13	16	5	9	13	21	6	11	21	17	17	14	22	17	11	20	8	12	3	9	20	22	12	9	17	21	12	17	12	14	11	15	18	6	18	13	20	17	17	13	11	13	11	18	15	16	6	12	13	20	9	7	15	19	14	13	30	9	9	3									
10	Число действительных избирательных бюллетеней	46458	710	660	752	423	773	952	798	753	723	713	800	728	793	799	858	929	810	782	663	394	279	848	742	780	849	753	768	657	667	473	616	766	735	596	694	622	774	885	834	879	497	943	1017	853	939	785	870	871	876	951	928	622	836	855	934	876	1097	1131	907	567	73									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1395	25	20	25	15	25	25	25	25	20	20	25	25	25	25	25	25	25	25	25	15	15	25	25	25	25	25	25	25	25	20	20	26	24	20	20	20	25	25	25	25	20	25	25	25	25	25	25	25	25	25	25	20	25	25	25	25	25	25	25	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	779	9	13	12	4	16	22	15	7	12	6	12	14	10	13	15	19	18	15	19	0	2	17	13	9	16	13	9	12	14	9	6	9	10	16	15	11	14	20	13	22	7	15	17	13	18	10	12	17	4	18	18	15	10	17	17	16	23	20	11	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1800	13	5	7	84	20	12	26	6	45	8	20	8	5	27	99	96	3	5	11	9	0	9	4	7	9	7	16	47	13	0	12	18	13	3	18	6	48	17	43	30	62	11	20	25	27	37	10	6	44	41	29	36	13	14	37	72	104	209	90	75	9									
14	Число погашенных неиспользованных открепительных удостоверений	616	16	7	13	11	9	3	10	18	8	14	13	11	15	12	10	6	7	10	6	15	13	8	12	16	9	12	16	13	11	11	14	17	14	4	5	9	11	5	12	3	13	10	8	12	7	15	13	8	21	7	7	5	15	8	8	9	2	5	14	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	71	1	1	2	0	1	5	1	1	3	0	2	0	2	1	2	2	3	1	0	1	0	1	0	1	0	0	2	0	4	0	0	2	2	1	0	0	0	0	1	4	1	4	1	0	0	0	1	2	2	1	0	0	1	2	2	4	2	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1500	18	18	23	20	31	32	29	21	19	21	12	23	24	32	24	26	26	21	18	18	10	31	28	21	31	26	22	22	30	8	20	23	27	12	14	16	21	28	31	33	14	41	30	33	30	23	21	24	25	37	25	14	27	27	41	38	58	45	27	9	1									
		3.17%	2.50%	2.67%	2.99%	4.67%	3.96%	3.32%	3.54%	2.77%	2.59%	2.86%	1.47%	3.09%	2.97%	3.90%	2.74%	2.77%	3.13%	2.66%	2.67%	4.53%	3.47%	3.57%	3.66%	2.65%	3.61%	3.38%	2.79%	3.29%	4.39%	1.65%	3.17%	2.96%	3.60%	1.95%	2.00%	2.50%	2.67%	3.09%	3.64%	3.68%	2.75%	4.30%	2.91%	3.82%	3.13%	2.88%	2.37%	2.74%	2.82%	3.84%	2.64%	2.22%	3.20%	3.10%	4.30%	4.27%	5.23%	3.88%	2.95%	1.56%	1.32%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	922	18	17	14	3	17	23	20	21	10	12	12	16	12	17	14	19	20	16	7	6	5	18	18	14	26	19	12	12	7	12	14	13	16	21	11	10	10	13	15	20	11	10	25	23	17	17	23	11	18	19	16	6	20	14	9	15	23	23	21	21	0									
