Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Бобровская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239					
1	"Число избирателей, внесенных в списки"	42690	2271	1906	557	1104	2485	1996	2283	2528	1538	1300	840	580	298	843	1066	498	174	1067	364	129	1495	312	1059	2148	1599	914	628	363	996	1069	1261	1324	899	875	888	286	292	744	1711					
2	"Число бюллетеней, полученных участковыми комиссиями"	41620	2200	1790	540	1080	2380	1900	2130	2400	1500	1240	840	570	290	850	1090	480	170	1070	360	120	1500	300	1000	2100	1590	970	620	360	990	1060	1300	1300	880	810	870	280	290	720	1680					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19857	1025	870	305	435	1201	978	1031	1080	566	632	439	344	228	464	536	354	120	415	206	79	820	203	420	898	636	427	240	191	457	426	419	510	504	575	368	121	124	397	813					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2999	73	34	27	60	79	49	55	67	78	18	96	62	52	95	89	53	21	353	66	28	124	51	137	184	78	68	162	17	96	56	104	72	96	81	51	6	34	49	78					
6	Число погашенных бюллетеней	18764	1102	886	208	585	1100	873	1044	1253	856	590	305	164	10	291	465	73	29	302	88	13	556	46	443	1018	876	475	218	152	437	578	777	718	280	154	451	153	132	274	789					
7	Число бюллетеней в переносных ящиках для голосования	2999	73	34	27	60	79	49	55	67	78	18	96	62	52	95	89	53	21	353	66	28	124	51	137	184	78	68	162	17	96	56	104	72	96	81	51	6	34	49	78					
8	Число бюллетеней в стационарных ящиках для голосования	19844	1025	870	305	435	1201	978	1031	1080	566	632	439	344	228	464	536	354	120	414	206	79	814	203	420	898	636	427	240	191	457	426	419	510	504	573	368	121	124	397	809					
9	Число недействительных бюллетеней	330	27	12	4	1	16	13	25	20	13	2	4	0	1	7	7	10	0	1	3	1	21	7	0	17	14	20	4	3	5	13	2	5	13	16	9	4	2	5	3					
10	Число действительных бюллетеней	22513	1071	892	328	494	1264	1014	1061	1127	631	648	531	406	279	552	618	397	141	766	269	106	917	247	557	1065	700	475	398	205	548	469	521	577	587	638	410	123	156	441	884					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	191	6	10	3	4	10	11	8	4	5	5	3	3	3	4	4	3	3	8	3	3	5	8	7	10	5	5	4	3	4	4	4	4	4	4	3	3	3	3	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	69	1	9	0	4	7	5	7	1	0	0	0	0	0	1	2	0	0	2	0	0	3	4	5	0	1	0	0	1	4	0	0	1	1	4	1	2	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	66	5	4	4	2	4	2	4	0	0	4	0	0	1	2	0	2	0	0	1	0	2	3	4	6	6	1	1	0	0	0	1	1	1	3	1	0	0	0	1					
14	Число погашенных открепительных удостоверений	122	5	1	3	0	3	6	1	3	5	5	3	3	3	3	2	3	3	6	3	3	2	4	2	10	4	5	4	2	0	4	4	3	3	0	2	1	3	3	2					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	293	10	7	4	7	15	7	5	5	10	8	12	3	2	3	8	13	1	3	2	0	14	12	2	13	4	9	5	2	9	8	4	6	13	23	15	5	1	6	17					
		1.28%	0.91%	0.77%	1.20%	1.41%	1.17%	0.68%	0.46%	0.43%	1.55%	1.23%	2.24%	0.73%	0.71%	0.53%	1.28%	3.19%	0.70%	0.39%	0.73%	0.0%	1.49%	4.72%	0.35%	1.20%	0.56%	1.81%	1.24%	0.96%	1.62%	1.65%	0.76%	1.03%	2.16%	3.51%	3.57%	3.93%	0.63%	1.34%	1.91%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	201	10	13	6	6	13	12	19	6	7	14	2	3	3	2	2	1	0	4	0	2	1	1	2	7	4	3	3	0	2	5	4	4	7	8	5	0	1	6	13					
		0.87%	0.91%	1.43%	1.80%	1.21%	1.01%	1.16%	1.74%	0.52%	1.08%	2.15%	0.37%	0.73%	1.07%	0.35%	0.32%	0.24%	0.0%	0.52%	0.0%	1.86%	0.10%	0.39%	0.35%	0.64%	0.56%	0.60%	0.74%	0.0%	0.36%	1.03%	0.76%	0.68%	1.16%	1.22%	1.19%	0.0%	0.63%	1.34%	1.46%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	504	21	18	11	9	43	18	25	21	23	19	7	2	0	8	3	2	0	8	4	1	10	2	18	30	17	10	14	3	26	15	21	14	21	17	10	1	3	9	20					
		2.20%	1.91%	1.99%	3.31%	1.81%	3.35%	1.75%	2.30%	1.83%	3.57%	2.92%	1.30%	0.49%	0.0%	1.43%	0.48%	0.49%	0.0%	1.04%	1.47%	0.93%	1.06%	0.78%	3.23%	2.77%	2.38%	2.02%	3.48%	1.44%	4.70%	3.11%	4.01%	2.40%	3.5%	2.59%	2.38%	0.78%	1.89%	2.01%	2.25%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	294	14	15	4	8	12	14	19	18	9	12	7	1	1	6	0	7	0	5	1	0	13	0	11	15	9	5	3	10	5	7	11	10	3	6	4	3	1	2	23					
		1.28%	1.27%	1.65%	1.20%	1.61%	0.93%	1.36%	1.74%	1.56%	1.39%	1.84%	1.30%	0.24%	0.35%	1.07%	0.0%	1.71%	0.0%	0.65%	0.36%	0.0%	1.38%	0.0%	1.97%	1.38%	1.26%	1.01%	0.74%	4.80%	0.90%	1.45%	2.10%	1.71%	0.5%	0.91%	0.95%	2.36%	0.63%	0.44%	2.59%					
22	"5. ""За Русь Святую"""	130	4	1	1	4	7	4	0	5	6	8	8	0	0	3	2	1	0	3	3	0	1	2	9	9	4	12	2	0	2	5	2	5	4	6	2	0	0	0	5					
		0.56%	0.36%	0.11%	0.30%	0.80%	0.54%	0.38%	0.0%	0.43%	0.93%	1.23%	1.49%	0.0%	0.0%	0.53%	0.32%	0.24%	0.0%	0.39%	1.10%	0.0%	0.10%	0.78%	1.61%	0.83%	0.56%	2.42%	0.49%	0.0%	0.36%	1.03%	0.38%	0.85%	0.66%	0.91%	0.47%	0.0%	0.0%	0.0%	0.56%					
23	"6. ""Объединенная Российская партия ""Русь"""	53	3	2	0	0	2	1	3	4	0	3	0	2	0	1	1	0	0	0	2	0	2	2	1	3	5	3	0	1	1	1	0	3	0	1	2	0	0	1	3					
		0.23%	0.27%	0.22%	0.0%	0.0%	0.15%	0.09%	0.27%	0.34%	0.0%	0.46%	0.0%	0.49%	0.0%	0.17%	0.16%	0.0%	0.0%	0.0%	0.73%	0.0%	0.21%	0.78%	0.17%	0.27%	0.70%	0.60%	0.0%	0.48%	0.18%	0.20%	0.0%	0.51%	0.0%	0.15%	0.47%	0.0%	0.0%	0.22%	0.33%					
24	"7. ""Новый курс - Автомобильная Россия"""	91	5	6	6	3	7	2	13	5	3	1	3	0	1	1	0	0	0	4	0	0	0	0	1	3	5	7	3	0	2	0	1	3	0	1	0	0	1	0	4					
		0.39%	0.45%	0.66%	1.80%	0.60%	0.54%	0.19%	1.19%	0.43%	0.46%	0.15%	0.56%	0.0%	0.35%	0.17%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.17%	0.27%	0.70%	1.41%	0.74%	0.0%	0.36%	0.0%	0.19%	0.51%	0.0%	0.15%	0.0%	0.0%	0.63%	0.0%	0.45%					
25	"8. ""Народно-республиканская партия России"""	50	0	2	0	0	1	2	1	4	2	0	4	3	0	2	1	1	0	4	0	0	1	1	0	1	4	1	4	3	1	0	0	2	1	2	0	1	0	0	1					
		0.21%	0.0%	0.22%	0.0%	0.0%	0.07%	0.19%	0.09%	0.34%	0.31%	0.0%	0.74%	0.73%	0.0%	0.35%	0.16%	0.24%	0.0%	0.52%	0.0%	0.0%	0.10%	0.39%	0.0%	0.09%	0.56%	0.20%	0.99%	1.44%	0.18%	0.0%	0.0%	0.34%	0.16%	0.30%	0.0%	0.78%	0.0%	0.0%	0.11%					
26	"9. ""Российская экологическая партия ""Зеленые"""	30	0	0	0	1	2	1	0	3	2	3	2	1	0	0	0	1	0	0	0	0	0	0	1	2	2	1	2	0	0	0	3	0	0	2	1	0	0	0	0					
		0.13%	0.0%	0.0%	0.0%	0.20%	0.15%	0.09%	0.0%	0.26%	0.31%	0.46%	0.37%	0.24%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.18%	0.28%	0.20%	0.49%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.30%	0.23%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	812	23	18	6	7	40	13	17	22	22	9	42	4	2	35	28	20	1	76	6	1	43	11	20	36	26	39	18	19	12	13	18	8	18	39	25	5	5	28	37					
		3.55%	2.09%	1.99%	1.80%	1.41%	3.12%	1.26%	1.56%	1.91%	3.41%	1.38%	7.85%	0.98%	0.71%	6.26%	4.48%	4.91%	0.70%	9.90%	2.20%	0.93%	4.58%	4.33%	3.59%	3.32%	3.64%	7.87%	4.47%	9.13%	2.16%	2.69%	3.44%	1.37%	3.0%	5.96%	5.96%	3.93%	3.16%	6.27%	4.17%					
28	"11. ""Истинные патриоты России"""	72	0	2	1	0	1	3	0	5	0	1	2	7	1	1	0	0	0	1	30	0	1	2	1	2	0	2	0	1	1	0	1	1	0	2	0	0	0	1	2					
		0.31%	0.0%	0.22%	0.30%	0.0%	0.07%	0.29%	0.0%	0.43%	0.0%	0.15%	0.37%	1.72%	0.35%	0.17%	0.0%	0.0%	0.0%	0.13%	11.02%	0.0%	0.10%	0.78%	0.17%	0.18%	0.0%	0.40%	0.0%	0.48%	0.18%	0.0%	0.19%	0.17%	0.0%	0.30%	0.0%	0.0%	0.0%	0.22%	0.22%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	154	1	9	2	3	12	4	0	6	4	3	6	3	2	6	2	3	1	2	1	0	11	3	3	7	5	5	2	1	4	3	5	1	9	5	5	3	0	0	12					
		0.67%	0.09%	0.99%	0.60%	0.60%	0.93%	0.38%	0.0%	0.52%	0.62%	0.46%	1.12%	0.73%	0.71%	1.07%	0.32%	0.73%	0.70%	0.26%	0.36%	0.0%	1.17%	1.18%	0.53%	0.64%	0.70%	1.01%	0.49%	0.48%	0.72%	0.62%	0.95%	0.17%	1.5%	0.76%	1.19%	2.36%	0.0%	0.0%	1.35%					
30	"13. ""Демократическая партия России"""	47	0	1	2	0	3	1	3	1	1	0	0	2	0	2	1	1	0	2	1	0	5	0	2	1	1	1	3	0	3	0	0	0	2	3	2	2	1	0	0					
		0.20%	0.0%	0.11%	0.60%	0.0%	0.23%	0.09%	0.27%	0.08%	0.15%	0.0%	0.0%	0.49%	0.0%	0.35%	0.16%	0.24%	0.0%	0.26%	0.36%	0.0%	0.53%	0.0%	0.35%	0.09%	0.14%	0.20%	0.74%	0.0%	0.54%	0.0%	0.0%	0.0%	0.33%	0.45%	0.47%	1.57%	0.63%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	52	5	1	3	1	3	3	1	1	2	0	1	0	0	4	0	2	0	2	2	1	3	1	1	1	0	4	2	0	1	0	0	1	1	1	0	1	0	1	2					
		0.22%	0.45%	0.11%	0.90%	0.20%	0.23%	0.29%	0.09%	0.08%	0.31%	0.0%	0.18%	0.0%	0.0%	0.71%	0.0%	0.49%	0.0%	0.26%	0.73%	0.93%	0.31%	0.39%	0.17%	0.09%	0.0%	0.80%	0.49%	0.0%	0.18%	0.0%	0.0%	0.17%	0.16%	0.15%	0.0%	0.78%	0.0%	0.22%	0.22%					
32	"15. ""Партия СЛОН"""	29	1	3	0	0	2	1	0	0	1	1	0	2	1	0	0	3	0	0	0	1	1	0	0	0	0	4	2	0	0	0	0	1	0	1	0	0	1	1	2					
		0.12%	0.09%	0.33%	0.0%	0.0%	0.15%	0.09%	0.0%	0.0%	0.15%	0.15%	0.0%	0.49%	0.35%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.93%	0.10%	0.0%	0.0%	0.0%	0.0%	0.80%	0.49%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.15%	0.0%	0.0%	0.63%	0.22%	0.22%					
