Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
"Наименование Избирательной комиссии:    Ставрополь, Октябрьская"																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83					
1	"Число избирателей, внесенных в списки избирателей"	54801	878	836	1159	1359	1684	2083	2374	2425	2112	1513	1647	1134	2241	2435	1150	2400	2771	1853	1518	1481	1902	2500	2625	2666	2885	3570	2727	195	366	312					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	49896	806	706	1000	1300	1506	1700	2300	2206	2000	1306	1506	1006	2000	2300	1006	2506	2506	1706	1306	1306	1700	2306	2500	2506	2506	2700	2500	300	450	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	27598	584	444	471	635	864	931	1355	1173	875	735	742	518	949	1281	554	1293	1389	899	737	727	870	1338	1340	1377	1383	2098	1391	132	243	270					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1534	20	35	72	22	31	46	39	37	45	17	43	24	82	39	38	26	100	57	39	82	71	49	70	50	70	60	82	63	94	31					
6	Число погашенных избирательных бюллетеней	20764	202	227	457	643	611	723	906	996	1080	554	721	464	969	980	414	1187	1017	750	530	497	759	919	1090	1079	1053	542	1027	105	113	149					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1526	20	35	72	21	31	46	39	37	45	17	43	24	82	39	38	26	99	56	39	81	69	49	70	50	70	60	82	61	94	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27538	583	441	471	629	864	925	1349	1172	875	732	741	518	947	1281	554	1293	1385	897	734	724	869	1338	1336	1372	1383	2096	1387	131	241	270					
9	Число недействительных избирательных бюллетеней	408	9	6	7	9	10	14	16	12	10	7	13	3	16	15	80	11	13	16	17	12	16	15	11	12	13	14	12	3	11	5					
10	Число действительных избирательных бюллетеней	28656	594	470	536	641	885	957	1372	1197	910	742	771	539	1013	1305	512	1308	1471	937	756	793	922	1372	1395	1410	1440	2142	1457	189	324	296					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	610	20	20	20	20	20	25	25	25	25	20	20	20	25	25	20	25	25	20	20	20	20	25	25	25	25	25	25	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	341	13	5	16	7	7	18	21	22	9	10	14	7	12	14	6	12	10	11	6	13	10	13	17	19	15	21	13	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	701	7	26	5	13	28	14	17	19	12	19	14	8	10	10	4	7	34	6	7	11	12	5	13	6	21	214	16	108	4	31					
