Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Нижнесергинская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599					
1	"Число избирателей, внесенных в списки"	38653	914	589	1751	1566	1444	766	515	633	1166	790	1610	1631	1673	1638	1010	470	1453	1547	879	1335	1871	1185	1174	1092	421	117	793	308	76	743	259	150	161	146	183	302	300	106	391	300	591	345	546	93	776	604	228	480	562	970					
2	"Число бюллетеней, полученных участковыми комиссиями"	37973	900	560	1750	1500	1420	760	510	600	1120	750	1600	1620	1650	1650	1000	470	1450	1530	850	1300	1850	1120	1150	1080	400	110	780	300	80	730	250	150	150	148	180	300	300	110	390	300	580	350	540	95	750	600	220	480	540	950					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15640	338	162	532	572	472	286	125	183	361	320	640	648	551	506	340	205	696	808	345	712	621	294	467	425	217	72	323	138	44	390	105	74	69	70	135	139	168	68	231	174	350	189	226	49	363	326	126	238	216	531					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1268	31	54	35	29	20	14	70	23	46	8	25	25	14	44	89	31	21	15	55	23	64	117	7	30	20	2	30	30	0	7	22	4	13	29	8	0	3	2	9	17	15	0	18	7	9	24	7	64	36	2					
6	Число погашенных бюллетеней	21065	531	344	1183	899	928	460	315	394	713	422	935	947	1085	1100	571	234	733	707	450	565	1165	709	676	625	163	36	427	132	36	333	123	72	68	49	37	161	129	40	150	109	215	161	296	39	378	250	87	178	288	417					
7	Число бюллетеней в переносных ящиках для голосования	1267	31	54	35	29	20	14	69	23	46	8	25	25	14	44	89	31	21	15	55	23	64	117	7	30	20	2	30	30	0	7	22	4	13	29	8	0	3	2	9	17	15	0	18	7	9	24	7	64	36	2					
8	Число бюллетеней в стационарных ящиках для голосования	15639	338	162	532	572	472	286	125	183	361	320	640	648	551	506	340	205	696	808	345	712	621	294	467	425	217	72	323	138	44	390	105	74	69	70	135	139	168	68	231	174	350	189	226	49	362	326	126	238	216	531					
9	Число недействительных бюллетеней	203	1	6	9	10	7	1	0	0	5	9	15	12	1	9	4	0	7	13	7	14	6	2	8	9	6	0	0	3	0	4	1	0	0	3	2	1	1	2	0	1	6	1	1	1	1	3	3	1	5	2					
10	Число действительных бюллетеней	16703	368	210	558	591	485	299	194	206	402	319	650	661	564	541	425	236	710	810	393	721	679	409	466	446	231	74	353	165	44	393	126	78	82	96	141	138	170	68	240	190	359	188	243	55	370	347	130	301	247	531					
