Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва															
Дата голосования: 04.12.2011															
															
Наименование Избирательной комиссии:    Бородинская городская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69					
1	"Число избирателей, внесенных в список избирателей"	15091	1848	1961	1672	2059	2068	1429	1586	2468					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14200	1800	1900	1600	2000	2000	1400	1500	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7982	1043	1047	824	1158	1051	813	876	1170					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	261	22	40	27	36	33	24	44	35					
6	Число погашенных избирательных бюллетеней	5956	735	813	749	806	915	563	580	795					
7	Число избирательных бюллетеней в переносных ящиках для голосования	261	22	40	27	36	33	24	44	35					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7981	1042	1047	824	1158	1051	813	876	1170					
9	Число недействительных избирательных бюллетеней	165	18	23	12	29	30	17	21	15					
10	Число действительных избирательных бюллетеней	8077	1046	1064	839	1165	1054	820	899	1190					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	292	39	35	35	35	35	35	35	43					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	88	6	13	8	13	11	13	15	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	43	7	4	7	3	9	2	6	5					
14	Число погашенных неиспользованных открепительных удостоверений	204	33	22	27	22	24	22	20	34					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	0	1	0	4	0	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	1	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1482	216	200	146	191	189	150	172	218					
		17.98%	20.30%	18.40%	17.16%	15.99%	17.44%	17.92%	18.70%	18.09%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1145	106	165	147	179	159	103	129	157					
		13.89%	9.96%	15.18%	17.27%	14.99%	14.67%	12.31%	14.02%	13.03%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	67	12	10	5	9	9	6	5	11					
		0.81%	1.13%	0.92%	0.59%	0.75%	0.83%	0.72%	0.54%	0.91%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2477	323	310	249	358	331	280	277	349					
		30.05%	30.36%	28.52%	29.26%	29.98%	30.54%	33.45%	30.11%	28.96%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	154	22	28	10	19	19	14	26	16					
		1.87%	2.07%	2.58%	1.18%	1.59%	1.75%	1.67%	2.83%	1.33%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2704	361	346	279	401	341	261	284	431					
		32.81%	33.93%	31.83%	32.78%	33.58%	31.46%	31.18%	30.87%	35.77%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	48	6	5	3	8	6	6	6	8					
		0.58%	0.56%	0.46%	0.35%	0.67%	0.55%	0.72%	0.65%	0.66%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
