Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Гумбетовская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319					
1	"Число избирателей, внесенных в списки избирателей"	9926	739	788	188	1245	169	150	185	268	687	279	165	92	237	95	174	214	64	88	175	289	121	293	450	115	227	346	607	354	132	990					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9953	741	792	189	1250	170	150	177	269	689	280	165	92	238	95	174	215	64	88	175	290	121	294	452	115	228	347	609	355	132	997					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8365	579	627	148	1116	127	133	162	198	606	244	140	75	218	82	153	178	48	81	149	245	98	207	336	101	210	296	532	286	103	887					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	761	98	94	30	24	28	4	8	47	35	12	10	9	11	10	6	20	11	0	11	13	13	61	76	4	5	21	24	38	18	20					
6	Число погашенных избирательных бюллетеней	827	64	71	11	110	15	13	7	24	48	24	15	8	9	3	15	17	5	7	15	32	10	26	40	10	13	30	53	31	11	90					
7	Число избирательных бюллетеней в переносных ящиках для голосования	761	98	94	30	24	28	4	8	47	35	12	10	9	11	10	6	20	11	0	11	13	13	61	76	4	5	21	24	38	18	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8365	579	627	148	1116	127	133	162	198	606	244	140	75	218	82	153	178	48	81	149	245	98	207	336	101	210	296	532	286	103	887					
9	Число недействительных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	9123	677	721	178	1140	155	137	170	245	641	256	150	84	229	92	159	198	59	81	160	258	111	268	412	105	212	317	556	324	121	907					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	200	10	10	5	10	5	5	5	10	10	5	5	5	10	5	5	5	5	5	5	5	5	5	10	5	5	10	10	5	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	145	10	10	0	10	0	0	0	10	10	0	5	5	5	0	5	5	5	5	0	5	0	5	0	5	5	10	10	5	5	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	55	0	0	5	0	5	5	5	0	0	5	0	0	5	5	0	0	0	0	5	0	5	0	10	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	1.Политическая партия «Аграрная партия России»	64	3	5	2	5	1	1	0	2	0	2	0	2	1	0	6	0	0	1	0	3	2	1	3	1	0	5	3	1	2	12					
		0.70%	0.44%	0.69%	1.12%	0.44%	0.65%	0.73%	0.00%	0.82%	0.00%	0.78%	0.00%	2.38%	0.44%	0.00%	3.77%	0.00%	0.00%	1.23%	0.00%	1.16%	1.80%	0.37%	0.73%	0.95%	0.00%	1.58%	0.54%	0.31%	1.65%	1.32%					
19	2.Всероссийская политическая партия «Гражданская Сила»	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	918	49	52	13	82	8	10	13	18	46	18	11	5	16	7	7	20	5	1	12	16	6	19	29	7	15	130	140	95	8	60					
		10.06%	7.24%	7.21%	7.30%	7.19%	5.16%	7.30%	7.65%	7.35%	7.18%	7.03%	7.33%	5.95%	6.99%	7.61%	4.40%	10.10%	8.47%	1.23%	7.50%	6.20%	5.41%	7.09%	7.04%	6.67%	6.98%	41.01%	25.18%	29.32%	6.61%	6.62%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
